,ReH,ReE,ReHtilde,SetNum
781,-1.974228501,35.03245544,-7.399701118,3
782,-0.611245513,19.45243073,-1.267645836,3
783,-2.052226782,42.24647522,-6.869094849,3
784,0.9292835,4.623851776,1.253068924,3
785,-13.93926525,165.0144958,-46.61487579,3
786,8.67818737,-77.84070587,28.96433067,3
787,-2.919598103,51.78530502,-11.48806381,3
788,-5.111759186,68.42404938,-15.09317017,3
789,-5.184780121,72.20385742,-16.79350853,3
790,-10.41802311,126.2871399,-34.36878967,3
791,-0.492254615,20.85583496,-2.535942793,3
792,4.788776875,-37.21255493,15.70834732,3
793,1.890976191,2.668251038,1.627918482,3
794,-7.014955521,90.04462433,-21.92379761,3
795,3.078570843,-10.59649086,8.76451683,3
796,-4.219342232,66.09674072,-15.1268816,3
797,-3.277267933,53.53627777,-11.73814201,3
798,-1.22667098,37.03437805,-6.839792728,3
799,-3.367557526,57.63105011,-10.94850826,3
800,-0.496157408,23.5377388,-0.603834152,3
801,-10.18283081,129.7620239,-34.30725861,3
802,-5.890632629,83.02071381,-18.96548271,3
803,-10.09925652,128.9971771,-34.77200699,3
804,-6.017815113,79.91577148,-20.87158966,3
805,-6.746699333,93.03987885,-22.58912468,3
806,-3.512143135,54.39134216,-11.38989258,3
807,-2.418344259,35.74112701,-6.019890308,3
808,-0.416629434,18.3092804,-0.606170416,3
809,-1.474638939,36.48628998,-5.368927956,3
810,-2.103921413,38.97093964,-7.060350418,3
811,-2.884720802,45.37818527,-7.888186932,3
812,-6.275364876,84.47615814,-18.85346985,3
813,-0.299501538,24.78992081,-2.473624706,3
814,-11.26347446,134.7848511,-36.51413727,3
815,-2.649615765,48.40484619,-8.516217232,3
816,-1.69185853,42.50791931,-6.938468933,3
817,-6.974887371,90.53960419,-24.49391174,3
818,2.373902798,-11.78612328,7.753149986,3
819,-5.66258955,75.13658905,-17.45524216,3
820,-4.698804379,68.99541473,-17.03420258,3
821,-4.216512203,70.06672668,-16.11735344,3
822,7.358200073,-60.91775131,22.57767487,3
823,-1.229995728,26.94465256,-5.795845985,3
824,-11.33265209,143.272995,-36.91394424,3
825,-7.204301834,92.60410309,-24.73207474,3
826,-5.139316082,67.82632446,-16.15070152,3
827,-1.61610055,29.27149582,-3.309592962,3
828,-11.92592144,153.7633057,-43.59654617,3
829,0.694357872,6.204507828,2.399296522,3
830,-6.468393803,82.75281525,-19.5998745,3
831,-7.861477375,102.025589,-27.21471214,3
832,-2.240190029,40.35613251,-7.620471001,3
833,-6.32236433,79.25210571,-19.74728394,3
834,-14.32509041,167.9003448,-44.81496429,3
835,-14.53097343,175.0710449,-48.82859421,3
836,1.072084665,2.436613083,4.899148941,3
837,5.096774578,-41.04694366,16.10075569,3
838,-0.417333841,16.75047302,-0.846721411,3
839,-0.587349534,20.69227409,-2.360541821,3
840,-6.445251465,92.37017822,-22.86317444,3
841,4.877231598,-31.43497658,14.42453861,3
842,5.167110443,-34.56282806,14.89375591,3
843,-5.198867321,74.79910278,-18.09718704,3
844,6.074472427,-44.6039505,17.82606888,3
845,2.625109196,-12.86519051,8.31689167,3
846,2.089459896,-11.68717384,8.090392113,3
847,-6.511084557,99.13588715,-21.6393795,3
848,4.218461037,-31.13836288,14.86515617,3
849,2.774350643,-14.55885887,8.81890583,3
850,1.668885827,-4.437385559,5.637512207,3
851,-0.153259993,20.88968277,-3.212627411,3
852,-12.56094456,154.512619,-41.03004837,3
853,-3.690821171,61.82232666,-15.37429047,3
854,-7.865932465,104.3190308,-28.32118988,3
855,-7.277989388,93.32348633,-21.84212112,3
