Set,NumAttempts,NumIndexesPerAttempt,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev

20,100,200,0.484597,0.375581,0.758319,9.586865,2.148501,4.377702
21,100,200,0.962861,0.985074,1.570887,13.316976,4.037489,1.830512
22,100,200,0.452257,5.980984,2.370429,78.728883,2.759062,11.749942
23,100,200,0.62368,0.543923,2.923781,9.770249,2.493583,4.875631
24,100,200,1.581071,0.335461,-2.64645,12.117956,3.35493,0.518746
25,100,200,0.545252,0.342821,-0.028424,8.607464,2.571218,4.055251
26,100,200,1.07416,0.453116,0.77562,13.858174,2.927047,2.382998
27,100,200,0.814588,0.223763,3.388974,8.747234,1.745167,2.931354
28,100,200,0.532241,0.497686,-1.683721,6.478608,2.528975,2.38477
29,100,200,0.880688,0.187673,-4.324404,12.058722,3.859072,8.287313
30,100,200,0.619514,2.702321,7.611292,22.505756,-14.843029,17.966251

1,100,300,0.579868,0.271319,-0.510923,11.923321,2.906617,0.579082
2,100,300,1.204413,0.237557,2.235889,6.308295,4.095966,1.363302
3,100,300,1.580552,3.23514,-0.43605,29.625793,3.047897,18.551496
4,100,300,1.659715,1.790156,-1.873385,19.415571,4.35297,5.844565
5,100,300,1.899524,0.098214,1.042706,0.715738,0.765456,1.335522
6,100,300,0.981183,0.544623,2.976218,29.835249,3.547047,7.527808
7,100,300,1.355092,0.134292,1.648694,1.19078,1.796272,1.40521
8,100,300,0.962392,2.595249,-0.107293,20.154802,4.577728,1.483671
9,100,300,1.45236,0.524582,-3.461832,11.914343,3.813131,2.119492
10,100,300,1.511687,0.36724,-2.045663,8.26919,2.911932,1.428992
11,100,300,0.046205,4.094149,8.059355,37.847968,1.54207,9.884615
12,100,300,1.579725,0.145196,3.11402,1.694952,4.019922,0.734208
13,100,300,1.165072,0.172909,1.532999,4.197297,2.491748,1.224176
14,100,300,2.116377,1.046734,-8.171982,14.241376,5.089744,3.983798
15,100,300,1.582696,0.687213,-2.827599,10.612624,3.621055,3.225244
16,100,300,1.614289,1.658188,-6.069699,18.423866,4.507915,4.503978
17,100,300,0.895581,0.266328,1.927754,8.724516,2.234852,1.305841
18,100,300,1.775768,2.703354,1.408034,28.832297,5.736095,19.907341
19,100,300,0.886593,0.257081,0.668957,7.286262,3.031203,1.328668
20,100,300,0.475668,0.162526,1.051282,4.030957,1.987039,1.864499
21,100,300,1.329765,0.774221,-3.374629,10.536389,4.648363,1.572341
22,100,300,0.403721,5.225612,2.355037,68.697028,2.669081,10.01468
23,100,300,0.656942,0.202429,2.531374,3.539702,2.696078,1.768574
24,100,300,1.574788,0.262721,-3.924314,8.638538,3.416805,0.448651
25,100,300,0.497785,0.118324,1.286947,2.686636,1.909202,1.265113
26,100,300,1.014338,0.364998,2.066709,11.095443,2.534549,1.885794
27,100,300,0.849202,0.088974,1.845492,1.790978,2.226858,0.697141
28,100,300,0.504706,0.354126,-1.428612,4.676325,2.388586,1.734419
29,100,300,0.861325,0.132752,-3.350094,8.05306,3.065304,5.53453
30,100,300,0.741758,2.441888,6.269502,20.170988,-12.990247,16.138702



1,100,500,0.607559,0.227509,-1.997107,9.234361,2.984787,0.415626
2,100,500,1.218288,0.191869,2.017114,4.912058,4.127365,0.996438
3,100,500,1.755172,2.322905,-1.862069,21.163986,3.607497,12.967984
4,100,500,1.607477,1.445845,-1.282689,15.600903,4.179888,4.793602
5,100,500,1.898807,0.076048,1.075745,0.671505,0.913092,1.179415
6,100,500,0.897886,0.445665,1.18994,23.058464,2.923484,5.962026
7,100,500,1.389091,0.097387,1.503359,0.868331,1.999197,0.980563
8,100,500,0.898109,2.215633,0.737722,17.235036,4.472988,1.284784
9,100,500,1.392629,0.336594,-2.088549,7.698498,3.544201,1.393648
10,100,500,1.497412,0.325397,-2.438781,7.465965,2.910473,1.255841
11,100,500,0.60034,2.982008,3.068071,27.468371,2.79642,7.099871
12,100,500,1.56596,0.098779,3.185553,1.544654,3.999064,0.47313
13,100,500,1.153873,0.149711,1.89222,3.243343,2.354225,1.04617
14,100,500,1.77751,0.787925,-4.181882,10.786264,3.997516,3.097986
15,100,500,1.555738,0.56085,-2.168547,8.589678,3.494173,2.593799
16,100,500,1.610403,1.078502,-5.751248,12.036848,4.423984,2.949023
17,100,500,0.90694,0.217647,1.504932,6.636094,2.285566,0.982324
18,100,500,1.766581,1.818239,1.456327,19.615182,5.420528,13.584308
19,100,500,0.931776,0.2198,-0.981154,6.050367,3.293466,1.106035
20,100,500,0.457616,0.065236,1.373042,1.295728,1.855663,0.611747
21,100,500,1.045145,0.590444,0.20633,8.04384,4.272274,1.142876
22,100,500,0.282459,3.292603,4.317461,43.748601,3.058924,6.802312
23,100,500,0.639935,0.198177,2.649274,3.475382,2.757998,1.760687
24,100,500,1.594358,0.244149,-2.86111,8.592868,3.433972,0.354182
25,100,500,0.49144,0.064404,1.241084,1.168456,1.857302,0.57534
