#Set,k,QQ,x_b,t,phi_x,F,errF
19,5.75,2.193,0.342,-0.371,142.5,17.9,2.8
19,5.75,2.193,0.342,-0.371,157.5,18.7,3
19,5.75,2.193,0.342,-0.371,172.5,17.2,3.2
19,5.75,2.193,0.342,-0.371,187.5,16.2,2.9
19,5.75,2.193,0.342,-0.371,202.5,21.3,3
19,5.75,2.193,0.342,-0.371,217.5,17.7,2.8
19,5.75,2.193,0.342,-0.371,232.5,24.2,3
19,5.75,2.193,0.342,-0.371,247.5,22.5,3.4
19,5.75,2.193,0.342,-0.371,262.5,18.1,3.6
19,5.75,2.193,0.342,-0.371,277.5,32.8,4.5
19,5.75,2.193,0.342,-0.371,292.5,35.5,6.3
19,5.75,2.193,0.342,-0.371,307.5,43.1,8.7
19,5.75,2.193,0.342,-0.371,322.5,49.6,15.5
