#Set,k,QQ,x_b,t,phi_x,F,errF
4,5.75,1.999,0.381,-0.371,112.5,25.9,2.6
4,5.75,1.999,0.381,-0.371,127.5,21.4,2.4
4,5.75,1.999,0.381,-0.371,142.5,16.1,2.4
4,5.75,1.999,0.381,-0.371,157.5,13.5,2.7
4,5.75,1.999,0.381,-0.371,172.5,17.5,3.2
4,5.75,1.999,0.381,-0.371,187.5,20.5,3.2
4,5.75,1.999,0.381,-0.371,202.5,21.7,2.9
4,5.75,1.999,0.381,-0.371,217.5,26.5,2.6
4,5.75,1.999,0.381,-0.371,232.5,20.1,2.2
4,5.75,1.999,0.381,-0.371,247.5,25.7,2.6
4,5.75,1.999,0.381,-0.371,262.5,21.7,2.6
4,5.75,1.999,0.381,-0.371,277.5,26.2,2.9
4,5.75,1.999,0.381,-0.371,292.5,29.7,3.5
4,5.75,1.999,0.381,-0.371,307.5,33.8,4.1
4,5.75,1.999,0.381,-0.371,322.5,39.6,5.7
4,5.75,1.999,0.381,-0.371,337.5,44.9,8.2
4,5.75,1.999,0.381,-0.371,352.5,59.5,11.6
5,5.75,2.218,0.345,-0.176,7.5,104.3,3.6
5,5.75,2.218,0.345,-0.176,22.5,108.6,3.6
5,5.75,2.218,0.345,-0.176,37.5,100.3,3.4
5,5.75,2.218,0.345,-0.176,52.5,91.2,3.2
5,5.75,2.218,0.345,-0.176,67.5,76.8,2.9
5,5.75,2.218,0.345,-0.176,82.5,73,2.8
5,5.75,2.218,0.345,-0.176,97.5,56.5,2.5
5,5.75,2.218,0.345,-0.176,112.5,55.7,2.3
5,5.75,2.218,0.345,-0.176,127.5,49,2.2
5,5.75,2.218,0.345,-0.176,142.5,47,2.1
5,5.75,2.218,0.345,-0.176,157.5,41.1,2
5,5.75,2.218,0.345,-0.176,172.5,41.6,2
5,5.75,2.218,0.345,-0.176,187.5,38.5,1.9
5,5.75,2.218,0.345,-0.176,202.5,41.1,1.9
5,5.75,2.218,0.345,-0.176,217.5,45.3,2.1
5,5.75,2.218,0.345,-0.176,232.5,51.3,2.2
5,5.75,2.218,0.345,-0.176,247.5,53.3,2.3
5,5.75,2.218,0.345,-0.176,262.5,62.2,2.5
5,5.75,2.218,0.345,-0.176,277.5,70,2.7
5,5.75,2.218,0.345,-0.176,292.5,80.1,2.9
5,5.75,2.218,0.345,-0.176,307.5,87.4,3.1
5,5.75,2.218,0.345,-0.176,322.5,97.4,3.3
5,5.75,2.218,0.345,-0.176,337.5,99.2,3.5
5,5.75,2.218,0.345,-0.176,352.5,98.6,3.6
6,5.75,2.318,0.363,-0.232,7.5,80.3,3.5
6,5.75,2.318,0.363,-0.232,22.5,80.6,3.3
6,5.75,2.318,0.363,-0.232,37.5,70.5,3
6,5.75,2.318,0.363,-0.232,52.5,60.4,2.7
6,5.75,2.318,0.363,-0.232,67.5,51.3,2.4
6,5.75,2.318,0.363,-0.232,82.5,46.3,2.2
6,5.75,2.318,0.363,-0.232,97.5,42.6,2
6,5.75,2.318,0.363,-0.232,112.5,35.3,1.8
6,5.75,2.318,0.363,-0.232,127.5,34.8,1.7
6,5.75,2.318,0.363,-0.232,142.5,28.4,1.6
6,5.75,2.318,0.363,-0.232,157.5,30.9,1.6
6,5.75,2.318,0.363,-0.232,172.5,25.7,1.5
6,5.75,2.318,0.363,-0.232,187.5,27.7,1.5
6,5.75,2.318,0.363,-0.232,202.5,29.7,1.6
6,5.75,2.318,0.363,-0.232,217.5,31.4,1.6
6,5.75,2.318,0.363,-0.232,232.5,34.4,1.7
6,5.75,2.318,0.363,-0.232,247.5,35.8,1.8
6,5.75,2.318,0.363,-0.232,262.5,42.4,2
6,5.75,2.318,0.363,-0.232,277.5,43.9,2.1
6,5.75,2.318,0.363,-0.232,292.5,54.6,2.3
6,5.75,2.318,0.363,-0.232,307.5,63.3,2.6
6,5.75,2.318,0.363,-0.232,322.5,66.8,2.9
6,5.75,2.318,0.363,-0.232,337.5,75.2,3.3
6,5.75,2.318,0.363,-0.232,352.5,77.3,3.5
7,5.75,2.348,0.368,-0.279,7.5,66.6,4.2
7,5.75,2.348,0.368,-0.279,22.5,71.9,4
7,5.75,2.348,0.368,-0.279,37.5,58,3.2
7,5.75,2.348,0.368,-0.279,52.5,48.2,2.8
7,5.75,2.348,0.368,-0.279,67.5,42.2,2.4
7,5.75,2.348,0.368,-0.279,82.5,39.4,2.2
7,5.75,2.348,0.368,-0.279,97.5,29.5,1.9
7,5.75,2.348,0.368,-0.279,112.5,28.7,1.7
7,5.75,2.348,0.368,-0.279,127.5,23.8,1.5
7,5.75,2.348,0.368,-0.279,142.5,24.8,1.5
7,5.75,2.348,0.368,-0.279,157.5,25.7,1.6
7,5.75,2.348,0.368,-0.279,172.5,25.7,1.6
7,5.75,2.348,0.368,-0.279,187.5,20.6,1.5
7,5.75,2.348,0.368,-0.279,202.5,20.7,1.5
7,5.75,2.348,0.368,-0.279,217.5,24.2,1.5
7,5.75,2.348,0.368,-0.279,232.5,28.3,1.6
7,5.75,2.348,0.368,-0.279,247.5,27.2,1.7
7,5.75,2.348,0.368,-0.279,262.5,31.7,1.8
7,5.75,2.348,0.368,-0.279,277.5,35.1,2
7,5.75,2.348,0.368,-0.279,292.5,41.8,2.2
7,5.75,2.348,0.368,-0.279,307.5,51.4,2.7
7,5.75,2.348,0.368,-0.279,322.5,51.4,2.9
7,5.75,2.348,0.368,-0.279,337.5,56.8,3.5
7,5.75,2.348,0.368,-0.279,352.5,60,4.1
8,5.75,2.36,0.371,-0.325,7.5,64.8,5.8
8,5.75,2.36,0.371,-0.325,22.5,60.2,4.9
8,5.75,2.36,0.371,-0.325,37.5,42.3,3.4
8,5.75,2.36,0.371,-0.325,52.5,39.2,3
8,5.75,2.36,0.371,-0.325,67.5,36.8,2.6
8,5.75,2.36,0.371,-0.325,82.5,27.3,2.1
8,5.75,2.36,0.371,-0.325,97.5,25.1,1.9
8,5.75,2.36,0.371,-0.325,112.5,24.3,1.7
8,5.75,2.36,0.371,-0.325,127.5,21.9,1.6
8,5.75,2.36,0.371,-0.325,142.5,20.3,1.5
8,5.75,2.36,0.371,-0.325,157.5,19,1.5
8,5.75,2.36,0.371,-0.325,172.5,20.4,1.6
8,5.75,2.36,0.371,-0.325,187.5,18.1,1.5
8,5.75,2.36,0.371,-0.325,202.5,22.8,1.6
8,5.75,2.36,0.371,-0.325,217.5,19.1,1.5
8,5.75,2.36,0.371,-0.325,232.5,21.9,1.5
8,5.75,2.36,0.371,-0.325,247.5,20.8,1.6
8,5.75,2.36,0.371,-0.325,262.5,25.6,1.9
8,5.75,2.36,0.371,-0.325,277.5,31.5,2.1
8,5.75,2.36,0.371,-0.325,292.5,36.4,2.4
8,5.75,2.36,0.371,-0.325,307.5,40,2.7
8,5.75,2.36,0.371,-0.325,322.5,52.6,3.4
8,5.75,2.36,0.371,-0.325,337.5,55.7,4.6
8,5.75,2.36,0.371,-0.325,352.5,59.1,5.7
9,5.75,2.375,0.373,-0.372,7.5,60.6,8.4
9,5.75,2.375,0.373,-0.372,22.5,54.8,6.3
9,5.75,2.375,0.373,-0.372,37.5,41.2,4.1
9,5.75,2.375,0.373,-0.372,52.5,38.8,3.3
9,5.75,2.375,0.373,-0.372,67.5,29.5,2.6
9,5.75,2.375,0.373,-0.372,82.5,23.8,2.2
9,5.75,2.375,0.373,-0.372,97.5,20.3,1.9
9,5.75,2.375,0.373,-0.372,112.5,16.6,1.6
9,5.75,2.375,0.373,-0.372,127.5,16.5,1.5
9,5.75,2.375,0.373,-0.372,142.5,14.9,1.4
9,5.75,2.375,0.373,-0.372,157.5,14,1.5
9,5.75,2.375,0.373,-0.372,172.5,13.7,1.7
9,5.75,2.375,0.373,-0.372,187.5,15.1,1.7
9,5.75,2.375,0.373,-0.372,202.5,16.7,1.6
9,5.75,2.375,0.373,-0.372,217.5,14.2,1.4
9,5.75,2.375,0.373,-0.372,232.5,19,1.5
9,5.75,2.375,0.373,-0.372,247.5,18.5,1.7
9,5.75,2.375,0.373,-0.372,262.5,19.6,1.8
9,5.75,2.375,0.373,-0.372,277.5,24.2,2
9,5.75,2.375,0.373,-0.372,292.5,31.2,2.5
9,5.75,2.375,0.373,-0.372,307.5,33.3,2.9
9,5.75,2.375,0.373,-0.372,322.5,45.5,4
9,5.75,2.375,0.373,-0.372,337.5,55.2,6.4
9,5.75,2.375,0.373,-0.372,352.5,55.4,8.7
10,5.75,2.012,0.378,-0.192,7.5,64,6.3
10,5.75,2.012,0.378,-0.192,22.5,68.2,6.2
10,5.75,2.012,0.378,-0.192,37.5,52.8,5.6
10,5.75,2.012,0.378,-0.192,52.5,52.4,5.8
10,5.75,2.012,0.378,-0.192,67.5,53,5.4
10,5.75,2.012,0.378,-0.192,82.5,47.3,5.1
10,5.75,2.012,0.378,-0.192,97.5,48.2,4.9
10,5.75,2.012,0.378,-0.192,112.5,46.9,4.7
10,5.75,2.012,0.378,-0.192,127.5,45.8,4.6
10,5.75,2.012,0.378,-0.192,142.5,36.5,4.2
10,5.75,2.012,0.378,-0.192,157.5,33.2,4
10,5.75,2.012,0.378,-0.192,172.5,36.3,4.1
10,5.75,2.012,0.378,-0.192,187.5,35.6,4.1
10,5.75,2.012,0.378,-0.192,202.5,37.7,4.3
10,5.75,2.012,0.378,-0.192,217.5,43.6,4.5
10,5.75,2.012,0.378,-0.192,232.5,38.1,4.4
10,5.75,2.012,0.378,-0.192,247.5,37.7,4.3
10,5.75,2.012,0.378,-0.192,262.5,43.4,4.6
10,5.75,2.012,0.378,-0.192,277.5,44.1,4.9
10,5.75,2.012,0.378,-0.192,292.5,50.5,5.3
10,5.75,2.012,0.378,-0.192,307.5,57.7,5.8
10,5.75,2.012,0.378,-0.192,322.5,62.1,5.9
10,5.75,2.012,0.378,-0.192,337.5,62.3,5.9
10,5.75,2.012,0.378,-0.192,352.5,65.4,6
11,5.75,2.054,0.392,-0.233,7.5,57,3.8
11,5.75,2.054,0.392,-0.233,22.5,55.1,3.6
11,5.75,2.054,0.392,-0.233,37.5,48.2,3.3
