,Set#,RepNum,ReH,ReE,ReHtilde
0,1,0,0.6186272868063714,27.402829355033624,2.4130739880630667
1,1,1,-0.8900658910187713,63.9473442255777,-9.759935699711248
2,1,2,4.64125931827961,-26.74459343591128,16.151124056067594
3,1,3,4.086768090734042,-27.402143053324796,13.075444946039076
4,1,4,335.4595409873741,-4775.993417866111,2620.61655696388
5,1,5,1.403071282910555,-46.21513700659983,-6.603612041614499
6,1,6,-23.6740834146425,540.3401835269251,-172.55683327285365
7,1,7,-2.87072128894793,32.26017582519605,4.0568713505905905
8,1,8,2.3649161476051814,-19.1626707205587,6.944110976170528
9,1,9,2.2841533449761116,-21.86971186266486,5.619277570621116
10,1,10,-5.313390814554763,59.53222277529668,-11.668011670996611
11,1,11,-5.3586125591200435,227.06629098216774,-22.929686864014887
12,1,12,2.662299107607675,-32.39027286017217,12.88573802016738
13,1,13,2.2046367361843364,-12.285538427146864,7.18111991789626
14,1,14,3.3333390281254154,-31.124818953649157,13.336828967023315
15,1,15,-1.191563545108765,24.505763123784252,-2.3214844612219228
16,1,16,0.43094073044249226,20.17977744813784,1.1067727627846957
17,1,17,22.42865944617149,-219.13979034407865,152.7161754550406
18,1,18,0.4618299220002875,11.883782719110547,0.3973643298182089
19,1,19,1.63793906700652,-28.36195824284346,15.87901963715325
20,1,20,1.5300690196824027,-7.479795670703884,5.181459122605142
21,1,21,14.490685780176483,-196.75672452502883,-27.03755972072445
22,1,22,-1.134228338751626,35.435697424766396,-12.729460297418457
23,1,23,1.9234925438026105,-19.29036883194204,3.6762653091638136
24,1,24,0.8931515324362644,-2.623919742974585,4.118121637714001
25,1,25,0.11795711679938202,31.846314385492477,-2.39885336947908
26,1,26,3.2067061182743184,-95.04046733763593,35.87522683817757
27,1,27,0.27184288699358267,2.644079174231729,0.9742775241220349
28,1,28,1.1231492322856484,-9.990655753904315,9.010400501517164
29,1,29,5.363606245167649,-34.07047265086557,19.388296401648304
30,1,30,1.067881627406844,-7.757338171982058,6.470432792770544
31,1,31,1.9937128799959751,-16.07187546317792,12.794331781016007
32,1,32,3.4386738898623075,-28.267181756598298,16.58836708436581
33,1,33,-0.3256195167685154,11.083151100815607,-3.5165442721730935
34,1,34,1.7582420798314826,-21.98699202058716,13.819756519660768
35,1,35,0.6026441536234136,2.151641114966837,2.2058472743090505
36,1,36,0.7534250142054247,-2.7309903050530484,3.353951710308913
37,1,37,1.5967953384375215,47.30324698830597,-2.585518286023303
38,1,38,5.1469291534863775,-79.24138690113732,25.714712981322716
39,1,39,1.4444931212408096,-2.3486876941084645,4.6086586826725915
40,1,40,1.8223987521619545,-20.1384471898293,15.256146491620328
41,1,41,17.471800695925328,-120.3578633019062,39.684588298790494
42,1,42,4.079685336573684,-26.719032838541544,18.32775921838354
43,1,43,0.3134418455777723,1.7209738440544333,0.173466575758092
44,1,44,2.701278443835891,-14.313085237169968,6.693899636996574
45,1,45,4.396439458052908,-27.657232246748812,13.743602145988149
46,1,46,2.1388807039029745,-15.55816079295043,10.737988577440328
47,1,47,9.251348762212912,-176.6885099817902,60.964593443705226
48,1,48,2.8769308116324357,-16.99465748810215,10.965860810766465
49,1,49,0.4261348028118729,-0.46960933912361114,3.5145857675996273
50,1,50,-0.7010489069221717,16.30437937566702,-4.143731224033449
51,1,51,-0.051403524804504004,31.719879605423902,-20.491763589482918
52,1,52,-6.439874224081967,59.05536882339542,-18.77016409502963
53,1,53,0.18299837074556413,29.49271821236638,-19.003056720270855
54,1,54,1.7461557544292563,-30.726232988949853,11.208831044817503
55,1,55,6.1202499333491165,-50.499963357390115,31.087740193859155
56,1,56,4.156829586854469,-32.6532907627904,20.620904528095153
57,1,57,6.570511266003598,-43.5361961143118,9.45031787481352
58,1,58,-0.1969540499401839,8.022361183354592,-0.9586204295909603
59,1,59,1.2540779624233651,-5.635197592890104,6.029220477404248
60,1,60,-0.4608134116013253,14.214673853324744,-6.060914530374289
61,1,61,1.3963523302715835,-60.866690027315656,42.37868554263316
62,1,62,1.492460468792,-11.165831161553688,6.624176254838464
63,1,63,-0.565084568626065,46.354047712615426,-7.210886899697136
64,1,64,8.284242750192522,-58.91241374474064,20.245877347591104
65,1,65,1.6236046959221146,-1.2327789750780205,2.422288038047992
66,1,66,-0.04654336026181969,11.04080326117127,-3.342604507111131
67,1,67,-0.022292945484639448,10.105205874884552,-2.6296532928975322
68,1,68,2.00171664419167,-0.9042368606633158,4.732594585298264
69,1,69,1.252820687336315,1.4291806936257716,5.557250606565522
70,1,70,2.6724903821773354,-13.80216221922609,6.834417362886155
71,1,71,-1.70561293655584,17.931567948658376,-8.874840165653863
72,1,72,3.1879881357221707,-20.475474440819728,19.127323344197542
73,1,73,1.8374841911438557,-19.20394928569981,6.848789378178842
74,1,74,6.907437472075081,-34.2835973099546,10.314223777495581
75,1,75,1.3587618828578034,-5.056274972177042,3.726825481574394
76,1,76,1.3667420725596506,-7.083814083582013,5.957333570080419
77,1,77,0.8353801336493765,41.12398468138828,-31.181351367364012
78,1,78,1.692804820944122,-13.765604477275465,9.800590093196824
79,1,79,1.6220256892283282,-38.48389768930865,30.243583673819142
80,1,80,0.7588211139795584,13.552471618987452,-7.103506208217635
81,1,81,-0.08342030751818302,7.558753839833438,-1.3341574282412036
82,1,82,2.8672637724765675,-17.13426050428584,9.322949611747335
83,1,83,1.4021282647140079,-1.948226513444011,2.505098406774019
84,1,84,1.2615596100537518,3.303907731702564,1.4396946182874422
85,1,85,0.07904372839029528,6.009236033064459,0.42373185790530266
