Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev
1,2.750000,1.515760,0.369204,-0.306885,0.603495,0.301088,-0.837723,14.092030,3.089627,0.670689
2,2.750000,1.867290,0.527413,-0.437447,1.386032,0.406144,-1.939829,11.117650,4.973535,2.313429
3,2.750000,1.188990,0.580204,-0.479462,0.027994,2.987178,13.846753,26.106259,-5.935820,16.532392
4,2.750000,1.444090,0.463857,-0.483145,1.708819,2.051138,-2.297017,22.152320,4.596858,6.714904

6,2.750000,1.812020,0.384596,-0.443662,1.081608,0.542933,3.758021,29.833059,4.080670,7.313807

8,2.750000,1.117980,0.283371,-0.498293,0.545029,2.377126,3.692516,18.524571,4.380951,1.618511
9,2.750000,1.783840,0.492262,-0.461759,1.527117,0.470468,-5.631064,9.958337,4.405822,1.891459
10,2.750000,1.664470,0.452008,-0.422538,1.646722,0.427778,-6.719702,9.630632,3.595254,1.680114
11,2.750000,1.191470,0.393982,-0.440906,0.424932,4.217530,4.911645,39.220770,2.254179,10.458441
12,2.750000,2.039650,0.547977,-0.449074,1.676265,0.447991,0.235650,13.863671,4.311217,1.860892
13,2.750000,1.686910,0.503554,-0.383757,1.246087,0.534149,-0.954783,14.019225,3.171213,4.136551
14,2.750000,1.554800,0.474670,-0.469742,2.004739,1.107194,-7.223270,14.110600,4.723748,3.876080
15,2.750000,1.605390,0.494002,-0.454349,2.060264,0.795078,-10.493560,12.456463,5.976434,3.649742
16,2.750000,1.370860,0.416852,-0.455687,1.750389,1.485715,-7.082074,16.263975,4.713042,3.911781
17,2.750000,1.628280,0.433084,-0.354941,0.929881,0.340163,2.259370,11.285497,2.236410,1.584570
18,2.750000,1.349210,0.609671,-0.496856,1.622317,5.339250,3.787771,56.603233,3.830185,38.270021
19,2.750000,1.665580,0.457363,-0.385021,0.976799,0.369895,-1.825376,10.819708,3.597846,2.003382
20,2.750000,1.014840,0.410423,-0.232699,0.565043,0.331903,-0.702048,8.158181,2.869780,3.744731
21,2.750000,1.548800,0.416308,-0.488016,0.902330,0.844727,2.496369,11.438009,3.821208,1.551368
22,2.750000,1.515440,0.313819,-0.448103,0.255959,5.154227,4.393464,61.241750,2.878139,10.017864
23,2.750000,1.075250,0.456711,-0.290708,0.528047,0.577473,5.059544,10.529423,1.587011,5.594030
24,2.750000,1.805680,0.447482,-0.454667,1.675328,0.351354,-8.190748,12.869595,3.591617,0.759064
25,2.750000,1.013320,0.423223,-0.238837,0.388438,0.421157,4.197898,10.276871,0.533447,4.841882
26,2.750000,1.731350,0.470845,-0.390857,1.130592,0.287503,-1.204674,8.345941,3.130505,1.359521
27,2.750000,1.472720,0.455851,-0.296889,0.965818,0.315370,-2.085055,12.010115,3.435441,4.031503
28,5.750000,1.399600,0.332528,-0.261921,0.510728,0.368100,-1.594197,4.687703,2.565673,1.847137
29,5.750000,2.059420,0.433327,-0.272603,0.927665,0.141735,-9.036921,8.994586,6.797810,5.954685
30,5.750000,1.135280,0.589380,-0.463738,0.602570,2.249263,7.392999,18.486215,-14.130339,14.615434




All CFFs in the range [-100,100]
1,2.750000,1.515760,0.369204,-0.306885,0.357552,12.896033,25.043108,56.233446,1.953477,28.820157


1,2.750000,1.515760,0.369204,-0.306885,0.584427,0.324398,-2.769499,13.996468,2.998815,0.677003
1,2.750000,1.515760,0.369204,-0.306885,0.599620,0.315199,-2.425307,14.622041,2.961356,0.689340

17,2.750000,1.628280,0.433084,-0.354941,0.931356,0.366718,1.980894,12.299622,2.419467,1.821040
17,2.750000,1.628280,0.433084,-0.354941,0.800431,0.363878,4.571056,13.363888,1.205437,1.726242

RRMSSE
1,2.750000,1.515760,0.369204,-0.306885,0.515990,0.324307,-4.964536,16.450666,2.864114,0.730364

RRME
1,2.750000,1.515760,0.369204,-0.306885,0.633667,0.355874,1.808840,15.279055,3.223839,0.728160

17,2.750000,1.628280,0.433084,-0.354941,0.942524,0.382477,2.091512,12.333355,2.811557,1.870163
17,2.750000,1.628280,0.433084,-0.354941,0.972436,0.400632,-0.683144,12.819172,3.172712,1.722726
17,2.750000,1.628280,0.433084,-0.354941,0.963673,0.415181,0.693768,12.917111,2.800050,1.906433

200 replicas, 2000 candidates:
17,2.750000,1.628280,0.433084,-0.354941,0.927483,0.381840,2.056727,13.381786,2.740526,1.894093
1,2.750000,1.515760,0.369204,-0.306885,0.641877,0.368279,-1.191354,16.097091,3.125776,0.743530


100 replicas, 1000 candidates:
1,2.750000,1.515760,0.369204,-0.306885,0.585836,0.308097,-2.142420,14.126081,2.989480,0.668639
2,2.750000,1.867290,0.527413,-0.437447,1.174896,0.457673,3.315130,12.121072,4.242872,2.560118
3,2.750000,1.188990,0.580204,-0.479462,0.293899,3.045296,11.573400,27.740877,-4.723744,17.358012
4,2.750000,1.444090,0.463857,-0.483145,1.277443,2.089867,2.187395,22.465531,3.256373,7.194002

6,2.750000,1.812020,0.384596,-0.443662,1.097145,0.562190,10.651116,31.922076,5.728846,7.768706

8,2.750000,1.117980,0.283371,-0.498293,1.272642,2.435806,-2.207474,18.611976,4.561765,1.394172
9,2.750000,1.783840,0.492262,-0.461759,1.620290,0.451659,-7.550322,10.564600,4.674308,1.929844
10,2.750000,1.664470,0.452008,-0.422538,1.632741,0.433531,-5.377106,10.151174,3.410150,1.775430
11,2.750000,1.191470,0.393982,-0.440906,0.386124,4.266559,5.309918,38.537022,1.880819,9.898666
12,2.750000,2.039650,0.547977,-0.449074,1.641898,0.481230,1.078381,16.310133,4.289143,2.132938
13,2.750000,1.686910,0.503554,-0.383757,1.249422,0.516799,-0.910115,14.457781,3.130720,4.289272
14,2.750000,1.554800,0.474670,-0.469742,2.123899,1.164230,-8.267844,15.598395,5.252187,4.581315
15,2.750000,1.605390,0.494002,-0.454349,1.792739,0.856465,-6.175504,12.871371,4.670437,3.933399
16,2.750000,1.370860,0.416852,-0.455687,1.438850,1.433971,-4.080182,15.859240,4.271413,3.858096
17,2.750000,1.628280,0.433084,-0.354941,0.899289,0.360755,1.241638,11.871600,2.327205,1.735193
18,2.750000,1.349210,0.609671,-0.496856,1.646119,5.220662,4.405019,55.680191,2.949973,37.776667
19,2.750000,1.665580,0.457363,-0.385021,1.044280,0.431954,-3.362297,10.259945,3.825170,1.919671
20,2.750000,1.014840,0.410423,-0.232699,0.546716,0.347724,-0.530262,8.690428,2.798433,3.862220
21,2.750000,1.548800,0.416308,-0.488016,1.034667,0.792340,0.666249,10.732349,4.162350,1.625127
22,2.750000,1.515440,0.313819,-0.448103,0.480129,4.815084,0.653221,60.984592,2.217023,10.846973
23,2.750000,1.075250,0.456711,-0.290708,0.566738,0.577710,3.650808,10.569116,2.309894,5.404851
24,2.750000,1.805680,0.447482,-0.454667,1.661603,0.364813,-6.012316,12.854095,3.567723,0.725048
25,2.750000,1.013320,0.423223,-0.238837,0.515601,0.445807,1.109634,11.272336,1.959248,5.521219
26,2.750000,1.731350,0.470845,-0.390857,1.182896,0.283407,-3.276923,9.437771,3.601575,1.659066
