,Epoch,Batch,Set,Calculated Points,Calculated CFFs,MAE,Max Residual,NRMSE
0,15000,1,0,"[0.77506125 0.69490004 0.5876067  0.47606736 0.37513268 0.2911019
 0.22462706 0.17365208 0.13528262 0.10670781 0.08554819 0.06992137
 0.05839206 0.04988852 0.04362009 0.03900764 0.03562912 0.03317869
 0.03143687 0.03024907 0.02951064 0.02915687 0.02915687 0.02951064
 0.03024907 0.03143687 0.03317868 0.03562911 0.03900763 0.04362009
 0.0498885  0.05839206 0.06992137 0.08554813 0.10670777 0.13528262
 0.17365202 0.22462697 0.2911019  0.37513247 0.4760673  0.5876067
 0.69490004 0.775061   0.8051021 ]",[ 2.4710808  -0.29925913  1.6372305   0.05524791],0.020486196733270224,0.09699172807693485,0.15054785664039258
1,15000,1,20,"[ 0.7155136   0.59077275  0.4499595   0.32791218  0.23385537  0.16494313
  0.11539859  0.07993068  0.05448547  0.03614474  0.0228533   0.0131707
  0.00608498  0.00088144 -0.0029477  -0.00576514 -0.00783094 -0.00933161
 -0.01040021 -0.01113015 -0.01158457 -0.01180245 -0.01180245 -0.01158457
 -0.01113015 -0.01040021 -0.00933162 -0.00783094 -0.00576515 -0.0029477
  0.00088143  0.00608497  0.0131707   0.02285327  0.03614473  0.05448547
  0.07993065  0.11539848  0.16494313  0.2338551   0.32791206  0.44996008
  0.5907737   0.7155134   0.7675387 ]",[1.8848013  1.0797548  2.7195442  0.00545851],0.020126224256538604,0.06566072632980346,0.1538524547953307
2,15000,1,40,"[0.7192559  0.5664636  0.40795124 0.28225666 0.19317402 0.13285574
 0.09271088 0.06614645 0.04860291 0.037037   0.02943845 0.0244793
 0.02127849 0.01924794 0.01799271 0.01724592 0.01682645 0.01661116
 0.01651646 0.01648622 0.01648406 0.0164881  0.01648811 0.01648406
 0.01648622 0.01651645 0.01661117 0.01682647 0.01724591 0.01799271
 0.01924796 0.02127849 0.0244793  0.02943844 0.03703698 0.04860291
 0.06614641 0.09271079 0.13285574 0.19317384 0.28225663 0.40795124
 0.5664635  0.7192559  0.7865983 ]",[2.0863607  0.8132376  3.1013987  0.04636823],0.011932025254497002,0.03495847045898437,0.09005097408243601
3,15000,1,60,"[ 8.6588252e-01  7.0367002e-01  5.2049702e-01  3.6280355e-01
  2.4327204e-01  1.5801936e-01  9.8929338e-02  5.8502179e-02
  3.1001817e-02  1.2345575e-02 -2.8545782e-04 -8.8142343e-03
 -1.4548320e-02 -1.8377829e-02 -2.0910565e-02 -2.2563376e-02
 -2.3622859e-02 -2.4286445e-02 -2.4689689e-02 -2.4924442e-02
 -2.5050968e-02 -2.5105655e-02 -2.5105640e-02 -2.5050968e-02
 -2.4924450e-02 -2.4689689e-02 -2.4286442e-02 -2.3622848e-02
 -2.2563342e-02 -2.0910565e-02 -1.8377811e-02 -1.4548343e-02
 -8.8142343e-03 -2.8548762e-04  1.2345560e-02  3.1001817e-02
  5.8502052e-02  9.8929174e-02  1.5801936e-01  2.4327177e-01
  3.6280322e-01  5.2049726e-01  7.0366955e-01  8.6588180e-01
  9.3337452e-01]",[ 1.2488959  -0.39346066  3.0832376   0.01325952],0.03897272989151213,0.08703848409271231,0.22262820720324059
4,15000,1,80,"[0.37479886 0.36466464 0.34881192 0.32857925 0.3054829  0.28099543
 0.2563867  0.23264149 0.21044415 0.1902089  0.1721325  0.156253
 0.14250198 0.13074835 0.12083034 0.11257812 0.10582893 0.10043593
 0.09627383 0.09324118 0.09126174 0.09028469 0.09028469 0.09126174
 0.09324118 0.09627383 0.10043592 0.10582892 0.11257811 0.12083034
 0.13074833 0.14250195 0.156253   0.17213249 0.19020888 0.21044415
 0.23264144 0.2563867  0.28099543 0.30548286 0.32857922 0.34881192
 0.36466464 0.37479886 0.3782875 ]",[ 3.3735232  -4.095584    4.032064    0.05190382],0.010085347776947019,0.04138886412620546,0.06603035737447097
5,15000,1,100,"[0.05462935 0.04805038 0.03981664 0.03187102 0.02515166 0.01985439
 0.01582929 0.01282711 0.01060698 0.00897031 0.00776405 0.00687398
 0.00621616 0.0057293  0.00536879 0.00510217 0.00490585 0.00476273
 0.00466052 0.00459055 0.00454691 0.00452596 0.00452596 0.00454691
 0.00459055 0.00466052 0.00476273 0.00490585 0.00510217 0.00536879
 0.0057293  0.00621616 0.00687398 0.00776405 0.00897031 0.01060698
 0.0128271  0.01582928 0.01985439 0.02515166 0.03187102 0.03981664
 0.04805042 0.05462935 0.05719768]",[ 2.03838    -0.9279941   2.140006    0.00589412],0.001082950714982165,0.003430448218441004,0.08674094051367111
6,15000,1,120,"[0.19632919 0.17365575 0.14447285 0.11541599 0.09011189 0.06965406
 0.05377897 0.04172698 0.03267608 0.02590901 0.02085337 0.01707177
 0.01423736 0.01210857 0.0105079  0.00930525 0.00840549 0.0077393
 0.00725666 0.00692207 0.00671141 0.00660967 0.00660967 0.00671141
 0.00692207 0.00725666 0.0077393  0.00840549 0.00930525 0.0105079
 0.01210856 0.01423735 0.01707177 0.02085335 0.025909   0.03267608
 0.04172697 0.05377893 0.06965406 0.09011188 0.11541575 0.14447284
 0.17365569 0.19632915 0.20503081]",[1.0044038  0.82441664 3.0979204  0.00925969],0.0038715822450310663,0.022919688762664814,0.1316715076982374
7,15000,1,140,"[0.11508869 0.11285932 0.10939659 0.10502347 0.10009968 0.09496638
 0.08990774 0.08513308 0.08077631 0.07690638 0.07354251 0.07066985
 0.06825287 0.06624565 0.0645992  0.06326609 0.06220325 0.06137343
 0.06074575 0.06029586 0.06000577 0.05986366 0.05986366 0.06000577
 0.06029586 0.06074575 0.06137343 0.06220325 0.06326609 0.0645992
 0.06624565 0.06825286 0.07066985 0.07354251 0.07690638 0.08077631
 0.08513306 0.08990773 0.09496638 0.10009968 0.10502347 0.10939658
 0.11285929 0.11508867 0.11585891]",[ 1.7720878  -1.1507261   5.75891     0.06842056],0.007214582719402309,0.01341260108318329,0.11056080420347228
8,15000,1,160,"[0.05548517 0.05162875 0.04604442 0.03963275 0.03317617 0.02720426
 0.02199027 0.01761498 0.014042   0.01117765 0.00890971 0.00712877
 0.00573812 0.00465679 0.00381934 0.00317407 0.00268088 0.00230911
 0.00203579 0.00184413 0.00172245 0.0016634  0.0016634  0.00172245
 0.00184413 0.00203579 0.00230911 0.00268088 0.00317407 0.00381934
 0.00465679 0.00573812 0.00712877 0.0089097  0.01117765 0.014042
 0.01761497 0.02199026 0.02720426 0.03317616 0.03963273 0.04604439
 0.05162874 0.05548514 0.05686811]",[3.6239290e-01 1.3368132e+00 3.6253023e+00 3.1128675e-03],0.0015343068433678676,0.008076993873214727,0.11202474848609835
9,15000,1,180,"[0.02357167 0.02077133 0.01723986 0.01383218 0.01098618 0.00879932
 0.00719791 0.00605662 0.00525502 0.004696   0.0043073  0.00403723
 0.00384958 0.00371921 0.00362871 0.00356603 0.00352283 0.00349333
 0.00347351 0.00346067 0.003453   0.00344943 0.00344943 0.003453
 0.00346067 0.00347351 0.00349333 0.00352283 0.00356603 0.00362871
 0.00371921 0.00384958 0.00403723 0.0043073  0.004696   0.00525502
 0.00605662 0.00719791 0.00879932 0.01098618 0.01383217 0.01723985
 0.02077133 0.02357169 0.02465713]",[0.7314328  1.1910818  2.4663358  0.00406997],0.0007686243235969411,0.001968720976033211,0.11983692711092982
10,15000,1,200,"[0.01138229 0.01058705 0.00944342 0.0081412  0.00684046 0.00564546
 0.00460702 0.00373774 0.00302798 0.00245793 0.00200493 0.00164737
 0.0013664  0.00114635 0.0009746  0.00084118 0.00073839 0.00066031
 0.0006025  0.00056173 0.00053574 0.00052308 0.00052308 0.00053574
 0.00056173 0.0006025  0.00066031 0.00073839 0.00084118 0.0009746
 0.00114635 0.0013664  0.00164737 0.00200493 0.00245793 0.00302798
 0.00373774 0.00460702 0.00564546 0.00684046 0.0081412  0.00944343
 0.01058706 0.01138231 0.01166861]",[1.0414691e+00 7.1156275e-01 1.8974935e+00 4.1116774e-04],0.0002658240962028967,0.0017750858881592762,0.09703437870927593
11,15000,1,220,"[0.01227058 0.01109588 0.00950597 0.00783123 0.00629568 0.00500185
 0.00396736 0.00316643 0.00255811 0.00210104 0.00175946 0.0015047
 0.00131474 0.001173   0.00106721 0.00098835 0.0009298  0.00088676
 0.00085579 0.00083444 0.00082105 0.0008146  0.0008146  0.00082105
 0.00083443 0.00085579 0.00088676 0.0009298  0.00098835 0.00106721
 0.001173   0.00131474 0.0015047  0.00175946 0.00210104 0.00255811
 0.00316643 0.00396736 0.00500185 0.00629568 0.00783123 0.00950597
 0.01109588 0.01227058 0.01270797]",[9.9802911e-01 1.0255880e+00 4.2836733e+00 9.9565089e-04],0.00015249551005414003,0.0010616394722294809,0.06814759243244903
12,15000,6,0,"[0.7424794  0.6607618  0.55188066 0.439502   0.3388445  0.25618893
 0.19195324 0.14378378 0.10851262 0.08311317 0.06505212 0.0523458
 0.04349771 0.0374032  0.03325755 0.0304793  0.02865078 0.02747388
 0.02673779 0.02629622 0.02605125 0.02594295 0.02594295 0.02605125
 0.02629624 0.02673781 0.02747387 0.02865078 0.03047929 0.03325755
 0.03740322 0.04349771 0.0523458  0.06505209 0.08311312 0.10851262
 0.14378372 0.19195317 0.25618893 0.3388443  0.4395019  0.55188066
 0.6607618  0.74247926 0.77317065]",[2.351056  0.5485297 4.270183  0.0987429],0.018086150283529494,0.06126565767288211,0.10698944245299977
