,Epoch,Batch,Set,Calculated Points,Calculated CFFs,MAE,Max Residual,NRMSE
10,10,1,200,"[0.00260245 0.00258867 0.0025596  0.00251033 0.00243898 0.00234728
 0.00223964 0.00212163 0.00199885 0.00187614 0.00175733 0.00164523
 0.00154174 0.00144804 0.00136479 0.00129227 0.00123053 0.00117947
 0.00113893 0.00110872 0.00108868 0.00107869 0.00107869 0.00108868
 0.00110872 0.00113893 0.00117947 0.00123053 0.00129227 0.00136479
 0.00144804 0.00154174 0.00164523 0.00175733 0.00187613 0.00199885
 0.00212163 0.00223963 0.00234728 0.00243898 0.00251034 0.00255961
 0.00258868 0.00260246 0.00260628]",[-3.8980956e+00 -1.2958705e+00 -3.3908728e-01 -1.1643432e-03],0.002325562343108879,0.010837423577260972,0.9841737862895217
11,10,1,220,"[ 0.00157231  0.00138495  0.00111269  0.00079525  0.00046506  0.00014374
 -0.00015632 -0.00042919 -0.0006729  -0.00088781 -0.00107552 -0.00123818
 -0.00137813 -0.00149763 -0.00159879 -0.00168345 -0.00175321 -0.0018094
 -0.00185311 -0.00188517 -0.00190621 -0.00191663 -0.00191663 -0.00190621
 -0.00188517 -0.00185311 -0.0018094  -0.00175321 -0.00168345 -0.00159879
 -0.00149763 -0.00137813 -0.00123818 -0.00107552 -0.00088781 -0.0006729
 -0.00042919 -0.00015632  0.00014374  0.00046506  0.00079525  0.00111269
  0.00138495  0.00157231  0.00163957]",[-3.8795552e+00 -2.8229086e+00  4.5002002e-01 -3.5918877e-03],0.004320771831895769,0.011003392335098982,1.3910956197981135
12,10,6,0,"[0.7239749  0.6585124  0.5705244  0.47845066 0.39435977 0.32350063
 0.26658922 0.22213814 0.18794549 0.16183555 0.14194542 0.1267859
 0.11520973 0.10635068 0.09956209 0.09436443 0.09040365 0.08741986
 0.08522415 0.08368194 0.08270118 0.08222457 0.08222457 0.08270118
 0.08368193 0.08522415 0.08741985 0.09040365 0.09436443 0.09956209
 0.10635063 0.11520971 0.1267859  0.14194535 0.16183555 0.18794549
 0.22213808 0.26658913 0.32350063 0.3943596  0.4784506  0.5705244
 0.6585124  0.7239749  0.7484576 ]",[ 1.7515287  -1.8949162   0.01187354  0.06903464],0.04746493312863033,0.08704313493156432,0.25301535914162543
13,10,6,20,"[0.71006733 0.59563357 0.4661901  0.3535957  0.26634115 0.2019022
 0.15507445 0.12108724 0.09628733 0.07804621 0.06451247 0.05438692
 0.04675455 0.0409667  0.03656012 0.03320178 0.03065119 0.02873444
 0.0273265  0.02633887 0.02571136 0.02540657 0.02540657 0.02571136
 0.02633887 0.02732649 0.02873444 0.03065118 0.03320178 0.03656012
 0.04096669 0.04675454 0.05438692 0.06451245 0.07804621 0.09628733
 0.12108723 0.15507434 0.2019022  0.26634088 0.3535957  0.46619081
 0.5956346  0.71006733 0.7577501 ]",[ 1.6490765  -0.71659505  0.08238402  0.01865841],0.022054319530604362,0.055872093936920164,0.1626041542873382
14,10,6,40,"[0.7371064  0.59529084 0.44712916 0.3281767  0.24222627 0.18239106
 0.14104618 0.11232789 0.09217151 0.07785045 0.06754784 0.06004756
 0.05452828 0.0504295  0.04736458 0.04506417 0.04333919 0.04205632
 0.04112171 0.04047021 0.04005806 0.03985839 0.03985838 0.04005806
 0.04047021 0.04112171 0.04205631 0.04333919 0.04506417 0.04736458
 0.05042949 0.05452827 0.06004756 0.06754783 0.07785042 0.09217151
 0.11232784 0.14104606 0.18239106 0.2422261  0.3281767  0.44712916
 0.59529084 0.7371064  0.7994187 ]",[ 1.4088756 -1.1500853 -0.3868763  0.0336779],0.026153876829776754,0.06378583967208862,0.20160829804104624
15,10,6,60,"[0.81637144 0.67780447 0.5204021  0.3835282  0.27819744 0.20146811
 0.14677535 0.10799756 0.08042818 0.06069648 0.04645533 0.03608548
 0.02847004 0.02283532 0.01864212 0.01551222 0.01317889 0.01145353
 0.01020325 0.00933562 0.00878864 0.00852424 0.00852424 0.00878864
 0.00933561 0.01020324 0.01145353 0.01317888 0.01551222 0.01864212
 0.0228353  0.02847003 0.03608548 0.04645529 0.06069644 0.08042818
 0.1079974  0.14677516 0.20146811 0.2781972  0.38352773 0.52040213
 0.6778039  0.8163706  0.8738696 ]",[ 0.62291473 -0.4840601   0.45365766  0.00498079],0.014550426403218375,0.13654955911254874,0.14215772715228706
16,10,6,80,"[0.31120107 0.30360907 0.29172343 0.27653542 0.25916973 0.24072108
 0.2221369  0.20415558 0.18729474 0.17187256 0.15804596 0.14585365
 0.13525426 0.12615861 0.11845349 0.11201832 0.1067366  0.10250273
 0.09922616 0.09683336 0.09526894 0.09449597 0.09449597 0.09526894
 0.09683336 0.09922616 0.10250272 0.1067366  0.1120183  0.11845349
 0.12615861 0.13525423 0.14585365 0.15804596 0.17187254 0.18729474
 0.20415555 0.22213687 0.24072108 0.25916973 0.27653542 0.29172343
 0.30360907 0.31120107 0.31381357]",[ 2.1450903  -4.2792864   2.474464    0.04715009],0.0250483349277242,0.09120456984329228,0.17023446766874992
17,10,6,100,"[0.0473095  0.04575879 0.04379069 0.04184783 0.04015014 0.03875206
 0.03762994 0.03673642 0.03602419 0.03545362 0.03499366 0.03462072
 0.03431697 0.03406902 0.03386672 0.0337024  0.03357023 0.03346577
 0.03338572 0.03332764 0.03328982 0.03327118 0.03327118 0.03328982
 0.03332764 0.03338572 0.03346577 0.03357023 0.0337024  0.03386672
 0.03406902 0.03431697 0.03462072 0.03499366 0.03545362 0.03602419
 0.03673642 0.03762994 0.03875206 0.04015014 0.04184783 0.04379069
 0.0457588  0.04730949 0.04791088]",[-2.0445435  -0.209968    0.39746618  0.03052583],0.02285044786758126,0.02994213330696106,1.6246806361327484
18,10,6,120,"[0.19549605 0.1742945  0.14694282 0.11960737 0.0956737  0.07618298
 0.06091733 0.04919504 0.04027154 0.03349425 0.02834054 0.02440954
 0.02140027 0.01908914 0.01731081 0.0159433  0.01489674 0.01410518
 0.01352064 0.0131089  0.0128465  0.0127188  0.0127188  0.0128465
 0.0131089  0.01352064 0.01410518 0.01489674 0.0159433  0.01731081
 0.01908913 0.02140027 0.02440954 0.02834053 0.03349423 0.04027154
 0.04919503 0.06091728 0.07618298 0.0956737  0.11960713 0.14694281
 0.17429446 0.19549602 0.20362386]",[0.8387364  0.5136108  0.19907293 0.00866641],0.009474997033190198,0.02355845683956148,0.2099663213619228
19,10,6,140,"[0.05613787 0.05541258 0.05428379 0.05285396 0.05123767 0.04954414
 0.04786518 0.0462693  0.0448014  0.04348579 0.04233094 0.0413342
 0.04048608 0.03977346 0.0391819  0.03869721 0.03830634 0.03799789
 0.03776236 0.03759221 0.03748184 0.03742757 0.03742757 0.03748184
 0.03759221 0.03776236 0.03799789 0.03830634 0.03869721 0.0391819
 0.03977346 0.04048608 0.0413342  0.04233094 0.04348579 0.0448014
 0.0462693  0.04786517 0.04954414 0.05123766 0.05285396 0.05428378
 0.05541256 0.05613787 0.0563882 ]",[ 0.3131769  -1.218049    1.5877479   0.03713848],0.029159530104121107,0.06179222088551521,0.45675697793192815
