,set,designator,abs_err,max_res,rms_err
0,0,err,0.1578505229783037,0.5938923710651397,1.08137995820809
1,0,res,0.01705338191200309,0.07187843859863274,0.11382689805323365
2,0,rms,0.014291048537912368,0.051366399059295687,0.09530013203145027
3,0,final,0.009498786973382101,0.06613219810485843,0.08471555576221385
4,1,err,0.07577423818248749,0.1910128646812439,0.7116842194273423
5,1,res,0.008778040892316501,0.032116031023025515,0.09418708235201789
6,1,rms,0.00815953654720889,0.02691144284820557,0.08071088577611917
7,1,final,0.0230622124449971,0.06374231458473201,0.20344445601849695
8,2,err,0.3695667553243785,5.457035650939941,2.459632697317924
9,2,res,0.05839312988215394,0.17495716598510747,0.15346991823097986
10,2,rms,0.034951636571919666,0.12627458538055425,0.09266504069699863
11,2,final,0.06911493544684093,0.11323165859222417,0.17201420453394892
12,3,err,0.28125584676401344,4.868584209289551,4.669582996656826
13,3,res,0.010933988164553106,0.05688963560485838,0.08641752073479897
14,3,rms,0.03526696724720134,0.19916725793838497,0.28584771446543034
15,3,final,0.0362058075568464,0.07909845149230954,0.20856980578137974
16,4,err,0.11270564993826761,0.13576298889160154,0.6578297921159136
17,4,res,0.012628450044363864,0.05801021916580196,0.09441492485242857
18,4,rms,0.01849528013152546,0.08298033339691158,0.13660070088920281
19,4,final,0.02751445955150339,0.05746859175872798,0.17582187989944079
20,5,err,0.09670303909444972,0.7125230590744018,1.6937662856015039
21,5,res,0.007742506452251805,0.0376256504325867,0.0865509521919207
22,5,rms,0.011987788730524114,0.05042121394157412,0.13332700544773513
23,5,final,0.007658633199522229,0.03062690284538272,0.08288865819286718
24,6,err,0.38358632573585477,1.481851236629486,1.3032497370714826
25,6,res,0.021266103364487768,0.16143444446563726,0.08556125270465821
26,6,rms,0.03772612588229075,0.1335870352172852,0.10361774427382217
27,6,final,0.018453001772946266,0.1661330786132813,0.08407793407058424
28,7,err,0.3504204591066043,1.5030055330352783,5.275850002291058
29,7,res,0.006301045719170039,0.03507951215362548,0.08334070103872702
30,7,rms,0.015208075895343093,0.043487969194412224,0.1536405174383206
31,7,final,0.045002168358762536,0.057442739204406734,0.41578421816788586
32,8,err,0.037663279200294816,0.4107350500259399,0.7979561072112774
33,8,res,0.020811794386007523,0.11326054650878903,0.23642031544891032
34,8,rms,0.02606775726434469,0.09662983733749386,0.24637193614820027
35,8,final,0.01765386365556399,0.04469839650726315,0.15362441076503494
36,9,err,0.4695238042403502,2.1087165186405183,1.4866248396784407
37,9,res,0.02554514441156812,0.16379082298278824,0.0903828599153142
38,9,rms,0.03711631433435655,0.16102612113952652,0.10237492207437589
39,9,final,0.02349281183190878,0.2502406845092775,0.10198499098502767
40,10,err,0.47855923467865014,1.7891550392456055,5.111737913484499
41,10,res,0.009632789818631277,0.02042707995033266,0.0771995584796398
42,10,rms,0.00912813415755868,0.02301159082412718,0.07946868686272124
43,10,final,0.008929990618770388,0.03371926723480223,0.09806364885009987
44,11,err,0.12116377908482022,0.8648339367370605,1.4920607907065164
45,11,res,0.007798385432105592,0.048950260448455796,0.07477122855058019
46,11,rms,0.01694440796926816,0.04003891414070132,0.11517649198617132
47,11,final,0.02228813164798948,0.06481910305023192,0.15294178742526593
48,12,err,0.08488822374331885,0.2942459536705017,0.9185135085289216
49,12,res,0.014364011806864209,0.03561368766593931,0.116929316313959
50,12,rms,0.008375160029890798,0.04746079626846311,0.08971141448683242
51,12,final,0.006610121298587589,0.029923274589538584,0.07272496352706548
52,13,err,0.03827914275924789,0.0948518451099396,0.3119304504175102
53,13,res,0.0060729035609838715,0.034910939762115456,0.06404824944528058
54,13,rms,0.03709474269018808,0.06947615010452268,0.270298784457484
55,13,final,0.006092059121047126,0.03576081258964536,0.06383088472239215
56,14,err,0.28897858058531356,0.8104009469795226,1.2623145537431115
57,14,res,0.010983161318175842,0.06027438833045956,0.06176663702543587
58,14,rms,0.033636582241439075,0.06175400741577142,0.14164628963576462
59,14,final,0.01928422645760451,0.06748416616249081,0.09335935297479074
60,15,err,0.1375609650823932,0.8136964053726197,0.8152172851059123
61,15,res,0.028871972814572662,0.07561454183197025,0.13395836201364988
62,15,rms,0.031956854203863135,0.09586837013244631,0.14671660108626838
63,15,final,0.013989798628916741,0.07559659202575686,0.08095354527980589
64,16,err,0.25808000797904096,2.62523762109375,6.9440081794227515
65,16,res,0.003351446724486404,0.02834294460105896,0.07130564628024756
66,16,rms,0.021407473107797514,0.03997702124214175,0.24485610155802182
67,16,final,0.02376533049241299,0.048151291633605986,0.2737094475717948
68,17,err,0.05605549967156304,0.2357626762485504,1.052726910254353
69,17,res,0.0037299714612081328,0.012522191478729239,0.06310939881830087
70,17,rms,0.009588763238788179,0.017392059812545768,0.13176549849734734
71,17,final,0.004236776458002728,0.019990623666763296,0.07808577376024974
72,18,err,0.3327296398076652,2.0487380893802642,2.5504723029932572
73,18,res,0.024465260824112357,0.13652825222015386,0.15821026687862674
74,18,rms,0.040598576571204664,0.09195351684570308,0.2103013134740922
75,18,final,0.10148893028564875,0.32931882423400904,0.5588417638311731
76,19,err,0.24728792277053938,2.7459166073913575,4.758093005270045
77,19,res,0.012703924341050254,0.04712835985279082,0.12827148141603004
78,19,rms,0.027280436159602277,0.06185465592002867,0.22301555281513205
79,19,final,0.016132885079666502,0.04052514092636106,0.13261615035849475
80,20,err,0.11920306098233256,0.4342571511516571,1.0885679748117751
81,20,res,0.006591097260340903,0.032025338729858466,0.06760292362201864
82,20,rms,0.024768987601206625,0.0697684899177552,0.1812242454406323
83,20,final,0.007024548121839152,0.059942604621887274,0.09992012768669863
84,21,err,0.0739664406207678,0.09754616114425663,0.4475068870875743
85,21,res,0.010113167472736046,0.10059183928298954,0.10506536238370774
86,21,rms,0.07295222540164101,0.12404227652359007,0.42058270849832124
87,21,final,0.03055642790523742,0.07510376372146604,0.18611938821788795
88,22,err,0.056593611147502255,0.2288539035224914,0.4399684695360894
89,22,res,0.009938750661493806,0.09334800796508791,0.11132546562962044
90,22,rms,0.07686623223815708,0.11704625915527339,0.4565319204842165
91,22,final,0.015450512324433063,0.10571668380737298,0.14519403906630804
92,23,err,0.06686087718774718,0.5948106428604125,1.150644364447124
93,23,res,0.018682224408727757,0.03787161574745179,0.1550178249732574
94,23,rms,0.014329362872114186,0.04474426970863343,0.12696042913282785
95,23,final,0.01032633153815111,0.04186842557525633,0.10527256080371683
96,24,err,0.08052629635337193,0.18034003563690187,0.6919009587319057
97,24,res,0.007407582282428742,0.032219873668670684,0.08727208460875165
98,24,rms,0.0108313948208544,0.039845751525878936,0.10361798753665857
99,24,final,0.02904776927312348,0.08420281291198733,0.2531935099032493
100,25,err,0.2212772375237486,0.8921426747989655,1.652950205827218
101,25,res,0.006970971160495545,0.050970367069244404,0.06833238646419214
102,25,rms,0.07355158503435136,0.11981927501678469,0.4161922886966599
103,25,final,0.02755834032956018,0.08202291647720339,0.17180714810180137
104,26,err,0.0697065974702903,0.15349669844627378,0.841487737736652
105,26,res,0.003698132319780825,0.026745054039001487,0.08053024359744235
106,26,rms,0.003618666748914877,0.027828934701919578,0.07988368823771047
107,26,final,0.055170216661075924,0.06263276057419777,0.5872761000138921
108,27,err,0.042337532517166133,0.12141288555145269,0.25360244361240375
109,27,res,0.014387639635933766,0.04996117589187621,0.10589692624416691
110,27,rms,0.04435163261582401,0.11736477649688726,0.25177917812401357
111,27,final,0.01705989349289153,0.10253698862075811,0.12915742864981886
112,28,err,0.11874439344460594,0.8478977778053285,1.0621606543803317
113,28,res,0.011338867947079879,0.08695590742111192,0.08225161560661882
114,28,rms,0.021162249667509132,0.10014480598449693,0.1156611134061595
115,28,final,0.014561752712890582,0.09589839227676378,0.09156286906226377
116,29,err,0.199765578260248,1.0064319364929202,0.8307506947314234
117,29,res,0.06680976470929675,0.1716810558319093,0.21196902908166204
118,29,rms,0.03314196147127681,0.18200361801147436,0.1411734476806296
119,29,final,0.046887092649906474,0.17402089576721202,0.15559509776782593
120,30,err,0.26425178260532484,2.500768123397827,3.405128561194935
121,30,res,0.05668277882965405,0.08508644472503668,0.30308093540207304
122,30,rms,0.02532354650929238,0.03991315733337408,0.14361334240233553
123,30,final,0.028875745002110792,0.0440543609462738,0.16444366574158847
124,31,err,0.24681047530293881,1.1917511519699096,4.521182823658094
125,31,res,0.013669505214950771,0.03170752494621276,0.1548277486208091
126,31,rms,0.006659849342412416,0.028107161577224704,0.09391492773525444
127,31,final,0.020139237674268087,0.042602623756408664,0.22686971482769921
128,32,err,0.06169797664492927,0.22383040545654298,0.6721228024542368
129,32,res,0.007606061487470736,0.052738553873062144,0.11738874360076175
130,32,rms,0.022793638648107312,0.05127803145980836,0.23064369924179712
131,32,final,0.04101634818179078,0.06237778423500062,0.39919586733998325
132,33,err,0.03775052611390352,0.18921600247192383,0.5391967553063065
133,33,res,0.005504815576445527,0.03073871340179446,0.08176982277315374
134,33,rms,0.019405766532571454,0.038171353000640895,0.206387691662083
135,33,final,0.014684419127281507,0.028047651066017143,0.15868583816764978
136,34,err,0.12057287584828554,0.7338172417716979,1.4227596319146045
137,34,res,0.00872908959618786,0.08197244225311273,0.10296270860709858
138,34,rms,0.010545416055819936,0.06520148335266107,0.10020317566295475
139,34,final,0.01014871157159122,0.10748901186752313,0.13668425722177285
140,35,err,0.08560009846558732,0.5287298030700683,1.436356893173765
141,35,res,0.004372313942770166,0.03898871289443967,0.07175398813579602
142,35,rms,0.016506171842294668,0.057234916555404636,0.16813755775709324
143,35,final,0.019109621266231537,0.055151719657898,0.19928288729190416
144,36,err,0.1329114377588998,0.8473122489929199,1.2645720582637905
145,36,res,0.01151609568796661,0.1358922111129761,0.13086000950691107
146,36,rms,0.010195940652266871,0.10639136901855473,0.10508565245397049
147,36,final,0.044462961182391916,0.07491165271759037,0.25494636312364477
148,37,err,0.1411254186816544,0.39989345785522457,0.8746782018239174
149,37,res,0.006813269990981953,0.0666741180763245,0.0745389780263625
150,37,rms,0.021494441852192354,0.045059566532135054,0.13025292418658466
151,37,final,0.006442396454376649,0.048154120479583784,0.06632793884677547
152,38,err,0.27023555768731433,1.9564789916801453,1.3915204212599712
153,38,res,0.04283544884921445,0.2490451123046875,0.18258853752958223
154,38,rms,0.018074381487144367,0.08907675804138204,0.07622212174628895
155,38,final,0.026048030888861817,0.19790599601745607,0.13050838038622226
156,39,err,0.08208777858253981,0.6507733109283445,0.4006659234612266
157,39,res,0.022491820679133214,0.1650064543151859,0.09288957476167939
158,39,rms,0.0882381010846297,0.37552970203399694,0.2875687385288935
159,39,final,0.02124137914314748,0.20036989006042516,0.10191655881255392
160,40,err,0.3867901161089303,2.2149489400329587,4.690508513289889
161,40,res,0.0102009604817258,0.048078893703460635,0.09603510752197009
162,40,rms,0.012662615040186776,0.04732452690124511,0.1154225625917493
163,40,final,0.01044388721006711,0.05062054454803466,0.10105908732305652
164,41,err,0.15603125952011,1.019357245376587,3.8643021749622912
165,41,res,0.0040641262321080085,0.015685542225837706,0.06902850113994514
166,41,rms,0.004525739357526567,0.014086718932151798,0.06805139078275979
167,41,final,0.003539749132454131,0.014864023104667667,0.06187883045699138
168,42,err,0.0802458725335227,0.36110420737838744,0.6699588585329919
169,42,res,0.028753838188876044,0.07425524507141112,0.1641779267517035
170,42,rms,0.02931779139948951,0.10092827367401125,0.18392358881007015
171,42,final,0.01382597027902603,0.05216862474060058,0.08986616843214353
172,43,err,0.07921876950812871,0.323340089553833,1.8619566666647114
173,43,res,0.0068709012471426835,0.013932711807250975,0.11083794851752815
174,43,rms,0.009849446685936451,0.015996599133491496,0.1552689732003491
175,43,final,0.005886846161086294,0.014060876694679258,0.09745256626415574
176,44,err,0.08532808021412956,0.36631494541740417,1.0286593579180476
177,44,res,0.022023287575675118,0.048990099896430966,0.191585476505069
178,44,rms,0.01660239934802426,0.02776126490974426,0.12793474497376747
179,44,final,0.024078356901902884,0.06779954274368283,0.20165870116963516
