#k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2
5.75000,1.11000,0.12600,-0.11000,7.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,22.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,37.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,55.82000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,68.33000,8.93540,0.54180,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,82.35000,5.70240,0.28230,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,97.13000,3.59730,0.20400,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,112.20000,2.95450,0.21220,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,127.27000,2.60400,0.18030,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,142.33000,2.16740,0.14020,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,157.40000,2.18330,0.14640,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,172.47000,1.96590,0.17250,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,187.53000,2.36940,0.16730,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,202.60000,2.14430,0.13770,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,217.67000,2.48370,0.16290,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,232.73000,2.47090,0.19040,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,247.80000,3.08390,0.17760,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,262.87000,3.42950,0.18930,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,277.65000,5.39070,0.29220,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,291.67000,9.07390,0.56550,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,304.18000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,322.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,337.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,352.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.15000,7.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,22.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,37.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,56.12000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,68.12000,5.06170,0.40330,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,82.03000,3.13580,0.19950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,97.11000,2.49800,0.15210,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,112.18000,1.78950,0.13400,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,127.26000,1.34500,0.11370,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,142.33000,1.35650,0.09310,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,157.40000,1.32420,0.09230,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,172.47000,1.21560,0.10560,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,187.53000,1.21640,0.09950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,202.60000,1.22840,0.08790,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,217.67000,1.21960,0.08920,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,232.74000,1.39160,0.12020,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,247.82000,1.68520,0.12320,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,262.89000,2.16740,0.13790,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,277.97000,3.62780,0.21950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,291.88000,4.80630,0.37260,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,303.88000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,322.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,337.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,352.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.20000,7.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,22.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,37.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,56.19000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,67.53000,3.16880,0.32980,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,82.00000,2.48840,0.19350,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,97.09000,1.66220,0.12870,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,112.17000,1.23730,0.10920,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,127.25000,0.82380,0.09040,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,142.32000,0.78330,0.07050,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,157.39000,0.89140,0.07360,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,172.46000,0.74000,0.07860,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,187.54000,0.79660,0.08600,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,202.61000,0.61930,0.05980,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,217.68000,0.74810,0.06580,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,232.75000,0.93110,0.09310,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,247.83000,0.99900,0.09670,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,262.91000,1.53600,0.12140,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,278.00000,1.83400,0.15510,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,292.47000,2.82450,0.28510,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,303.81000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,322.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,337.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,352.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.26000,7.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,22.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,37.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,55.41000,2.22810,0.28640,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,66.94000,2.25910,0.21040,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,81.98000,1.22450,0.10870,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,97.08000,0.78810,0.07070,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,112.16000,0.78750,0.06630,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,127.24000,0.53340,0.05980,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,142.32000,0.48500,0.04710,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,157.39000,0.51230,0.04630,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,172.46000,0.52620,0.05190,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,187.54000,0.38190,0.04850,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,202.61000,0.40600,0.04090,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,217.68000,0.46200,0.04350,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,232.76000,0.59330,0.05780,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,247.84000,0.55890,0.06210,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,262.92000,0.85580,0.07490,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,278.02000,1.20990,0.10000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,293.06000,1.70660,0.16660,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,304.59000,2.44840,0.31940,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,322.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,337.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,352.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.34000,7.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,22.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,43.80000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,53.26000,1.57480,0.13580,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,66.86000,1.02150,0.10560,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,81.98000,0.79740,0.07520,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,97.07000,0.51450,0.04680,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,112.16000,0.39870,0.03780,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,127.24000,0.41660,0.04670,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,142.31000,0.33270,0.03450,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,157.39000,0.27540,0.02880,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,172.46000,0.29300,0.03300,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,187.54000,0.30730,0.03820,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,202.61000,0.33630,0.03390,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,217.69000,0.25580,0.02720,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,232.76000,0.33120,0.03650,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,247.84000,0.36110,0.04320,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,262.93000,0.59740,0.05140,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,278.02000,0.68480,0.06070,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,293.14000,1.18230,0.10520,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,306.74000,1.13960,0.12750,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,316.20000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,337.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,352.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.45000,7.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,22.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,41.56000,0.96420,0.08410,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,51.83000,0.84930,0.06230,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,66.87000,0.61470,0.05710,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,81.97000,0.39420,0.03820,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,97.06000,0.27240,0.02540,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,112.15000,0.26260,0.02520,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,127.23000,0.18850,0.02500,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,142.31000,0.17590,0.02200,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,157.39000,0.18180,0.02000,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,172.46000,0.15670,0.01960,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,187.54000,0.15130,0.02270,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,202.61000,0.13150,0.01800,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,217.69000,0.15850,0.01820,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,232.77000,0.19840,0.02280,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,247.85000,0.20370,0.02620,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,262.94000,0.26710,0.02570,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,278.03000,0.34250,0.03120,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,293.13000,0.57230,0.04970,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,308.17000,0.81640,0.07670,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,318.44000,0.00000,0.00000,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,337.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.11000,0.12600,-0.45000,352.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.27000,0.15400,-0.11000,10.20000,0.00000,0.00000,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,25.75000,0.00000,0.00000,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,39.49000,8.44470,0.47980,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,52.77000,4.79470,0.27550,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,67.03000,3.13400,0.21630,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,82.09000,2.35810,0.14470,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,97.15000,1.94400,0.13180,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,112.20000,1.61840,0.14500,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,127.26000,1.19960,0.13760,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,142.33000,1.17660,0.10980,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,157.40000,1.05840,0.10180,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,172.46000,1.10940,0.13200,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,187.54000,0.95410,0.11780,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,202.60000,1.05610,0.10010,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,217.67000,1.18770,0.11240,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,232.74000,1.08850,0.13090,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,247.80000,1.28010,0.11610,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,262.85000,1.84380,0.12690,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,277.91000,2.59060,0.16720,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,292.97000,2.92820,0.20480,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,307.23000,4.54160,0.23120,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,320.51000,7.14400,0.37020,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,334.25000,0.00000,0.00000,0.77206,1.28727
5.75000,1.27000,0.15400,-0.11000,349.80000,0.00000,0.00000,0.77206,1.28727
5.75000,1.27000,0.15400,-0.15000,7.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,29.30000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,41.24000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,53.18000,3.59230,0.22520,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,66.96000,2.29930,0.16820,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,82.04000,1.54550,0.10410,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,97.11000,1.16700,0.08320,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,112.18000,0.81740,0.07430,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,127.25000,0.75340,0.08950,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,142.32000,0.65680,0.06790,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,157.39000,0.53490,0.05800,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,172.46000,0.61590,0.07280,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,187.54000,0.63260,0.07920,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,202.61000,0.54830,0.05980,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,217.68000,0.78410,0.07120,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,232.75000,0.68410,0.08100,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,247.82000,0.83130,0.07910,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,262.89000,1.05380,0.07790,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,277.96000,1.50950,0.10090,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,293.04000,2.35090,0.16740,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,306.82000,3.50590,0.21880,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,318.76000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,330.70000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.15000,352.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.27000,0.15400,-0.20000,7.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,22.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,42.63000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,53.03000,2.47350,0.19780,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,66.90000,1.45340,0.14170,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,82.00000,1.01450,0.08870,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,97.09000,0.82530,0.06880,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,112.17000,0.62730,0.06150,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,127.24000,0.50370,0.06910,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,142.31000,0.36120,0.04850,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,157.39000,0.43500,0.04980,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,172.46000,0.32210,0.04670,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,187.54000,0.35450,0.05620,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,202.61000,0.53190,0.05890,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,217.69000,0.51260,0.05480,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,232.76000,0.38880,0.05470,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,247.83000,0.54690,0.06340,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,262.91000,0.81980,0.06870,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,278.00000,1.02630,0.08610,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,293.10000,1.42540,0.13410,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,306.97000,2.09910,0.18880,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,317.37000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,337.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.20000,352.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.27000,0.15400,-0.26000,7.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,22.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,43.01000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,52.39000,1.48580,0.12180,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,66.86000,0.87230,0.09180,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,81.97000,0.66000,0.06090,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,97.07000,0.48910,0.04400,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,112.15000,0.43940,0.04280,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,127.23000,0.28560,0.04050,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,142.31000,0.37430,0.04260,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,157.39000,0.21810,0.02830,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,172.46000,0.25760,0.03340,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,187.54000,0.33260,0.04840,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,202.61000,0.26360,0.03300,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,217.69000,0.29020,0.03350,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,232.77000,0.26300,0.03630,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,247.85000,0.37670,0.04620,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,262.93000,0.40430,0.04090,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,278.03000,0.80510,0.06350,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,293.14000,0.89080,0.08720,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,307.61000,1.71070,0.15260,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,316.99000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,337.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.26000,352.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.27000,0.15400,-0.34000,7.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,22.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,42.82000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,51.80000,0.88910,0.07440,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,66.83000,0.57850,0.06090,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,81.95000,0.30160,0.03680,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,97.05000,0.31320,0.03080,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,112.14000,0.22280,0.02570,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,127.23000,0.20880,0.03150,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,142.31000,0.10590,0.02060,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,157.38000,0.14210,0.02170,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,172.46000,0.10200,0.01810,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,187.54000,0.11450,0.02410,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,202.62000,0.15990,0.02390,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,217.69000,0.18680,0.02320,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,232.77000,0.15530,0.02310,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,247.86000,0.24220,0.03370,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,262.95000,0.31570,0.03190,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,278.05000,0.37310,0.03590,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,293.17000,0.53130,0.05470,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,308.20000,0.94150,0.09280,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,317.18000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,337.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.34000,352.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.27000,0.15400,-0.45000,7.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,22.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,41.09000,1.09550,0.09600,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,51.65000,0.47900,0.03900,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,66.81000,0.30200,0.03270,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,81.93000,0.18670,0.02460,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,97.04000,0.15400,0.01760,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,112.13000,0.12750,0.01590,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,127.22000,0.07090,0.01350,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,142.30000,0.09540,0.01800,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,157.38000,0.08420,0.01580,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,172.46000,0.06980,0.01500,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,187.54000,0.05530,0.01780,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,202.62000,0.09100,0.01850,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,217.70000,0.09780,0.01570,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,232.78000,0.11070,0.01650,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,247.87000,0.14140,0.02180,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,262.96000,0.15610,0.01830,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,278.07000,0.16890,0.01940,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,293.19000,0.36170,0.03330,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,308.35000,0.50710,0.05090,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,318.91000,0.94310,0.08800,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,337.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.27000,0.15400,-0.45000,352.50000,0.00000,0.00000,0.44130,0.59989
5.75000,1.39000,0.15500,-0.11000,7.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,22.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,44.30000,0.00000,0.00000,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,56.08000,0.00000,0.00000,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,68.41000,4.92780,0.28000,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,82.12000,3.16480,0.16860,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,97.15000,2.52540,0.15160,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,112.22000,1.96830,0.16220,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,127.28000,1.62880,0.14570,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,142.34000,1.60750,0.12150,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,157.40000,1.27130,0.10800,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,172.47000,1.14310,0.12660,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,187.53000,1.16550,0.12250,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,202.60000,1.30290,0.11280,0.77206,1.28727
5.75000,1.39000,0.15500,-0.11000,217.66000,1.62130,0.13580,0.77206,1.28727
