,#Set,index,k,QQ,x_b,t,phi_x,F,errF,varF,F1,F2,dvcs,ReH,ReE,ReHtilde
27,1.0,27.0,5.8,1.82,0.34,-0.17,220.0,0.05457050028035449,0.002979062307409276,8.874812231426679e-06,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
28,1.0,28.0,5.8,1.82,0.34,-0.17,228.0,0.06093670770882585,0.003107716418921515,9.657901340434365e-06,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
29,1.0,29.0,5.8,1.82,0.34,-0.17,236.0,0.05967004098502991,0.00326496731885767,1.0660011593208643e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
30,1.0,30.0,5.8,1.82,0.34,-0.17,244.0,0.07165238615963218,0.003453119332784412,1.192403312644946e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
31,1.0,31.0,5.8,1.82,0.34,-0.17,252.0,0.07169012181983803,0.0036745003903546846,1.3501953118716725e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
32,1.0,32.0,5.8,1.82,0.34,-0.17,260.0,0.07151348321756777,0.003931212974792786,1.545443545317915e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
33,1.0,33.0,5.8,1.82,0.34,-0.17,268.0,0.09340297073761256,0.004224778289765782,1.7848751597676284e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
34,1.0,34.0,5.8,1.82,0.34,-0.17,276.0,0.08675231316074464,0.004555652477270039,2.0753969493656643e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
35,1.0,35.0,5.8,1.82,0.34,-0.17,284.0,0.0947931876116627,0.0049226058649228825,2.423204850137317e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
36,1.0,36.0,5.8,1.82,0.34,-0.17,292.0,0.10120596829132526,0.00532198303902395,2.8323503467658595e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
37,1.0,37.0,5.8,1.82,0.34,-0.17,300.0,0.1176795959946273,0.0057469082917949105,3.3026954914301094e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
38,1.0,38.0,5.8,1.82,0.34,-0.17,308.0,0.1196111091972625,0.006186568873856319,3.827363443096784e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
39,1.0,39.0,5.8,1.82,0.34,-0.17,316.0,0.12191768531892384,0.006625788123475813,4.390106825719313e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
40,1.0,40.0,5.8,1.82,0.34,-0.17,324.0,0.13606826732868094,0.007045164468021751,4.963434238147622e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
41,1.0,41.0,5.8,1.82,0.34,-0.17,332.0,0.1542363197866225,0.007422052435037559,5.508686234844697e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
42,1.0,42.0,5.8,1.82,0.34,-0.17,340.0,0.16957386021270365,0.007732542548490357,5.9792214264213745e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
43,1.0,43.0,5.8,1.82,0.34,-0.17,348.0,0.1707751274268091,0.00795433148556037,6.327138938217704e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
44,1.0,44.0,5.8,1.82,0.34,-0.17,356.0,0.16466474369519254,0.008070012973890251,6.512510939875698e-05,0.6856563620804861,1.0986689027952043,0.034,0.3757,-0.9384,2.465
45,2.0,0.0,5.8,1.93,0.36,-0.23,4.0,0.15054611214915506,0.006943637552682707,4.821410246302549e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
46,2.0,1.0,5.8,1.93,0.36,-0.23,12.0,0.13216606055327096,0.006800537276178919,4.6247307244698995e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
47,2.0,2.0,5.8,1.93,0.36,-0.23,20.0,0.143507466415836,0.00653193340987937,4.2666154071098335e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
48,2.0,3.0,5.8,1.93,0.36,-0.23,28.0,0.1261456530938559,0.00616828531116013,3.8047743679873823e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
49,2.0,4.0,5.8,1.93,0.36,-0.23,36.0,0.11975251082806422,0.005745611338376193,3.3012049651677065e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
50,2.0,5.0,5.8,1.93,0.36,-0.23,44.0,0.11116095072864246,0.005298488398582122,2.8073979309909333e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
51,2.0,6.0,5.8,1.93,0.36,-0.23,52.0,0.09464489828889894,0.004855337036959709,2.357429774247269e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
52,2.0,7.0,5.8,1.93,0.36,-0.23,60.0,0.08459670796427096,0.004436480164634282,1.968235625119343e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
53,2.0,8.0,5.8,1.93,0.36,-0.23,68.0,0.08059784968135933,0.004054369810705043,1.6437914561956456e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
54,2.0,9.0,5.8,1.93,0.36,-0.23,76.0,0.07304304912826635,0.0037150094643625523,1.3801295320303338e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
55,2.0,10.0,5.8,1.93,0.36,-0.23,84.0,0.06954653853585367,0.003419745785515854,1.1694661237553446e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
56,2.0,11.0,5.8,1.93,0.36,-0.23,92.0,0.06639498857016106,0.003166927613802285,1.0029430511063437e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
57,2.0,12.0,5.8,1.93,0.36,-0.23,100.0,0.055019204065389925,0.002953218135535895,8.721497356058109e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
58,2.0,13.0,5.8,1.93,0.36,-0.23,108.0,0.05405742888702873,0.002774527922111656,7.698005190577223e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
59,2.0,14.0,5.8,1.93,0.36,-0.23,116.0,0.05161138735866418,0.002626623243841242,6.899149665087088e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
60,2.0,15.0,5.8,1.93,0.36,-0.23,124.0,0.04518880113245169,0.002505490076965066,6.277480525770411e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
61,2.0,16.0,5.8,1.93,0.36,-0.23,132.0,0.048994830648296316,0.0024075298986831768,5.79620021305343e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
62,2.0,17.0,5.8,1.93,0.36,-0.23,140.0,0.04910789703360285,0.0023296479146070644,5.427259406033044e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
63,2.0,18.0,5.8,1.93,0.36,-0.23,148.0,0.04528595668280196,0.0022692775925218078,5.149620791921574e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
64,2.0,19.0,5.8,1.93,0.36,-0.23,156.0,0.04482316689921143,0.002224371238704418,4.947827407575427e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
65,2.0,20.0,5.8,1.93,0.36,-0.23,164.0,0.04219165084754006,0.00219337578862598,4.8108973501306395e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
66,2.0,21.0,5.8,1.93,0.36,-0.23,172.0,0.04273540192258333,0.0021752056506499514,4.731519622619477e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
67,2.0,22.0,5.8,1.93,0.36,-0.23,180.0,0.04398364288869022,0.0021692196025984213,4.705513684297254e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
68,2.0,23.0,5.8,1.93,0.36,-0.23,188.0,0.042200366912860623,0.0021752056506499514,4.731519622619477e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
69,2.0,24.0,5.8,1.93,0.36,-0.23,196.0,0.04426813766452554,0.00219337578862598,4.8108973501306395e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
70,2.0,25.0,5.8,1.93,0.36,-0.23,204.0,0.044807641852645366,0.002224371238704418,4.947827407575427e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
71,2.0,26.0,5.8,1.93,0.36,-0.23,212.0,0.0417342424680752,0.0022692775925218078,5.149620791921574e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
72,2.0,27.0,5.8,1.93,0.36,-0.23,220.0,0.044383653871124334,0.0023296479146070644,5.427259406033044e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
73,2.0,28.0,5.8,1.93,0.36,-0.23,228.0,0.04890073008040483,0.0024075298986831768,5.79620021305343e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
74,2.0,29.0,5.8,1.93,0.36,-0.23,236.0,0.04981004697255808,0.002505490076965066,6.277480525770411e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
75,2.0,30.0,5.8,1.93,0.36,-0.23,244.0,0.053181814103134765,0.002626623243841241,6.899149665087085e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
76,2.0,31.0,5.8,1.93,0.36,-0.23,252.0,0.05799371738064973,0.002774527922111656,7.698005190577223e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
77,2.0,32.0,5.8,1.93,0.36,-0.23,260.0,0.06014831294039824,0.002953218135535894,8.721497356058102e-06,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
78,2.0,33.0,5.8,1.93,0.36,-0.23,268.0,0.06155218718193797,0.003166927613802285,1.0029430511063437e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
79,2.0,34.0,5.8,1.93,0.36,-0.23,276.0,0.0738346860690402,0.003419745785515853,1.1694661237553438e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
80,2.0,35.0,5.8,1.93,0.36,-0.23,284.0,0.06885451322671353,0.0037150094643625523,1.3801295320303338e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
81,2.0,36.0,5.8,1.93,0.36,-0.23,292.0,0.08136589231077798,0.004054369810705043,1.6437914561956456e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
82,2.0,37.0,5.8,1.93,0.36,-0.23,300.0,0.083975788986857,0.004436480164634282,1.968235625119343e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
83,2.0,38.0,5.8,1.93,0.36,-0.23,308.0,0.09999230203431828,0.004855337036959707,2.357429774247267e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
84,2.0,39.0,5.8,1.93,0.36,-0.23,316.0,0.10132657025345143,0.005298488398582122,2.8073979309909333e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
85,2.0,40.0,5.8,1.93,0.36,-0.23,324.0,0.10589149915538792,0.005745611338376193,3.3012049651677065e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
86,2.0,41.0,5.8,1.93,0.36,-0.23,332.0,0.1180522271827113,0.00616828531116013,3.8047743679873823e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
87,2.0,42.0,5.8,1.93,0.36,-0.23,340.0,0.13420467799842525,0.006531933409879375,4.26661540710984e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
88,2.0,43.0,5.8,1.93,0.36,-0.23,348.0,0.13468761037997998,0.006800537276178919,4.6247307244698995e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
89,2.0,44.0,5.8,1.93,0.36,-0.23,356.0,0.13571569105017073,0.006943637552682707,4.821410246302549e-05,0.615619309144978,0.949181395069385,0.036000000000000004,0.5237,-1.2294,2.885
90,3.0,0.0,5.8,1.96,0.37,-0.27,4.0,0.12879663665388855,0.006436551249422095,4.142919198643712e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
91,3.0,1.0,5.8,1.96,0.37,-0.27,12.0,0.12168268124753827,0.006276876349299656,3.9399176704397384e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
92,3.0,2.0,5.8,1.96,0.37,-0.27,20.0,0.120344385246975,0.005981577447516988,3.577926876064385e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
93,3.0,3.0,5.8,1.96,0.37,-0.27,28.0,0.11745710829443685,0.005590897176251822,3.12581312354206e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
94,3.0,4.0,5.8,1.96,0.37,-0.27,36.0,0.1047450347058421,0.005149863377386682,2.652109280574856e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
95,3.0,5.0,5.8,1.96,0.37,-0.27,44.0,0.08168726538163898,0.004698525175522428,2.207613882501805e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
96,3.0,6.0,5.8,1.96,0.37,-0.27,52.0,0.08223047440446245,0.00426664579629313,1.820426635102584e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
97,3.0,7.0,5.8,1.96,0.37,-0.27,60.0,0.08188934960435093,0.003872733152232049,1.4998062068397186e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
98,3.0,8.0,5.8,1.96,0.37,-0.27,68.0,0.07437673473429635,0.003525754891794121,1.2430947557010174e-05,0.5757528191841271,0.8660034883518137,0.037000000000000005,0.6383000000000001,-1.42035,3.1500000000000004
