,ReH,ReE,ReHT,lastMove,epoch,error,replica,set
0,-0.13743342674720616,7.6843313844510455,7.139622498163039,,0,2.148310811226118e-05,0,1
0,-0.13743342674720616,7.6843313844510455,7.139622498163039,contraction_in,1,2.148310811226118e-05,0,1
0,-0.13743342674720616,7.6843313844510455,7.139622498163039,contraction_in,2,2.148310811226118e-05,0,1
0,-0.13743342674720616,7.6843313844510455,7.139622498163039,contraction_out,3,2.148310811226118e-05,0,1
0,1.3870270676289078,3.9594489620683726,-0.3511787593145561,contraction_in,4,1.8881078678614853e-05,0,1
0,1.3870270676289078,3.9594489620683726,-0.3511787593145561,reflection,5,1.8881078678614853e-05,0,1
0,1.6371273298334783,5.118235911220081,3.633438040616128,contraction_in,6,1.4195447549086862e-05,0,1
0,1.6371273298334783,5.118235911220081,3.633438040616128,contraction_out,7,1.4195447549086862e-05,0,1
0,0.7518609225864497,5.953975615938301,4.380256304581752,contraction_in,8,1.4150661639355698e-05,0,1
0,1.4506363015444754,5.35296861703911,4.972642078106128,contraction_out,9,1.4095280331466661e-05,0,1
0,0.660438284345005,7.356945427143449,7.077146563836184,reflection-exp,10,1.369980056420173e-05,0,1
0,1.2957195829960608,5.66976623229685,4.555059844728741,contraction_in,11,1.2848010146052441e-05,0,1
0,0.943729489440815,6.040267854049052,4.957602900069385,contraction_in,12,1.2647063358830572e-05,0,1
0,0.943729489440815,6.040267854049052,4.957602900069385,contraction_in,13,1.2647063358830572e-05,0,1
0,0.943729489440815,6.040267854049052,4.957602900069385,contraction_out,14,1.2647063358830572e-05,0,1
0,1.2135478374979511,5.354842792341788,3.6527543854135436,reflection-exp,15,1.261251355431575e-05,0,1
0,1.2397096375151377,5.584685131099974,4.353156589788252,contraction_in,16,1.2575255896591762e-05,0,1
0,1.2630753686575895,5.3818166845743605,4.082287005408712,contraction_in,17,1.2557704699008886e-05,0,1
0,1.091253551998854,5.740358028360546,4.493501113469778,contraction_in,18,1.2492506122754238e-05,0,1
0,1.091253551998854,5.740358028360546,4.493501113469778,contraction_in,19,1.2492506122754238e-05,0,1
0,1.091253551998854,5.740358028360546,4.493501113469778,contraction_out,20,1.2492506122754238e-05,0,1
0,1.091253551998854,5.740358028360546,4.493501113469778,contraction_in,21,1.2492506122754238e-05,0,1
0,1.1003507675511375,5.681180958097109,4.507241473738877,reflection-exp,22,1.2487307885338956e-05,0,1
0,1.1060319341526257,5.764376618106635,4.6567430671259125,reflection-exp,23,1.2485034097990522e-05,0,1
0,1.1534776937178224,5.601602594782895,4.3448709307614175,contraction_in,24,1.2482617972693105e-05,0,1
0,1.1534776937178224,5.601602594782895,4.3448709307614175,reflection,25,1.2482617972693105e-05,0,1
0,1.1182025514676774,5.672322917690789,4.505956825564164,contraction_in,26,1.2480335025225414e-05,0,1
0,1.1182025514676774,5.672322917690789,4.505956825564164,contraction_in,27,1.2480335025225414e-05,0,1
0,1.1182025514676774,5.672322917690789,4.505956825564164,contraction_in,28,1.2480335025225414e-05,0,1
0,1.1403043103520043,5.636111256434793,4.4311246983400245,contraction_in,29,1.2479907442482756e-05,0,1
0,1.1279733722142926,5.674187989880114,4.51573554334845,contraction_in,30,1.2479682630549614e-05,0,1
0,1.134472701590638,5.650916213472469,4.48743717297261,contraction_in,31,1.2479601713709434e-05,0,1
0,1.1262263397599945,5.66303070214329,4.492027981892263,contraction_in,32,1.2479506820185507e-05,0,1
0,1.1349308907701563,5.649411445800042,4.464762465538899,contraction_in,33,1.2479499549424625e-05,0,1
0,1.1338282799532482,5.644585185767843,4.46424603852766,contraction_out,34,1.2479462807289263e-05,0,1
0,1.1330672692092187,5.65162932902143,4.480558000812776,contraction_in,35,1.2479444509350637e-05,0,1
0,1.1300842432021012,5.6557863445031975,4.480941741759354,contraction_in,36,1.2479410540557487e-05,0,1
0,1.129722304139556,5.651922460394936,4.48573472186096,reflection-exp,37,1.24793938714198e-05,0,1
0,1.129722304139556,5.651922460394936,4.48573472186096,reflection,38,1.24793938714198e-05,0,1
0,1.129722304139556,5.651922460394936,4.48573472186096,contraction_in,39,1.24793938714198e-05,0,1
0,1.129722304139556,5.651922460394936,4.48573472186096,contraction_in,40,1.24793938714198e-05,0,1
0,1.129722304139556,5.651922460394936,4.48573472186096,reflection,41,1.24793938714198e-05,0,1
0,1.1313889819150995,5.648445637194117,4.484320594299085,reflection-exp,42,1.247938622209583e-05,0,1
0,1.1313889819150995,5.648445637194117,4.484320594299085,contraction_in,43,1.247938622209583e-05,0,1
0,1.1298102512735566,5.647820209074928,4.4882792812632175,reflection-exp,44,1.2479379270675396e-05,0,1
0,1.1298102512735566,5.647820209074928,4.4882792812632175,reflection,45,1.2479379270675396e-05,0,1
0,1.1317723124617494,5.638625319086472,4.482471128489936,expansion,46,1.2479362460280984e-05,0,1
0,1.1317723124617494,5.638625319086472,4.482471128489936,reflection,47,1.2479362460280984e-05,0,1
0,1.1317723124617494,5.638625319086472,4.482471128489936,reflection,48,1.2479362460280984e-05,0,1
0,1.130379566855973,5.638663544004993,4.492283195652468,expansion,49,1.2479351136146693e-05,0,1
0,1.130379566855973,5.638663544004993,4.492283195652468,contraction_in,50,1.2479351136146693e-05,0,1
0,1.1329086931869845,5.621333989193553,4.483786258527677,expansion,51,1.2479322659411046e-05,0,1
0,1.1329086931869845,5.621333989193553,4.483786258527677,reflection,52,1.2479322659411046e-05,0,1
0,1.1327400337062214,5.608809918963665,4.497897088735287,expansion,53,1.2479289340748298e-05,0,1
0,1.1327400337062214,5.608809918963665,4.497897088735287,reflection,54,1.2479289340748298e-05,0,1
0,1.135039779850353,5.576825604339614,4.494829194405786,expansion,55,1.2479211398966958e-05,0,1
0,1.135039779850353,5.576825604339614,4.494829194405786,reflection,56,1.2479211398966958e-05,0,1
0,1.1328791958997433,5.556314890900542,4.52184337309031,expansion,57,1.2479174630473309e-05,0,1
0,1.1383059909421671,5.483815513027146,4.523366740400465,expansion,58,1.247900545317234e-05,0,1
0,1.1383059909421671,5.483815513027146,4.523366740400465,reflection,59,1.247900545317234e-05,0,1
0,1.135716719282251,5.4563785425881,4.551447228958797,reflection-exp,60,1.2478977927274664e-05,0,1
0,1.1432138802819272,5.337240090278042,4.555331744734742,expansion,61,1.2478621685847111e-05,0,1
0,1.1432138802819272,5.337240090278042,4.555331744734742,reflection,62,1.2478621685847111e-05,0,1
0,1.1455267828270788,5.167934554276825,4.622604780732514,expansion,63,1.2478423893044294e-05,0,1
0,1.160515389691738,4.934364506843644,4.637601355389566,expansion,64,1.247792597586372e-05,0,1
0,1.1628397225062754,4.755645256468558,4.690419305177013,expansion,65,1.2477349577648276e-05,0,1
0,1.1824541344612374,4.183464137032942,4.8399619518296095,expansion,66,1.2477019698352424e-05,0,1
0,1.214755681005093,3.537604791791492,4.92277305093116,expansion,67,1.2476019345558323e-05,0,1
0,1.2390187585891297,2.607985171605703,5.177951597158651,expansion,68,1.2475453431066655e-05,0,1
0,1.2390187585891297,2.607985171605703,5.177951597158651,reflection,69,1.2475453431066655e-05,0,1
0,1.2390187585891297,2.607985171605703,5.177951597158651,reflection,70,1.2475453431066655e-05,0,1
0,1.225419717932647,3.2186647213158928,4.967861224183274,expansion,71,1.2474663998273304e-05,0,1
0,1.2910503691648607,1.236066056081861,5.445911118162566,reflection-exp,72,1.2474365233015545e-05,0,1
0,1.2910503691648607,1.236066056081861,5.445911118162566,reflection,73,1.2474365233015545e-05,0,1
0,1.2478212016438532,2.6133813546335523,5.045138342066202,expansion,74,1.247323430953349e-05,0,1
0,1.2974207666680242,0.7867388885308331,5.5425962058998826,expansion,75,1.2471975091145873e-05,0,1
0,1.3481395932598879,-0.28383005428304076,5.701827916714771,reflection-exp,76,1.2471501480631318e-05,0,1
0,1.3045373385496495,0.8414607365057019,5.413797191624671,reflection-exp,77,1.2470607837333503e-05,0,1
0,1.3045373385496495,0.8414607365057019,5.413797191624671,reflection,78,1.2470607837333503e-05,0,1
0,1.3947486972102372,-1.5597417498032073,5.908048889055315,reflection-exp,79,1.2469901673592108e-05,0,1
0,1.3947486972102372,-1.5597417498032073,5.908048889055315,contraction_in,80,1.2469901673592108e-05,0,1
0,1.3629574773626298,-0.8787479534679867,5.7577029814801985,reflection-exp,81,1.246959298115263e-05,0,1
0,1.3629574773626298,-0.8787479534679867,5.7577029814801985,contraction_in,82,1.246959298115263e-05,0,1
0,1.3629574773626298,-0.8787479534679867,5.7577029814801985,contraction_in,83,1.246959298115263e-05,0,1
0,1.3755962135050805,-1.1099832219339147,5.821191478507651,contraction_in,84,1.2469572616904775e-05,0,1
0,1.396985557382206,-1.799412232728764,5.967630868252298,reflection-exp,85,1.246936245064995e-05,0,1
0,1.396985557382206,-1.799412232728764,5.967630868252298,reflection,86,1.246936245064995e-05,0,1
0,1.396985557382206,-1.799412232728764,5.967630868252298,contraction_in,87,1.246936245064995e-05,0,1
0,1.396985557382206,-1.799412232728764,5.967630868252298,contraction_in,88,1.246936245064995e-05,0,1
0,1.396985557382206,-1.799412232728764,5.967630868252298,contraction_out,89,1.246936245064995e-05,0,1
0,1.4081092978618868,-2.110563121623082,6.020827859678029,reflection-exp,90,1.2469359176121578e-05,0,1
0,1.3927181576857817,-1.667273255989467,5.92338580545489,contraction_in,91,1.2469339905807157e-05,0,1
0,1.395444449589784,-1.767029297022864,5.9469418194105295,contraction_in,92,1.246932399494402e-05,0,1
0,1.395444449589784,-1.767029297022864,5.9469418194105295,contraction_in,93,1.246932399494402e-05,0,1
0,1.395444449589784,-1.767029297022864,5.9469418194105295,contraction_out,94,1.246932399494402e-05,0,1
0,1.3954673413926453,-1.7758431479591426,5.956750010764651,reflection-exp,95,1.2469311062994751e-05,0,1
0,1.3954673413926453,-1.7758431479591426,5.956750010764651,contraction_in,96,1.2469311062994751e-05,0,1
0,1.3954673413926453,-1.7758431479591426,5.956750010764651,contraction_out,97,1.2469311062994751e-05,0,1
0,1.3954673413926453,-1.7758431479591426,5.956750010764651,contraction_in,98,1.2469311062994751e-05,0,1
0,1.397923486327316,-1.853621930955384,5.971468259306798,reflection-exp,99,1.24693106270292e-05,0,1
0,1.3918845835654148,-1.680438530060101,5.934513738057311,expansion,100,1.2469308518802516e-05,0,1
0,1.39322624022231,-1.7403954619714568,5.955164159146097,expansion,101,1.2469302234180688e-05,0,1
0,1.3932221986840485,-1.7404608006988187,5.950680760242156,reflection-exp,102,1.2469301651096185e-05,0,1
0,1.3876318619871995,-1.5872412641982,5.922104178990244,reflection-exp,103,1.2469300717118826e-05,0,1
0,1.3876318619871995,-1.5872412641982,5.922104178990244,reflection,104,1.2469300717118826e-05,0,1
0,1.3918947330614113,-1.7078636008883787,5.948177179588729,contraction_in,105,1.2469299440638291e-05,0,1
0,1.391671468021841,-1.7024634036169863,5.945518216694521,contraction_in,106,1.2469299015095369e-05,0,1
0,1.3906174856935538,-1.6820746220433689,5.944692759643092,contraction_in,107,1.2469298954846686e-05,0,1
0,1.3906174856935538,-1.6820746220433689,5.944692759643092,contraction_in,108,1.2469298954846686e-05,0,1
0,1.3906174856935538,-1.6820746220433689,5.944692759643092,reflection,109,1.2469298954846686e-05,0,1
0,1.3907419687855067,-1.6792028294421113,5.941678697435365,contraction_in,110,1.2469298611907113e-05,0,1
0,1.3907419687855067,-1.6792028294421113,5.941678697435365,contraction_in,111,1.2469298611907113e-05,0,1
0,1.3907419687855067,-1.6792028294421113,5.941678697435365,reflection,112,1.2469298611907113e-05,0,1
0,1.390608697190728,-1.6805533400857344,5.943602241370314,contraction_in,113,1.2469298598700774e-05,0,1
0,1.3908210563520935,-1.6870268446305836,5.9446632692053445,contraction_in,114,1.2469298549232713e-05,0,1
0,1.3902613536459563,-1.668949286502465,5.940375052788173,contraction_in,115,1.2469298509692539e-05,0,1
0,1.390652835590883,-1.6790229932575196,5.942279442611655,contraction_in,116,1.2469298505704029e-05,0,1
0,1.390652835590883,-1.6790229932575196,5.942279442611655,contraction_out,117,1.2469298505704029e-05,0,1
0,1.3906567720820369,-1.6810459509673588,5.9430836774388816,contraction_in,118,1.2469298497529915e-05,0,1
0,1.3906567720820369,-1.6810459509673588,5.9430836774388816,reflection,119,1.2469298497529915e-05,0,1
0,1.390429616992934,-1.6737287886774586,5.941409327559462,contraction_in,120,1.2469298495501229e-05,0,1
0,1.390588154865739,-1.6778832746249757,5.942216503295837,contraction_in,121,1.2469298495373415e-05,0,1
0,1.3905952552969476,-1.678601042968657,5.9423709106762335,contraction_out,122,1.2469298494381671e-05,0,1
0,1.3905972239002886,-1.6788918265288613,5.942541295641362,contraction_in,123,1.246929849279433e-05,0,1
0,1.3905972239002886,-1.6788918265288613,5.942541295641362,contraction_in,124,1.246929849279433e-05,0,1
0,1.3905972239002886,-1.6788918265288613,5.942541295641362,contraction_out,125,1.246929849279433e-05,0,1
0,1.3905159162540401,-1.6766237913672426,5.942114636140566,reflection-exp,126,1.246929849243222e-05,0,1
0,1.3905343058768525,-1.6769414243760081,5.942104753410506,contraction_in,127,1.2469298492311865e-05,0,1
0,1.3905343058768525,-1.6769414243760081,5.942104753410506,contraction_in,128,1.2469298492311865e-05,0,1
0,1.3905659074105396,-1.6779848953916292,5.942352863101361,contraction_in,129,1.24692984922991e-05,0,1
0,1.390533585446832,-1.677077728481551,5.942179237844428,contraction_in,130,1.2469298492157525e-05,0,1
