,ReH,ReE,ReHtilde,SetNum
0,1.705267071723938,-17.92510223388672,1.9878458976745605,9
1,5.356608867645264,-39.14200973510742,2.9345602989196777,9
2,6.145732879638672,-43.8670539855957,2.9022250175476074,9
3,6.939227104187012,-47.874332427978516,2.5321855545043945,9
4,7.338754177093506,-51.60209274291992,2.7048630714416504,9
5,7.201942443847656,-51.02904510498047,4.214341163635254,9
6,6.813045024871826,-42.92853927612305,3.3094303607940674,9
7,7.247472763061523,-44.94402313232422,3.06144642829895,9
8,7.32995080947876,-52.24799346923828,3.13783597946167,9
9,7.574649333953857,-52.95724868774414,3.68257474899292,9
10,7.551870346069336,-45.89311218261719,2.05246901512146,9
11,9.464311599731445,-58.62914276123047,4.047975540161133,9
12,7.450798034667969,-53.15034866333008,3.108571767807007,9
13,8.048230171203613,-50.23163604736328,3.102285861968994,9
14,7.4408464431762695,-55.77288818359375,5.11441707611084,9
15,7.301583766937256,-53.239479064941406,4.120016574859619,9
16,7.6237382888793945,-47.32393264770508,2.3906610012054443,9
17,7.444547176361084,-44.70048904418945,3.117680072784424,9
18,7.627019882202148,-52.699806213378906,4.097433567047119,9
19,7.87156343460083,-48.993934631347656,3.1093647480010986,9
20,7.788775444030762,-54.48517990112305,3.1067392826080322,9
21,9.054718017578125,-55.599952697753906,2.838963031768799,9
22,7.901808261871338,-56.72721481323242,5.053272247314453,9
23,8.790395736694336,-55.030826568603516,2.621279239654541,9
24,6.067251205444336,-43.33622360229492,3.7660653591156006,9
25,4.795266151428223,-36.68095397949219,2.1158699989318848,9
26,5.3516058921813965,-40.29269027709961,3.578265428543091,9
27,7.196265697479248,-51.42474365234375,4.361682415008545,9
28,6.8622965812683105,-49.93692398071289,3.2955386638641357,9
29,7.878161430358887,-49.45885467529297,1.962003231048584,9
30,4.791195869445801,-36.770957946777344,3.366502046585083,9
31,7.012263774871826,-44.23052215576172,2.5248990058898926,9
32,8.764513969421387,-61.28258514404297,3.6409127712249756,9
33,9.591063499450684,-64.99564361572266,3.054898500442505,9
34,9.364294052124023,-64.4130859375,3.7310385704040527,9
35,8.31155776977539,-57.318424224853516,3.0546517372131348,9
36,6.14894437789917,-45.7425651550293,3.4985764026641846,9
37,6.832127094268799,-48.30043029785156,3.338718891143799,9
38,7.0838470458984375,-44.65538787841797,3.0110251903533936,9
39,7.7618584632873535,-56.14666748046875,4.692702293395996,9
40,7.935307025909424,-55.77311706542969,4.473588466644287,9
41,8.935531616210938,-53.186832427978516,2.1486775875091553,9
42,10.622678756713867,-72.6059341430664,3.8117761611938477,9
43,10.434749603271484,-64.9415283203125,4.239285945892334,9
44,9.442933082580566,-58.2931022644043,3.5822291374206543,9
45,7.922721862792969,-60.181278228759766,4.11550235748291,9
46,8.681109428405762,-60.7841682434082,3.953617572784424,9
47,8.292391777038574,-51.437255859375,3.7587828636169434,9
48,8.410420417785645,-53.11132049560547,2.6427531242370605,9
49,5.399330139160156,-39.64676284790039,2.986623525619507,9
50,7.5699872970581055,-53.240570068359375,3.2675087451934814,9
51,9.852838516235352,-61.65106964111328,2.7402102947235107,9
52,10.25311279296875,-63.74900436401367,2.0528409481048584,9
53,7.021175384521484,-42.846824645996094,2.9800784587860107,9
54,7.666593551635742,-47.27553939819336,2.9531657695770264,9
55,6.862063407897949,-49.88410949707031,4.051357269287109,9
56,7.563478946685791,-48.46075439453125,3.825672149658203,9
57,7.196623802185059,-45.72665786743164,2.827847957611084,9
58,9.360377311706543,-57.817108154296875,2.415799856185913,9
59,4.529651641845703,-33.70405578613281,2.62300181388855,9
60,6.9430108070373535,-42.68603515625,3.598630428314209,9
61,7.027488708496094,-52.49380874633789,3.9692769050598145,9
62,7.672312259674072,-54.524478912353516,3.867851972579956,9
63,7.094395637512207,-50.89671325683594,3.6319968700408936,9
64,8.36794376373291,-49.705909729003906,1.796892523765564,9
65,10.106513977050781,-61.9622688293457,2.8816726207733154,9
66,7.4542155265808105,-54.31096649169922,3.954629898071289,9
67,8.673941612243652,-53.22986602783203,2.022275686264038,9
68,7.388739585876465,-51.1226806640625,2.994009256362915,9
69,7.813440322875977,-55.04549026489258,3.7882211208343506,9
70,8.605589866638184,-61.0865478515625,4.389726161956787,9
71,9.129597663879395,-63.727516174316406,4.477694988250732,9
72,9.128128051757812,-61.962646484375,2.837301254272461,9
73,7.157768726348877,-49.32432556152344,4.497171401977539,9
74,9.411059379577637,-56.637298583984375,2.430304527282715,9
75,8.367058753967285,-51.755615234375,3.589015007019043,9
76,9.14509105682373,-58.27788543701172,3.0868821144104004,9
77,8.079089164733887,-49.62226486206055,3.5207035541534424,9
78,9.016020774841309,-55.84761047363281,3.704707622528076,9
79,8.03339958190918,-56.098079681396484,3.132582902908325,9
80,7.936031341552734,-48.074459075927734,2.6313376426696777,9
81,9.266179084777832,-58.28108596801758,2.0761730670928955,9
82,8.243133544921875,-58.52002716064453,4.369622707366943,9
83,8.036531448364258,-58.832725524902344,4.079184532165527,9
84,9.203006744384766,-56.579383850097656,3.014482021331787,9
85,7.989505290985107,-49.430233001708984,3.1143596172332764,9
86,8.015114784240723,-48.62723159790039,2.2788994312286377,9
87,8.259004592895508,-51.9450798034668,2.6204001903533936,9
88,7.434676647186279,-55.772281646728516,2.7643792629241943,9
89,7.728981971740723,-53.57976531982422,4.03714656829834,9
90,8.86050796508789,-54.361083984375,2.768310546875,9
91,9.002740859985352,-53.6600341796875,2.807203769683838,9
92,6.060473918914795,-39.294288635253906,2.1585586071014404,9
93,9.80458927154541,-61.25306701660156,3.0619843006134033,9
94,8.1591215133667,-49.6830940246582,1.25382399559021,9
95,7.571047306060791,-46.56380081176758,3.3034756183624268,9
96,5.88672399520874,-42.9512825012207,3.9731976985931396,9
97,6.401664733886719,-47.12213134765625,3.4032905101776123,9
98,7.575096130371094,-48.09756851196289,1.4989622831344604,9
99,8.943170547485352,-52.95472717285156,3.2989730834960938,9
100,8.684511184692383,-53.02915573120117,2.5098862648010254,9
101,8.904536247253418,-55.90364074707031,3.7445151805877686,9
102,7.301493167877197,-58.44976043701172,7.320213794708252,9
103,11.414230346679688,-69.09017944335938,3.6320629119873047,9
104,8.729402542114258,-53.900020599365234,1.4641820192337036,9
105,7.583374500274658,-46.62929916381836,2.833806276321411,9
106,7.544368743896484,-47.4415168762207,2.690086841583252,9
107,7.5130791664123535,-47.344696044921875,2.939075231552124,9
108,6.748950958251953,-48.01084899902344,3.9302053451538086,9
109,7.3299102783203125,-51.13473129272461,4.119060039520264,9
110,8.019124031066895,-50.03154754638672,2.1914310455322266,9
111,5.831470012664795,-44.75338363647461,2.5306482315063477,9
112,7.320980548858643,-54.256107330322266,4.587313175201416,9
113,7.849883079528809,-54.09032440185547,3.9414145946502686,9
114,7.699245929718018,-54.20384216308594,3.5122179985046387,9
115,6.375565052032471,-45.38019943237305,3.1071059703826904,9
116,7.3957695960998535,-45.23604202270508,2.5216293334960938,9
117,6.757857322692871,-43.343013763427734,2.3329708576202393,9
118,6.7971110343933105,-41.44407272338867,2.243849992752075,9
119,7.821286678314209,-46.90092086791992,1.806335687637329,9
120,7.5428266525268555,-48.223785400390625,1.940883994102478,9
121,10.174759864807129,-62.78253173828125,3.513723373413086,9
122,9.081563949584961,-54.66056442260742,2.979440689086914,9
123,9.137311935424805,-63.61933517456055,4.724414348602295,9
124,9.8064546585083,-59.56178283691406,2.2727105617523193,9
125,9.967452049255371,-61.05756378173828,4.5808916091918945,9
