,ReH,ReE,ReHT,index,replica,set
0,0.3419055487876336,4.8390406021625605,4.21059907150358,0,0,76
1,0.34191585912590716,4.839055545350471,4.210625812283894,1,0,76
2,0.3419109339653549,4.8390484071190265,4.210613038443668,2,0,76
3,0.34197943429903266,4.839147687379239,4.210790700113257,3,0,76
0,1.575910526165936,-0.8771116874221917,-4.595760498156475,0,1,76
1,1.5758890517800594,-0.8770765632488438,-4.595817921687853,1,1,76
2,1.5758856591814672,-0.8770710142020499,-4.59582699366859,2,1,76
3,1.575887347498774,-0.877073775665755,-4.595822479027094,3,1,76
0,1.2163842720693085,-2.03380081315841,2.0860976060714154,0,2,76
1,1.216379182175733,-2.0338027372249874,2.0860975903226127,1,2,76
2,1.2163834552065869,-2.0338011221726866,2.0860976034373593,2,2,76
3,1.2163835902935483,-2.033801071049099,2.08609760388243,3,2,76
0,1.2528344920739207,-0.6190691070438397,-0.7697473376357408,0,3,76
1,1.2528294412805732,-0.6190661642245077,-0.7697496014538887,1,3,76
2,1.2528348828871643,-0.6190693345516096,-0.769747162608287,2,3,76
3,1.252835441575586,-0.6190696609823014,-0.7697469115545013,3,3,76
0,1.4960670849030526,-3.6537590838568246,-0.25898017006905927,0,4,76
1,1.4961367124084948,-3.653684175314284,-0.25908629019985174,1,4,76
2,1.4960582665455244,-3.6537685710614283,-0.2589667299012641,2,4,76
3,1.4960696886033362,-3.6537562826777954,-0.25898413839879075,3,4,76
0,1.3963693143081723,1.82429702203398,-6.8424984967745495,0,5,76
1,1.3963465024540058,1.8242828684624461,-6.842495549364793,1,5,76
2,1.3965048066916124,1.8243810880225597,-6.842516003098402,2,5,76
3,1.396321554902193,1.82426738979719,-6.842492326014574,3,5,76
0,1.0457315351311285,0.13294518030630825,1.2688003606658707,0,6,76
1,1.045735605941922,0.1329441068311565,1.268796876099823,1,6,76
2,1.0457313926264984,0.13294521781757102,1.268800482525633,2,6,76
3,1.0457280887598772,0.13294608986879125,1.268803312089855,3,6,76
0,1.1196787040590666,-0.5203129786578675,0.6857533230258259,0,7,76
1,1.119682343301737,-0.5203183601410093,0.6857484519462049,1,7,76
2,1.1196824317253902,-0.5203184908585132,0.6857483335281302,2,7,76
3,1.1196836459384696,-0.5203202865621941,0.6857467086625206,3,7,76
0,1.539935474395223,-3.7443435152135853,-0.691870130123541,0,8,76
1,1.540155585037922,-3.7446182740796954,-0.6917826289070935,1,8,76
2,1.5399520499245782,-3.7443642060494726,-0.6918635408108388,2,8,76
3,1.5399707324804093,-3.7443875270391445,-0.6918561138788508,3,8,76
0,0.5140369278985655,2.33449129372012,5.865814743546462,0,9,76
1,0.5140662226307038,2.3345298407111748,5.865843892649782,1,9,76
2,0.5142579102694314,2.3347820697343087,5.866034627383088,2,9,76
3,0.5140508860313682,2.3345096602987514,5.865828632293264,3,9,76
0,6.504458696696494,-5.493578326161967,-2.848595448684124,0,10,76
1,6.504344090914749,-5.49165590992591,-2.855215580695445,1,10,76
2,6.504450391681243,-5.493439016466562,-2.849075182758792,2,10,76
3,6.504467650562347,-5.4937285197750905,-2.848078234187645,3,10,76
0,1.4228349669598868,-2.579725398659198,-1.3772715344002728,0,11,76
1,1.422769711086016,-2.579545065446603,-1.3772879619698082,1,11,76
2,1.4227770837679516,-2.5795654396799828,-1.3772861059701857,2,11,76
3,1.422779200475477,-2.579571289173721,-1.3772855731002034,3,11,76
0,1.2585136874091574,1.0046716083712435,-4.069484726392325,0,12,76
1,1.2585019326571385,1.0046795974374687,-4.069477069696606,1,12,76
2,1.258354988547953,1.0047794676032864,-4.069381354402106,2,12,76
3,1.258490629593609,1.0046872795441164,-4.069469707184812,3,12,76
0,1.9080411931722163,-5.451259782418374,1.91006527701788,0,13,76
1,1.908042226441273,-5.451276482849369,1.9100340481801403,1,13,76
2,1.9080553825248385,-5.4514891210261105,1.909636427316503,2,13,76
3,1.9080401032663978,-5.451242166547994,1.9100982176322319,3,13,76
0,0.9028079869335749,2.3696059241940644,0.22504774513143078,0,14,76
1,0.9028084302476949,2.369606205824505,0.22504833721631734,1,14,76
2,0.9028088765472522,2.3696064894568565,0.22504893339518775,2,14,76
3,0.902814529262807,2.369610080941926,0.22505648355251084,3,14,76
0,1.032147797521993,-1.448207067008417,4.040028817267916,0,15,76
1,1.0321541788507984,-1.4482054262034656,4.040037173835994,1,15,76
2,1.0321537725743903,-1.4482055306730812,4.04003664178968,2,15,76
3,1.0321547461023801,-1.4482052803806162,4.040037916571752,3,15,76
0,0.7570505860651168,1.272160505256016,5.269015363951748,0,16,76
1,0.7570519388524966,1.2721593701556508,5.269012492315583,1,16,76
2,0.7570496272802618,1.2721613094330713,5.269017399223092,2,16,76
3,0.7570368128519103,1.2721720587101268,5.269044601173562,3,16,76
0,1.8653688499313685,-4.16514081840556,-6.94200746985692,0,17,76
1,1.8653467924237956,-4.165071299030811,-6.942022616546986,1,17,76
2,1.8655050982360801,-4.16557023663447,-6.941913909407516,2,17,76
3,1.8653581721989436,-4.165107165023517,-6.942014802168878,3,17,76
0,-4.617862433945712,0.5796094840673394,3.9679510459895027,0,18,76
1,-4.6178575692416395,0.572853362281208,3.9839628220753696,1,18,76
2,-4.617862814014214,0.5801373230886174,3.9667000856749395,2,18,76
