,ReH,ReE,ReHT,index,replica,set
0,1.084977678493494,3.004118033077412,0.329933543101916,0,0,83
1,1.084589910474477,3.0035384905211,0.33017604766121733,1,0,83
2,1.0845270337809976,3.0034445175309994,0.3302153698439425,2,0,83
3,1.0845595616663788,3.003493132400801,0.33019502737447315,3,0,83
0,1.8426267352657302,-2.1084097766730183,-3.172727168726662,0,1,83
1,1.842627926911399,-2.1084090561477202,-3.17272837255373,1,1,83
2,1.8426111118251542,-2.108419222940311,-3.1727113859753313,2,1,83
3,1.8426255854913625,-2.108410471790621,-3.172726007289879,3,1,83
0,-0.22191737602508732,-4.370381994935837,1.1480323798001382,0,2,83
1,-0.22294344750120665,-4.365623953069089,1.1554558399367831,1,2,83
2,-0.2218372115991496,-4.370753728971543,1.1474524032310764,2,2,83
3,-0.22175078414243843,-4.371154505599506,1.146827114635404,3,2,83
0,0.8509165729279811,2.1203632144901663,6.755200342960459,0,3,83
1,0.8509296678610894,2.120354419240067,6.755172420708158,1,3,83
2,0.8507516067783539,2.120474014569976,6.75555209928797,2,3,83
3,0.8509042928370829,2.1203714624568386,6.755226527723574,3,3,83
0,1.6184670571950952,-1.2692903997667537,-1.0418852949081594,0,4,83
1,1.618480032302386,-1.2692783765126894,-1.0419022677364858,1,4,83
2,1.6186521271366738,-1.269118906555223,-1.0421273862055065,2,4,83
3,1.6184926120050729,-1.2692667196596403,-1.0419187233299976,3,4,83
0,1.7383086255148124,-1.795470675262004,-1.7055750556363811,0,5,83
1,1.738275986353941,-1.7955544842337416,-1.7055243045926618,1,5,83
2,1.7382734289875055,-1.7955610509096616,-1.7055203281095648,2,5,83
3,1.738270702053388,-1.7955680529870635,-1.7055160879631213,3,5,83
0,1.2104864602699015,0.37998907970046747,2.6913247109228156,0,6,83
1,1.2104176841123717,0.3798190850069756,2.6912812691180346,1,6,83
2,1.2104270477727783,0.37984222925590294,2.6912871835838503,2,6,83
3,1.2104356087274777,0.3798633894543067,2.6912925910309022,3,6,83
0,1.8882739898666103,-4.923448098015399,1.1468760593412084,0,7,83
1,1.8882295636243476,-4.9234322596192195,1.1468642692140676,1,7,83
2,1.8885480934564556,-4.923545818675324,1.1469488027403523,2,7,83
3,1.8882529379239603,-4.923440592788637,1.1468704724390029,3,7,83
0,1.656143501012544,-5.383462057768378,5.449928654164362,0,8,83
1,1.6561541296532356,-5.383473371936926,5.449941708099446,1,8,83
2,1.656176135383328,-5.383496796998536,5.4499687351894295,2,8,83
3,1.6564397968734978,-5.383777464193653,5.4502925601061705,3,8,83
0,1.0162266045994925,1.5539747956792616,3.6429291835780724,0,9,83
1,1.0167059360478583,1.5543453346650487,3.643022909106565,1,9,83
2,1.0162591833799905,1.5539999801488849,3.642935553835132,2,9,83
3,1.016292003419366,1.5540253511212243,3.6429419712619575,3,9,83
0,1.0342796251756858,4.490897524042144,-1.025132641838979,0,10,83
1,1.0342855462504152,4.490961276486626,-1.0251054389526488,1,10,83
2,1.0342784945268177,4.49088535029894,-1.0251378363185562,2,10,83
3,1.0342790247769036,4.490891059571766,-1.0251354001947548,3,10,83
0,-0.13152145621656258,1.795805782731973,-9.831585132134197,0,11,83
1,-0.13117755651015892,1.795729132299888,-9.832268336384441,1,11,83
2,-0.12905941210129157,1.79525702755463,-9.836476322708567,2,11,83
3,-0.13134304188235923,1.795766016673369,-9.831939576843823,3,11,83
0,2.04217266981986,-8.120183826436367,4.367827549011767,0,12,83
1,2.042343977830609,-8.121095488778721,4.368534742267405,1,12,83
2,2.0421858467217273,-8.120253950891307,4.367881945836428,2,12,83
3,2.0421589637525708,-8.120110885786833,4.3677709675926835,3,12,83
0,1.6449968553575647,-3.829921940366982,3.240867620615105,0,13,83
1,1.6449955187252923,-3.8299235925512995,3.2408665836664357,1,13,83
2,1.6450139107022108,-3.829900858012591,3.2408808525369315,2,13,83
3,1.644994078041796,-3.829925373469055,3.2408654658921403,3,13,83
0,1.6275407444519971,0.9302428729605207,-2.133991700783418,0,14,83
1,1.6275424349799956,0.930253585311661,-2.1339688476973504,1,14,83
2,1.6275416472098847,0.9302485934627986,-2.133979497008223,2,14,83
3,1.6275528745852053,0.9303197378579041,-2.1338277218717057,3,14,83
0,1.7967466004700903,-2.228208228593163,-2.415100028844166,0,15,83
1,1.796742700084173,-2.2282210657796657,-2.4150877271326348,1,15,83
2,1.7967440028237776,-2.228216778115101,-2.415091835949507,2,15,83
3,1.796778551481359,-2.2281030695688973,-2.4152008013662694,3,15,83
0,1.9884603687787497,-0.10134497405835233,-6.048948685122126,0,16,83
1,1.9884395671355597,-0.10127784457239261,-6.0490548401965025,1,16,83
2,1.9883097510440497,-0.10085891199415173,-6.049717318389386,2,16,83
3,1.9884498042400809,-0.10131088100136307,-6.049002598115193,3,16,83
0,4.040094519816065,-0.7384132352922654,-6.171231141866386,0,17,83
1,4.040221669413464,-0.7384033906704592,-6.171047464191208,1,17,83
2,4.038467057488846,-0.7385392423756993,-6.173582140240379,2,17,83
3,4.039976584233334,-0.7384223665138195,-6.17140150916663,3,17,83
0,1.274542982367843,-0.9161459122792099,3.860899676447338,0,18,83
1,1.2745420014282003,-0.9161459761444339,3.8608992729992053,1,18,83
2,1.2745411449858999,-0.9161460318826689,3.8608989207675766,2,18,83
3,1.2745298079123488,-0.9161467698769248,3.8608942580796084,3,18,83
0,-0.4101147096771004,6.57413258544241,6.811749820719692,0,19,83
1,-0.40996801715595077,6.574215985650699,6.8117784493870435,1,19,83
2,-0.40809041347735686,6.5752834738563095,6.8121448845069885,2,19,83
3,-0.41027286292134,6.574042669383333,6.811718955365245,3,19,83
0,1.1235385159443578,-1.2302223933060608,6.543456638990775,0,20,83
1,1.1234002845877358,-1.2303062506745157,6.5434214170171545,1,20,83
2,1.123420385692425,-1.230294056441159,6.543426538870909,2,20,83
3,1.1233787406537679,-1.2303193201998546,6.543415927528642,3,20,83
0,2.0510835624534565,-4.623161427110186,-1.8909122670093441,0,21,83
1,2.0510811581587953,-4.623163561688083,-1.8909106966344305,1,21,83
2,2.0510512567371473,-4.623190108718326,-1.8908911664388084,2,21,83
3,2.0510861278392536,-4.623159149510557,-1.8909139426038934,3,21,83
0,1.138113186151593,2.1741679384496213,0.928541164381987,0,22,83
1,1.1381091194804012,2.1741626642264564,0.9285369280841371,1,22,83
2,1.1381096795181493,2.174163390556601,0.9285375115732392,2,22,83
3,1.13810940844072,2.1741630389937763,0.928537229126708,3,22,83
0,-3.946636516846774,4.469411951747848,7.002940803653237,0,23,83
1,-3.946697921460386,4.4702749007426625,7.003020095434895,1,23,83
2,-3.9467548763346,4.471075315361795,7.003093641263456,2,23,83
3,-3.947483875181012,4.481320291706579,7.004034997489324,3,23,83
0,1.1826512388066854,-1.0571373120988918,5.498476874760321,0,24,83
1,1.182787222688689,-1.0571177236515337,5.498471241061219,1,24,83
2,1.1827761327528772,-1.0571193211529852,5.498471700508844,2,24,83
3,1.182798159027143,-1.0571161482754232,5.4984707879803825,3,24,83
0,-0.17068333899714577,3.7430068014266062,-1.1808647224256177,0,25,83
1,-0.17059306273181063,3.742520679343144,-1.1813602566766632,1,25,83
2,-0.17068528901262514,3.7430173039827537,-1.180854017042197,2,25,83
3,-0.17067653310902195,3.7429701532673674,-1.1809020802508021,3,25,83
0,-2.9506975889484055,8.93433477727731,-9.43430447250435,0,26,83
1,-2.9504973176121885,8.934623676462994,-9.434705722964694,1,26,83
2,-2.9509135069877708,8.934023307115709,-9.433871873340681,2,26,83
3,-2.947933927232018,8.938321466699012,-9.43984156311301,3,26,83
0,1.1534641012746818,1.9761608383781577,0.7671425317809883,0,27,83
