,ReH,ReE,ReHT,index,replica,set
0,-0.02898945807591235,1.2142302519119448,0.6741191639165556,0,0,57
1,-0.027803093435796455,1.21040495967784,0.678831443715044,1,0,57
2,-0.029082145804481305,1.2145291125120654,0.6737510051767315,2,0,57
3,-0.028903487050500686,1.2139530485258456,0.6744606436875464,3,0,57
0,1.0333023580171887,-1.196277361318899,0.11426125620936481,0,1,57
1,1.0333040298179093,-1.1962761064551535,0.11426463630090727,1,1,57
2,1.033302073661884,-1.1962775747535503,0.11426068133742856,2,1,57
3,1.0333022941684336,-1.1962774092466504,0.11426112713566072,3,1,57
0,0.8936353634099725,-1.0512992676482158,2.080396768219618,0,2,57
1,0.8936586115505678,-1.0513211044057797,2.0803978967970487,1,2,57
2,0.8939553227177852,-1.0515998023942494,2.080412300653858,2,2,57
3,0.89368016972758,-1.0513413537952632,2.080398943340488,3,2,57
0,0.016106459964998723,5.2979684026908505,1.3078858977422305,0,3,57
1,0.016096784875934682,5.29797024795064,1.3078812039359429,1,3,57
2,0.01595366305127465,5.297997544545598,1.3078117692838156,2,3,57
3,0.01611999072039766,5.297965822065689,1.3078924621059018,3,3,57
0,0.9549442459469288,-2.9715436173099024,5.731434038098209,0,4,57
1,0.95507183096071,-2.971684560796339,5.731436180906968,1,4,57
2,0.9549285162393312,-2.971526240658358,5.731433773920681,2,4,57
3,0.9549339635303837,-2.9715322583007087,5.731433865400849,3,4,57
0,0.9257179407174687,-0.016139306573478993,-0.8865745246031457,0,5,57
1,0.9257177487547301,-0.01613886380346197,-0.8865767203583306,1,5,57
2,0.9257175104481135,-0.01613831420384671,-0.8865794459755582,2,5,57
3,0.9257205709587963,-0.01614537381163248,-0.8865444369727996,3,5,57
0,0.27125735798053763,2.327447460996119,4.282124993537832,0,6,57
1,0.2712077593803618,2.3273364691518523,4.282342323399685,1,6,57
2,0.27119992502496637,2.327318937415538,4.282376651777304,2,6,57
3,0.2712038241500757,2.3273276628873103,4.282359566691021,3,6,57
0,0.4922506691566955,1.0693769450744255,3.632189494877302,0,7,57
1,0.49222592096724144,1.0689339821771702,3.6321371535104543,1,7,57
2,0.49225258616568696,1.0694112572313887,3.6321935492691413,2,7,57
3,0.49225468189393495,1.0694487682341673,3.6321979816427126,3,7,57
0,1.5173285826409941,-3.65578264375874,-2.0023200350864334,0,8,57
1,1.5173287861232936,-3.65578224114513,-2.002319976044504,1,8,57
2,1.5173260525622092,-3.6557876499318303,-2.002320770578079,2,8,57
3,1.517328392653388,-3.655783019693078,-2.0023200904690626,3,8,57
0,0.9564172479661363,-0.4832753286934308,-0.3452302991980538,0,9,57
1,0.9564170643865327,-0.48327535710483466,-0.34523039409766854,1,9,57
2,0.9564184694094768,-0.4832751389642933,-0.345229667398981,2,9,57
3,0.9564171223504612,-0.4832753479268545,-0.3452303640125197,3,9,57
0,0.4145223309522088,2.574221171586415,1.2576133378426204,0,10,57
1,0.41461162161952236,2.574159449611728,1.2574108200105392,1,10,57
2,0.41451894996241545,2.5742235086930894,1.257621006182998,2,10,57
3,0.4145072316265891,2.5742316089584727,1.257647584227822,3,10,57
0,1.2372089013791343,-2.9944981856649218,1.0682214942265444,0,11,57
1,1.2372092906974828,-2.9944978851806976,1.068221565638008,1,11,57
2,1.2372080184157164,-2.994498862434206,1.068221334616472,2,11,57
3,1.2372088180626126,-2.994498249365611,1.0682214792456355,3,11,57
0,1.9337239444999492,-6.145864981461019,-2.9561040617999845,0,12,57
1,1.933821733453,-6.145868023477902,-2.9563027004551996,1,12,57
2,1.9337052938636246,-6.145864401277434,-2.9560661767713574,2,12,57
3,1.9337140614365356,-6.1458646740127385,-2.9560839863438337,3,12,57
0,1.4353692475238793,-3.1537081639544233,-1.8865832695573692,0,13,57
1,1.4354631755655802,-3.153732165638428,-1.8867254641806426,1,13,57
2,1.4354502017699766,-3.1537288504107392,-1.8867058235652214,2,13,57
3,1.435456585677597,-3.153730481707524,-1.8867154879559394,3,13,57
0,1.4495121884905142,-2.5163724378553463,-3.6416578419437977,0,14,57
1,1.4493308721750142,-2.516427058653015,-3.6416929763521377,1,14,57
2,1.4495272598728697,-2.5163678976654884,-3.641654921500564,2,14,57
3,1.4495429312471417,-2.5163631767259975,-3.641651884791659,3,14,57
0,0.7147174062421744,0.831051486014414,0.476598184786145,0,15,57
1,0.7148069153921917,0.8312240099618244,0.47634931478414266,1,15,57
2,0.7147255787509592,0.8310672380729867,0.4765754620596513,2,15,57
3,0.7147100218277287,0.831037252963561,0.4766187163059469,3,15,57
0,1.2159373934105124,-0.013467727266358082,-5.849501731998215,0,16,57
1,1.2161515994422798,-0.013503008738037647,-5.84961172871753,1,16,57
2,1.2159030583787769,-0.01346207200993901,-5.849484100652685,2,16,57
3,1.2159205152251957,-0.0134649472942025,-5.849493064898251,3,16,57
0,0.6331054725302223,1.8129195436022667,-0.5342063745282708,0,17,57
1,0.6330257006409495,1.8128417129351724,-0.5341683570207623,1,17,57
2,0.6330186176734298,1.812834802328498,-0.5341649814376639,2,17,57
3,0.6330116092521516,1.8128279644573229,-0.5341616413781829,3,17,57
0,1.5186292914881092,-3.7911761684185494,-1.674108010152723,0,18,57
1,1.518628831765507,-3.791178001170098,-1.6741092824302215,1,18,57
2,1.5186290614468558,-3.7911770852885924,-1.6741086465990551,2,18,57
3,1.518631886214523,-3.7911658242735014,-1.6741008293721493,3,18,57
0,1.9244646372799892,-6.722031954744537,-1.368634660866179,0,19,57
1,1.9244317928913297,-6.722010367556071,-1.3686165489446371,1,19,57
2,1.924473790146485,-6.722037970526575,-1.3686397081811865,2,19,57
3,1.9247196762108327,-6.722199580760625,-1.3687753011832071,3,19,57
0,1.4189546275496927,-5.789944690806037,4.83004917798759,0,20,57
1,1.4190295466693252,-5.78997430277673,4.830102041205727,1,20,57
2,1.4190355992295798,-5.789976695067316,4.8301063119159995,2,20,57
3,1.4190402233799873,-5.789978522777633,4.8301095747367295,3,20,57
0,1.3381113234337565,2.1576472181144615,-1.6729767312752117,0,21,57
1,1.3386142699400279,2.1571103092959185,-1.673293102993569,1,21,57
2,1.3383533425117138,2.1573888562888435,-1.6731289701130845,2,21,57
3,1.335013579205519,2.1609541427545054,-1.6710281370365987,3,21,57
0,0.3880692218909189,2.6284458899749152,1.594332041737721,0,22,57
1,0.38806338709016863,2.628460440515532,1.594310036377971,1,22,57
2,0.38798806012995213,2.628648287291168,1.5940259482781964,2,22,57
3,0.3880756025422555,2.6284299782166247,1.5943561057196014,3,22,57
0,0.2633255150811138,-4.495026876715329,-6.66707038777727,0,23,57
1,0.2607616026258699,-4.489702353833534,-6.667318989083695,1,23,57
2,0.26111973135927724,-4.490446086184415,-6.66728426431245,2,23,57
3,0.2609473989447428,-4.490088200374927,-6.667300973955998,3,23,57
0,0.5625889995230866,3.423496158640111,-3.277618999936517,0,24,57
1,0.5626023811577419,3.423504154182951,-3.2776223466432475,1,24,57
2,0.5625746243996197,3.4234875694909874,-3.277615404764472,2,24,57
3,0.5627713514858901,3.4236051141181747,-3.2776646055809637,3,24,57
0,1.203857041655595,-1.719699088066652,-1.4701377227076065,0,25,57
