,ReH,ReE,ReHT,index,replica,set
0,1.4198152603689604,0.25980994459575435,-7.420130410249738,0,0,30
1,1.419830548417989,0.2597932757623248,-7.420127631413587,1,0,30
2,1.4199821503753405,0.2596279814288979,-7.420100075450159,2,0,30
3,1.4198016155372115,0.2598248218133242,-7.420132890408471,3,0,30
0,0.5181783806967406,1.815407387354317,6.770621206412299,0,1,30
1,0.5181797045372409,1.8154086953324025,6.770621590040335,1,1,30
2,0.5181851217300482,1.8154140470512572,6.770623158846847,2,1,30
3,0.5181790144754079,1.815408013609308,6.77062139019649,3,1,30
0,1.3465651877569544,-2.828426277130972,-3.6429433776191074,0,2,30
1,1.346724629857854,-2.828443596078734,-3.6432134799284785,1,2,30
2,1.3465525377480017,-2.828424903060614,-3.6429219479210335,2,2,30
3,1.346540025485084,-2.8284235439490537,-3.6429007515621317,3,2,30
0,1.4397043759160817,-3.973690388906692,-1.0093352015369437,0,3,30
1,1.4398323628010488,-3.973360324606989,-1.0091014052739338,1,3,30
2,1.4398409924044713,-3.9733380698001857,-1.0090856414059457,2,3,30
3,1.4398228814815028,-3.973384775907971,-1.0091187250022733,3,3,30
0,1.2029050838565272,-1.2702695421298706,-0.8023167417144137,0,4,30
1,1.2029954030972516,-1.2703927117411917,-0.8021029975489808,1,4,30
2,1.2030026303910892,-1.2704025677176887,-0.8020858938504911,2,4,30
3,1.2030092213986698,-1.270411555956163,-0.802070295972624,3,4,30
0,1.1119937782091474,0.9560733609969256,-1.990871967532959,0,5,30
1,1.1119918200411587,0.9560705662202094,-1.9908722650181276,1,5,30
2,1.1119928303962254,0.9560720082086684,-1.9908721115179855,2,5,30
3,1.1120058678663827,0.9560906162720741,-1.9908701309710264,3,5,30
0,1.0542763838138374,-2.1094372314965093,-3.4995091011426225,0,6,30
1,1.055877179869567,-2.1117164894723217,-3.4964413507564895,1,6,30
2,1.054151317585926,-2.1092591587209952,-3.4997487768742714,2,6,30
3,1.0540164802437573,-2.1090671735605415,-3.500007177878717,3,6,30
0,1.1103547025675513,-2.038948420704444,1.0699214569742983,0,7,30
1,1.110361678133199,-2.038956107163224,1.0699258893937644,1,7,30
2,1.1103557045789865,-2.03894952479133,1.0699220937046308,2,7,30
3,1.1103536391346673,-2.0389472489598175,1.0699207811982259,3,7,30
0,0.9465437011201188,5.151482655061962,-2.925135222814367,0,8,30
1,0.9465473009570489,5.151467057384078,-2.9251059269269897,1,8,30
2,0.9465922820808095,5.151272158920211,-2.9247398647604026,2,8,30
3,0.946540415048376,5.151496893281827,-2.9251619653130216,3,8,30
0,1.0870724485031782,0.4683784900802911,-1.4979565620789739,0,9,30
1,1.0872836345006707,0.46828386424738083,-1.497972188987804,1,9,30
2,1.0873003635560903,0.46827636848440846,-1.4979734268667562,2,9,30
3,1.087317002648719,0.4682689130313299,-1.4979746580898103,3,9,30
0,1.2488773967962072,-2.8205516035046587,-0.4889866326652906,0,10,30
1,1.248858964607214,-2.8205418227732615,-0.4889918938705664,1,10,30
2,1.2491173095175885,-2.820678909154254,-0.4889181530007683,2,10,30
3,1.248838503352603,-2.8205309653529693,-0.48899773424620785,3,10,30
0,0.701809209389591,4.275759662732385,1.0677795027550159,0,11,30
1,0.7018745815279624,4.2757635143822,1.0678029968386054,1,11,30
2,0.7018427673261749,4.275761639928275,1.0677915631357333,2,11,30
3,0.7022796571492422,4.275787380971975,1.0679485768964572,3,11,30
0,0.9398924270056048,2.5588153851952873,-1.916845817229377,0,12,30
1,0.9396844761879035,2.5590544384547265,-1.9165544748516652,1,12,30
2,0.9398773165529377,2.558832755661601,-1.9168246472487458,2,12,30
3,0.9399087242877588,2.558796650387365,-1.9168686499828986,3,12,30
0,1.0185445554732708,0.535421922019022,-0.039891372950850754,0,13,30
1,1.0185459897213,0.5354223092352164,-0.03989044677211959,1,13,30
2,1.0185451747699643,0.5354220892661015,-0.039890973170907486,2,13,30
3,1.0185361231052577,0.5354196451047073,-0.03989681725710916,3,13,30
0,1.1401264061994612,-3.2316147093982854,3.5081750148088555,0,14,30
1,1.1401480431680895,-3.232903213511902,3.5110915879644615,1,14,30
2,1.140127974143502,-3.231708082058395,3.508386367021261,2,14,30
3,1.1401247157586996,-3.2315140417717023,3.5079471501935826,3,14,30
0,4.932885764770978,-9.41132075270547,1.8389083311494514,0,15,30
1,4.9335739473100055,-9.429587573573176,1.8400152445386375,1,15,30
2,4.932935634563797,-9.412644475001873,1.838988544665638,2,15,30
3,4.932831998773672,-9.40989361124932,1.8388218507495635,3,15,30
0,-2.4556157494956663,-9.173313524604552,8.955762889382132,0,16,30
1,-2.4556953419087453,-9.172800005203385,8.955175107071785,1,16,30
2,-2.4545969994848367,-9.17988636082428,8.963286260163997,2,16,30
3,-2.4557811526797924,-9.17224636580162,8.954541402784194,3,16,30
0,1.3017849885183514,-0.9300187495202266,-2.836220411677517,0,17,30
1,1.3017923951043446,-0.9300186951012912,-2.836210598031715,1,17,30
2,1.3017847126199709,-0.9300187515509268,-2.8362207772356305,2,17,30
3,1.3017837232537905,-0.9300187588209889,-2.8362220881422138,3,17,30
0,1.5245148434524132,-7.614952932922376,0.7012417102316275,0,18,30
1,1.5246107333782906,-7.614830717259631,0.7012679905626269,1,18,30
2,1.5245658972613965,-7.614887862741604,0.7012557024319535,2,18,30
3,1.5240136043009431,-7.615591782866364,0.7011043367722631,3,18,30
0,1.2455831139149525,-0.13528938508748306,-5.393219208329114,0,19,30
1,1.2455287656977507,-0.13518013823781388,-5.393170085751521,1,19,30
2,1.2455183931063283,-0.13515928799727656,-5.39316071050073,2,19,30
3,1.2455232852845537,-0.13516912190644204,-5.3931651322873835,3,19,30
0,0.7228321006828664,0.291254330074616,5.270228315997124,0,20,30
1,0.7228364702160646,0.29126610708903466,5.270220309181397,1,20,30
2,0.7228312679081659,0.2912520855518308,5.270229841986241,2,20,30
3,0.7228316587836385,0.29125313903373806,5.270229125744439,3,20,30
0,0.9997750135294641,-2.5223153730422223,3.5352360548530846,0,21,30
1,0.9999100117738178,-2.522486035723106,3.5353011142959234,1,21,30
2,0.9997520512597615,-2.5222863445024917,3.5352249886899987,2,21,30
3,0.9997698180874615,-2.5223088050393265,3.535233551024149,3,21,30
0,0.7241223879177225,7.208092997121703,-2.7598322731725626,0,22,30
1,0.724206487279524,7.207922653634316,-2.759801441895349,1,22,30
2,0.7242207417807696,7.207893781104481,-2.7597962161164844,2,22,30
3,0.7242361600573101,7.207862551338113,-2.7597905636979467,3,22,30
0,1.2980521982315154,2.2809162642637038,-7.201038236716196,0,23,30
1,1.2980438720476029,2.2809148289736734,-7.20103658303907,1,23,30
2,1.2980350975880484,2.28091331641291,-7.201034840329976,2,23,30
3,1.2981581889812328,2.2809345351980426,-7.201059287703857,3,23,30
0,0.6413046650661505,4.023723145593507,2.062804726033067,0,24,30
1,0.6412978185856804,4.02368384293015,2.0627952983866744,1,24,30
2,0.6413109711550999,4.023759346105768,2.062813409552928,2,24,30
3,0.6413920402925486,4.024224728724921,2.0629250422186782,3,24,30
0,1.067163168759695,2.358645781195362,-2.7959330025128315,0,25,30
1,1.0672011096858731,2.3586466977957126,-2.795897445725312,1,25,30
2,1.0671828561161727,2.3586462568138753,-2.7959145522704674,2,25,30
3,1.0674340628683643,2.358652325624239,-2.795679130897141,3,25,30
0,1.0234176870120044,1.0178453533202296,-1.280369812243304,0,26,30
1,1.0235544165216353,1.0180828129004547,-1.2806716023204676,1,26,30
2,1.0234288469425152,1.0178647348845544,-1.2803944444955118,2,26,30
3,1.0234368057793193,1.0178785570704711,-1.280412011270684,3,26,30
0,1.2433308362689948,-1.6578011939264297,0.032010686118993964,0,27,30
1,1.2433316639128618,-1.6578063568002923,0.032018049476641136,1,27,30
2,1.243329321739138,-1.6577917462342773,0.03199721170929211,2,27,30
3,1.2433458592028868,-1.6578949076920202,0.03214434183594897,3,27,30
0,1.2527905422579244,-1.4434779859043552,-0.9809065822486063,0,28,30
1,1.2527827271018552,-1.4435011460057008,-0.9809185077003626,1,28,30
2,1.2527814113119526,-1.4435050453288247,-0.9809205155134676,2,28,30
3,1.252779972317707,-1.4435093097565082,-0.9809227113290337,3,28,30
0,-1.9234448682796947,6.789277244351012,-7.995387435496486,0,29,30
1,-1.92331603588795,6.789842307618748,-7.995435845292322,1,29,30
2,-1.923378030347143,6.7895703978047734,-7.995412550381049,2,29,30
3,-1.9225225324180322,6.793322640926306,-7.995734010535143,3,29,30
0,0.9090823743117731,0.4716965616373311,1.7819013442628786,0,30,30
1,0.909074254442573,0.4716915246043525,1.7819023342323614,1,30,30
2,0.9090748444896835,0.4716918906451869,1.7819022622895053,2,30,30
3,0.9090753915484955,0.4716922299987897,1.7819021955952696,3,30,30
0,0.6558912301438038,0.3622180445283051,6.063253525247925,0,31,30
1,0.6558835199124278,0.36221873377028413,6.063245059198071,1,31,30
2,0.6558578614825323,0.362221027457873,6.063216885527371,2,31,30
3,0.6560863696900854,0.36220060041159385,6.063467793875862,3,31,30
0,0.7706320536181626,5.976796954515838,-1.704696291875432,0,32,30
1,0.7706318892288151,5.976795175254797,-1.7046960662694985,1,32,30
2,0.7706317129294454,5.976793267113986,-1.7046958243261816,2,32,30
3,0.770634100509124,5.976819109244248,-1.7046991011071189,3,32,30
0,1.2250156069579803,-8.114725604602818,5.734605591587393,0,33,30
1,1.2248176188710813,-8.114818618523698,5.734864269871373,1,33,30
2,1.225031407267426,-8.114718181685923,5.734584947938329,2,33,30
3,1.225045948763332,-8.114711350160519,5.734565948964468,3,33,30
0,0.7385404972906378,-0.9510865241075963,6.428444177386286,0,34,30
1,0.7384953171160307,-0.9511013646714239,6.428463955752337,1,34,30
2,0.738517548765786,-0.9510940621292372,6.428454223483261,2,34,30
3,0.7382134015276258,-0.951193966923662,6.428587368941886,3,34,30
0,0.9536386629787011,0.9147752401852801,0.27135014062821194,0,35,30
1,0.9536531867096893,0.9147632235285748,0.2713440255950435,1,35,30
2,0.9536511376934845,0.914764918818123,0.271344888292643,2,35,30
3,0.9536518558276244,0.9147643246504803,0.27134458593423294,3,35,30
0,1.2041692668929291,-6.539539019006854,3.571408159241955,0,36,30
1,1.2041674035470067,-6.539545223141847,3.5714172343949793,1,36,30
2,1.204143665440815,-6.5396242608900845,3.5715328484818034,2,36,30
3,1.2041712585383537,-6.539532387675374,3.571398459095551,3,36,30
0,0.6758779952567338,5.323484721047072,0.36812906306963217,0,37,30
1,0.6758863522627931,5.323473814930164,0.36813341435048463,1,37,30
2,0.6758927694881645,5.323465440274177,0.3681367556359378,2,37,30
3,0.6757748729807733,5.323619298413718,0.3680753699283219,3,37,30
0,1.1138332220900453,0.7035997156747131,-2.576170188036448,0,38,30
1,1.1140580561791384,0.7034609235252045,-2.5763009181175853,1,38,30
2,1.1140763589116354,0.7034496250827947,-2.576311560267535,2,38,30
3,1.114039764996334,0.7034722148403487,-2.576290282685977,3,38,30
0,0.12548585163150605,4.073892944216295,8.31667004842474,0,39,30
1,0.12436764607969567,4.069540555524913,8.311170399357632,1,39,30
2,0.12428028345190233,4.069200514183508,8.310740725408436,2,39,30
3,0.12444867789296299,4.069855955450372,8.311568936581164,3,39,30
0,2.353953490806761,-6.5206286195393695,9.24375992314855,0,40,30
1,2.352020079713718,-6.528732464772647,9.246236365283124,1,40,30
2,2.353813384359862,-6.521215872277342,9.243939380849245,2,40,30
3,2.3536834308582124,-6.521760569197845,9.244105833978422,3,40,30
0,1.5681418934143672,-1.8892737583739545,-5.153304060316559,0,41,30
1,1.5680848284995155,-1.8894466680952275,-5.153375528444389,1,41,30
2,1.5680755839372988,-1.889474679598895,-5.1533871063340975,2,41,30
3,1.5680805238752897,-1.8894597113328035,-5.153380919557932,3,41,30
0,0.657969251874479,-0.6170291279796448,7.073063833004326,0,42,30
1,0.6579788718076776,-0.6170135045061953,7.07306610048126,1,42,30
2,0.6579775662499348,-0.6170156248250527,7.07306579275807,2,42,30
3,0.6579763635001177,-0.617017578175222,7.073065509262193,3,42,30
0,0.9845446223407599,6.947542042249159,-5.758043860318372,0,43,30
1,0.9846055131332665,6.947493273333723,-5.75782446383383,1,43,30
2,0.9845348638775323,6.94754985803503,-5.758079021160267,2,43,30
3,0.9845398205094702,6.9475458881420025,-5.758061161825266,3,43,30
0,1.3010880887447218,0.829977255092935,-4.196937518074362,0,44,30
1,1.3010199721215687,0.8299665318383078,-4.197104139061576,1,44,30
2,1.3010937501844073,0.829978146347573,-4.196923669543029,2,44,30
3,1.301099647757177,0.8299790747647715,-4.196909243429443,3,44,30
0,0.9742614583217954,-4.431417218521114,5.907966976800622,0,45,30
1,0.9742467294987489,-4.431393739392629,5.908381091226374,1,45,30
2,0.9742603809869564,-4.431415501147055,5.90799726707885,2,45,30
3,0.9742593796516283,-4.431413904915411,5.908025420704584,3,45,30
0,0.7696653416136763,2.8162127328678777,1.54376236409612,0,46,30
1,0.7698662011552602,2.816483686212903,1.543227110090215,1,46,30
2,0.7696496010927087,2.816191499381996,1.5438043097186203,2,46,30
3,0.7696328220002085,2.816168864907498,1.5438490229305328,3,46,30
0,1.2283345092695281,-1.0161340175491371,-0.5730203498910034,0,47,30
1,1.228332875421587,-1.0161607275328177,-0.573018134728678,1,47,30
2,1.228333961510521,-1.01614297227063,-0.5730196072427822,2,47,30
3,1.2283195321920193,-1.0163788606349478,-0.5730000440014471,3,47,30
0,-0.7759364359883294,-5.31630627972066,7.584191306152234,0,48,30
1,-0.7757153617400887,-5.317608096442623,7.585097445944237,1,48,30
2,-0.7758217432043624,-5.3169816590767045,7.584661409279022,2,48,30
3,-0.7743537229412887,-5.325626235926633,7.590678535138757,3,48,30
0,0.2656161854783871,7.365709547815577,4.210027766120836,0,49,30
1,0.2656041296531648,7.365697645994425,4.210003526634928,1,49,30
2,0.26561003451244497,7.3657034754326975,4.210015398986643,2,49,30
3,0.26553308392761615,7.365627507823545,4.209860681841756,3,49,30
0,1.2450211544421261,-1.9783883495884078,-1.8179443334991539,0,50,30
1,1.2450412936371722,-1.978412285270459,-1.8179458699670121,1,50,30
2,1.2450428303102,-1.9784141116286247,-1.8179459872462318,2,50,30
3,1.2450445445232101,-1.9784161489879364,-1.817946117940109,3,50,30
0,1.4750645387127488,-2.542324542441963,-5.882903631972924,0,51,30
1,1.475067001550006,-2.542321533239783,-5.882908299939331,1,51,30
2,1.475069363565345,-2.5423186472334436,-5.882912776804447,2,51,30
3,1.47509777158762,-2.542283937157428,-5.882966620178516,3,51,30
0,0.6486305330850131,2.558345431729226,4.057534945216771,0,52,30
1,0.6486441295103216,2.5583288506851227,4.057539420290494,1,52,30
2,0.6486159274965254,2.5583632434635932,4.05753013799679,2,52,30
3,0.6488158107691995,2.558119482828423,4.057595926755827,3,52,30
0,0.8752640087453314,3.3664708340325724,-0.1503480309521379,0,53,30
1,0.8752639324867331,3.3664991090382346,-0.15035513597073036,1,53,30
2,0.8752639593227707,3.3664891570326247,-0.1503526351938524,2,53,30
3,0.8752634684605821,3.366671182882553,-0.1503983752721362,3,53,30
0,0.9218688323448527,2.7784313205233104,-1.168586854640033,0,54,30
1,0.9219739287800964,2.778680013674637,-1.1687707235539389,1,54,30
