,ReH,ReE,ReHT,index,replica,set
0,0.2794235127294986,6.81791247629716,0.43392773588873823,0,0,55
1,0.2794239301122228,6.817912290900783,0.4339283056588815,1,0,55
2,0.27941821976155623,6.817914827368453,0.43392051069521875,2,0,55
3,0.27942312410874665,6.817912648918707,0.4339272053904133,3,0,55
0,1.3549841080900722,-1.9332813869394996,2.709670381414509,0,1,55
1,1.3549781044158888,-1.9332848832063028,2.709649589446993,1,1,55
2,1.3550436438813405,-1.9332467160694202,2.7098765660785444,2,1,55
3,1.3549728256744975,-1.9332879573046136,2.7096313080740755,3,1,55
0,1.402342234756645,-0.7164949143862125,-0.5007978592476732,0,2,55
1,1.4023357525699929,-0.7164845199060259,-0.5008196744626812,1,2,55
2,1.4023475328071913,-0.7165034100462571,-0.500780029143219,2,2,55
3,1.4024202839266993,-0.7166200697220929,-0.5005351919106066,3,2,55
0,1.4788103840834794,1.0712765872977035,-6.669823128196617,0,3,55
1,1.4788063010863854,1.0712985344255497,-6.6698331893985685,1,3,55
2,1.4787811271724727,1.0714338505340808,-6.669895222236606,2,3,55
3,1.4788081388199519,1.0712886561460222,-6.669828660908157,3,3,55
0,-4.023329043850897,-7.54100310237839,4.035472769329605,0,4,55
1,-4.025153449204231,-7.529894257909845,4.02949321745745,1,4,55
2,-4.02502124196025,-7.530699270737793,4.029926531288899,2,4,55
3,-4.0248986152383655,-7.531445947554186,4.030328444626258,3,4,55
0,1.2082657516502615,0.30382448513623006,-0.10405575157351356,0,5,55
1,1.2082621256511157,0.3038278607484177,-0.1040583723462715,1,5,55
2,1.2082603559545704,0.3038295078796165,-0.10405965051809729,2,5,55
3,1.2082625216527751,0.3038274920547121,-0.10405808603292244,3,5,55
0,1.0653866235429534,0.07552234340999484,2.676078788909412,0,6,55
1,1.0657718723932756,0.07551717069203434,2.6761006690275932,1,6,55
2,1.0654136459349592,0.07552198058093829,2.6760803236378115,2,6,55
3,1.0653556131648028,0.07552275978625814,2.6760770276809085,3,6,55
0,0.5573195740271486,2.2284348810401946,6.032558593620969,0,7,55
1,0.5573289029166726,2.2284339793910837,6.032565294129157,1,7,55
2,0.5573282118362554,2.228434046173688,6.032564797759312,2,7,55
3,0.5573275481662583,2.2284341103253134,6.032564321069518,3,7,55
0,1.6876316320504454,-3.6807329651714102,1.1314912728375806,0,8,55
1,1.6876071085938937,-3.680702475129931,1.1314524794144196,1,8,55
2,1.6876297909145332,-3.6807306760801755,1.1314883603880102,2,8,55
3,1.6876276941750499,-3.6807280692068964,1.131485043549916,3,8,55
0,1.335456781076078,-1.4306601464241395,1.706809404731612,0,9,55
1,1.33533291811514,-1.4306090829029783,1.7067206353164373,1,9,55
2,1.3353229727264941,-1.4306049828337923,1.7067135077109683,2,9,55
3,1.335313927194544,-1.4306012537403512,1.7067070250096004,3,9,55
