Set          ReE_data              dReE_data                   ReE                   dReE                   ReH_data                dReH_data                ReH                     dReH                  ReHtilde_data           dReHtilde_data             ReHtilde              dReHtilde                F2_data                 dF2_data                    F2                      dF2 
0.0 	-53.05539999999998	2.1618655786587196e-14	    -56.4931		    3.10634		13.055400000000008	7.206218595529065e-15	13.7284000000000	    0.640243		7.253019999999994	5.404663946646799e-15	      7.08971		    0.675949		0.0536485861111111	0.009412898175714697		0.0		  	0.00 
1.0 	-52.55490000000003	2.882487438211626e-14	    -37.4804		    5.89934		12.554899999999991	9.007773244411332e-15	9.80803000000000	    1.104200		6.974940000000002	2.7023319733233995e-15	      8.54781		    0.901713		0.09730215833333333	0.05698243612877505		0.0 			0.00 
2.0 	-47.224200000000046	4.323731157317439e-14	    -42.3356		    8.68714		7.224240000000003	3.603109297764533e-15	6.31075000000000	    1.55422		4.013470000000001	9.007773244411332e-16	      4.62397		    1.02341		0.08084057500000001	0.05547221443575088		0.0 			0.00 
3.0 	-47.65270000000003	2.882487438211626e-14	    -90.5243		    7.46547		7.652719999999994	5.404663946646799e-15	15.9629000000000	    1.53367		4.251509999999997	2.7023319733233995e-15	      7.13837		    1.36355		0.04499571944444444	0.027807323320817274		0.0 			0.00 
4.0 	-52.55490000000003	2.882487438211626e-14	    -48.2639		    3.53767		12.554899999999991	9.007773244411332e-15	11.7546000000000	    0.709867		6.974940000000002	2.7023319733233995e-15	      7.60274		    0.742840		0.033920652777777775	0.004504860404463867		0.0 			0.00 
5.0 	-47.224200000000046	4.323731157317439e-14	    -43.0800		    7.67153		7.224240000000003	3.603109297764533e-15	6.54602000000000	    1.32109		4.013470000000001	9.007773244411332e-16	      4.30571		    0.773523		0.04439853055555556	0.027185501868825165		0.0 			0.00 
6.0 	-51.741099999999975	2.882487438211626e-14	    -40.6344		    7.26404		11.741100000000005	5.404663946646799e-15	9.68313000000000	    1.15747		6.52283				0.0		      7.43495		    1.10200		0.0586742111111111	0.03412380833216244		0.0 			0.00 
7.0 	-47.65270000000003	2.882487438211626e-14	    -82.1401		    6.36851		7.652719999999994	5.404663946646799e-15	14.4354000000000	    1.29777		4.251509999999997	2.7023319733233995e-15	      9.10258		    1.5775		0.029476936111111112	0.017027688116042945		0.0 			0.00 
8.0 	-52.55490000000003	2.882487438211626e-14	    -50.4159		    3.12081		12.554899999999991	9.007773244411332e-15	12.1851000000000	    0.639412		6.974940000000002	2.7023319733233995e-15	      7.64372		    0.815855		0.020004837222222224	0.0051209610756601485		0.0 			0.00 
9.0 	-46.99009999999999	7.206218595529065e-15	    -51.5744		    5.38334		6.990139999999998	1.8015546488822663e-15	7.76612000000000	    0.934611		3.8834099999999987	1.3511659866616998e-15	      3.24648		    0.671734		0.037890700000000006	0.02226705926000493		0.0 			0.00 
10.0 	-47.224200000000046	4.323731157317439e-14	    -51.4786		    5.56587		7.224240000000003	3.603109297764533e-15	7.75960000000000	    0.94446		4.013470000000001	9.007773244411332e-16	      3.23878		    0.649539		0.030849538888888885	0.01665322024023801		0.0 			0.00 
11.0 	-51.741099999999975	2.882487438211626e-14	    -51.5464		    5.38291		11.741100000000005	5.404663946646799e-15	7.75614000000000	    0.938995		6.52283				0.0		      3.24621		    0.661973		0.03029392222222222	0.0076996261814681125		0.0 			0.00 
12.0 	-46.99009999999999	7.206218595529065e-15	    -52.0986		    4.97544		6.990139999999998	1.8015546488822663e-15	7.85204000000000	    0.83991		3.8834099999999987	1.3511659866616998e-15	      3.32841		    0.686984		0.02872554722222222	0.014694198315885202		0.0 			0.00 
13.0 	-47.224200000000046	4.323731157317439e-14	    -44.5319		    5.72470		7.224240000000003	3.603109297764533e-15	6.78503000000000	    1.04278		4.013470000000001	9.007773244411332e-16	      4.28836		    1.00675		0.024279561111111108	0.011361005844309931		0.0 			0.00 
14.0 	-51.741099999999975	2.882487438211626e-14	    -47.4572		    4.21612		11.741100000000005	5.404663946646799e-15	10.9292000000000	    0.804689		6.52283				0.0		      6.68177		    1.01035		0.020952983333333328	0.001893804807787751		0.0 			0.00
