#Set,k,QQ,x,t,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
62,5.75,2.46397,0.458299,-0.313288,0.828906,0.216736,2.776188,21.799812,0.559678,14.729465
63,5.75,1.40541,0.360942,-0.294133,0.906641,0.902758,-4.714796,10.562005,3.582828,4.353272
64,5.75,2.99994,0.38417,-0.361526,0.780443,0.909615,-0.495172,22.065053,2.803885,5.055045
65,5.75,1.98947,0.348625,-0.440897,1.741784,4.165366,-6.409997,33.22061,3.961495,10.503304
66,5.75,1.93397,0.487249,-0.474645,1.473051,2.156426,-1.960748,19.370071,3.247273,11.517937
67,5.75,1.69905,0.434288,-0.333734,0.813359,0.770565,-0.863276,10.968249,2.711559,6.220373
68,5.75,1.98286,0.407098,-0.435717,1.66123,1.976379,-5.019639,17.188145,4.315348,7.471761
69,5.75,4.53205,0.503737,-0.498749,1.571041,0.716478,2.151336,34.86476,4.09291,0.953398
70,5.75,3.82342,0.414179,-0.464695,1.157691,0.656417,1.332598,28.621271,4.738489,1.526368
71,5.75,2.93082,0.353409,-0.498615,1.0855,2.510776,0.11444,27.166885,3.934229,3.65759
72,5.75,1.01357,0.480248,-0.445107,0.054133,3.58609,7.349223,23.997673,-2.860421,9.769618
73,5.75,1.39787,0.543611,-0.445009,1.194927,2.783175,-0.442339,26.777552,1.35185,19.48098
74,5.75,1.41485,0.263563,-0.255563,0.647608,2.083247,-3.69544,25.152703,3.129663,6.321522
75,5.75,1.02442,0.353276,-0.466339,0.701755,4.872928,1.699916,29.01235,2.464416,6.188666
76,10,2.06666,0.35211,-0.372448,1.13392,1.318337,-3.229518,11.43892,2.989646,4.323375
77,10,3.49294,0.431918,-0.39292,1.031659,0.551145,-0.647229,9.425621,2.216509,5.965637
78,10,3.10002,0.433327,-0.285693,0.846809,0.067926,-6.34371,20.121218,5.758829,15.713008
79,10,3.55277,0.396336,-0.362823,0.788841,0.868588,-1.138232,14.124334,2.26607,7.627024
80,10,4.69495,0.464606,-0.409555,1.13881,0.32235,4.015752,19.206948,0.680886,13.020692
81,10,3.67644,0.434603,-0.327627,0.933948,0.179986,-1.861822,12.61247,3.826447,8.862287
82,10,2.64696,0.356369,-0.420892,0.864601,1.739151,-0.410469,14.254405,2.675742,5.71804
83,10,3.80212,0.36671,-0.468218,1.336728,3.067743,-3.510954,27.304191,4.087478,10.684652
84,10,3.68838,0.439937,-0.425894,1.400897,0.656701,-2.712432,9.872388,3.996458,6.301004
85,10,4.77584,0.454214,-0.490858,1.384901,1.23584,2.131384,20.040808,1.628965,11.531447
86,10,1.66994,0.423396,-0.413501,0.347643,1.904633,5.839912,15.411761,-2.935829,7.108018
87,10,1.31324,0.289039,-0.147012,0.364704,0.212134,-3.302592,6.934449,2.768528,2.85096
90,10,4.09215,0.527618,-0.492024,1.604589,0.396624,-2.732873,21.529367,2.996415,20.068234
91,10,3.7605,0.351615,-0.371892,1.251347,1.734947,-5.157825,21.851494,4.865234,8.622205
92,10,4.14208,0.449634,-0.489031,1.606699,1.491488,-4.289496,18.726216,4.752611,11.149633
93,10,2.62113,0.441189,-0.360262,1.109602,0.569265,-3.178482,10.341067,4.656481,7.05151
94,10,4.37314,0.418169,-0.306772,0.750275,0.141793,-14.090038,36.252119,9.448497,21.562512
95,10,1.28001,0.338006,-0.280093,0.346419,1.0203,1.04615,10.989678,1.343451,3.891893
96,10,1.11219,0.327053,-0.14238,0.33187,0.138344,-1.948744,8.480397,2.078532,4.291301
97,10,3.60857,0.415497,-0.485913,1.673645,2.039414,-4.724183,18.764737,5.694769,9.590402
98,10,1.45718,0.164651,-0.258194,1.005093,4.676853,-7.985482,46.079289,3.09395,6.523299
99,10,3.23999,0.364715,-0.373272,1.095246,1.102912,-4.38392,12.758913,3.998363,5.812481
100,10,2.81283,0.253983,-0.477616,5.555333,8.549667,-29.414864,55.626711,8.931774,11.350543
101,10,3.70887,0.477923,-0.41546,1.234217,0.488932,-4.405031,16.093858,5.068513,12.914145
102,10,1.46578,0.202289,-0.405037,3.77509,5.709128,-21.390191,37.504532,4.56408,5.390399
103,10,4.35153,0.40512,-0.47471,1.741224,2.801695,-8.043536,31.365421,7.015233,14.495553
104,10,4.38012,0.47467,-0.477391,1.780461,0.880875,-4.87937,17.238569,5.236064,12.129899
105,10,2.4228,0.319482,-0.376806,0.940765,1.521788,-2.445984,12.935148,3.385527,4.421042
106,10,2.9965,0.283987,-0.420306,3.146376,4.338446,-18.016376,33.680994,6.182545,8.918131
107,10,2.38834,0.377425,-0.442481,0.866971,1.737725,0.537806,13.191626,1.28862,5.377451
108,10,4.88968,0.460676,-0.395565,1.214704,0.203542,-0.853362,21.394364,3.09975,13.774147
109,10,3.24369,0.389119,-0.458429,1.290385,1.843631,-1.563109,16.01619,3.380039,7.303471
110,10,3.31213,0.489571,-0.382337,1.280607,0.199019,-0.810692,22.685996,2.673213,19.949764
111,10,1.10922,0.348484,-0.273004,0.469589,1.008009,0.103257,10.958579,1.6656,3.695525
112,10,2.95736,0.329443,-0.234889,0.598765,0.500982,-3.085224,12.896149,3.159762,5.908597
113,10,2.56425,0.363386,-0.284571,0.725075,0.537253,-2.93473,9.096436,3.642153,4.586593
114,10,2.23527,0.481519,-0.35637,1.039635,0.645271,-3.472744,17.228543,6.135885,13.748086
115,10,3.85116,0.36364,-0.484128,1.649199,3.768874,-4.724122,31.498486,4.908888,11.757251
116,10,1.37,0.250716,-0.200977,0.302041,0.666911,-0.386392,9.549593,2.129896,2.576037
117,10,1.45972,0.259134,-0.22194,0.722531,0.632823,-6.369166,8.275081,3.197029,2.280935
118,10,1.77656,0.229969,-0.404035,1.232126,3.609875,-4.458516,24.562346,3.60808,4.409403
119,10,3.10535,0.42777,-0.42335,1.566658,1.019563,-4.766409,11.839494,4.965078,6.848716
120,10,3.09192,0.413395,-0.457733,1.717364,1.432908,-5.234501,13.113309,5.650201,6.714246
121,10,3.40335,0.35737,-0.492717,1.276844,2.943375,-0.768745,22.233772,2.693181,8.281181
122,10,1.27783,0.290856,-0.182287,0.313206,0.316976,-0.648794,6.324428,2.102429,2.246292
123,10,1.09936,0.410423,-0.235896,0.439994,0.536702,1.684891,11.082744,1.412113,6.208062
124,10,3.88341,0.458299,-0.329372,0.979717,0.247852,3.265694,21.003148,-0.358227,16.683985
