,set,replica,ReH,ReE,ReHT
0,0.0,0.0,3.1754113139091382,1.3986948008569846,-3.0678156146667854
1,0.0,1.0,0.34889842149510397,-0.18902321143634396,5.920923670675906
2,0.0,2.0,1.3293255700330318,2.450621178385763,2.7504070055655445
3,0.0,3.0,0.5772868604559125,1.1129580864965365,5.134810356575141
4,0.0,4.0,0.4318393385822326,1.1841601972751932,5.595390632514783
5,0.0,5.0,1.5983236511002858,-1.727668293432043,1.813692262341263
6,0.0,6.0,0.4201326008029458,6.799509568734484,5.404224778993346
7,0.0,7.0,2.4505286021231116,-0.7903762405652093,-0.6811036831110308
8,0.0,8.0,2.9824532761747746,4.615969190295727,-2.4073740896948594
9,0.0,9.0,3.679850657722189,4.3437883086322655,-4.733797666799223
10,0.0,10.0,0.06702671204457115,3.919593912973535,9.651041011190836
11,0.0,11.0,1.7996877227753427,-4.310446341679743,1.4480768911229411
12,0.0,12.0,0.5052516654975931,2.039404868014918,5.325151017012764
13,0.0,13.0,1.9348383953701993,-2.0676305438869553,1.1142190654965198
14,0.0,14.0,2.8775546234387397,-7.334229332510508,-1.6180318601321115
15,0.0,15.0,2.4125930743016113,-2.8240547869187136,-0.31601243490951275
16,0.0,16.0,1.7310423902098035,3.303666140415362,1.4226814453002161
17,0.0,17.0,0.04324614442797778,6.171357201644274,6.601379266080604
18,0.0,18.0,-1.1579810296677573,-7.24075750193209,-0.2701145728765111
19,0.0,19.0,2.4172121999454426,-3.760501917780491,-0.4072909110013396
20,0.0,20.0,1.559275436038542,-4.093444701182735,2.297864748339294
21,0.0,21.0,1.613610181277581,2.4386034987433627,1.9359795118592271
22,0.0,22.0,2.5399227311923385,1.7411042264284413,-1.0914347455203626
23,0.0,23.0,0.4345522274946715,-0.48466174387293387,5.644686387009248
24,0.0,24.0,1.4255434347109424,-2.14610647432926,2.6533161981486755
25,0.0,25.0,-0.48789284899216573,7.900157492311494,4.309252598161308
26,0.0,26.0,2.5617186226541167,-2.0238386304133895,-1.2180534419359477
27,0.0,27.0,1.694921534041713,2.800967719632781,1.5235721918431937
28,0.0,28.0,0.8854959490948733,3.4537782073197763,4.074666186498368
29,0.0,29.0,2.042938257523085,4.632089590340848,0.3752811851546105
30,0.0,30.0,0.30852867817871216,-5.363748186594181,-2.9795679845094423
31,0.0,31.0,1.8792151909032437,-3.340747599994236,1.1490799549053323
32,0.0,32.0,2.970309091473877,3.547228511757548,-2.47738218471407
33,0.0,33.0,1.701078296868953,5.143008726546809,1.4572199518504396
34,0.0,34.0,1.290212711574099,-4.169264932080506,3.0727627310204246
35,0.0,35.0,0.8508033846911235,1.586213979127697,2.363884985051266
36,0.0,36.0,-2.2316025354783635,-1.187604766168067,-7.367023186256543
37,0.0,37.0,1.567021220989846,-6.335229787885434,2.533728223726313
38,0.0,38.0,2.611258114405626,0.8140398684744812,-1.2632730245047876
39,0.0,39.0,3.6069147835475937,-1.7455910226888331,-4.242614324897014
40,0.0,40.0,1.5617162891712155,0.10618910340493715,2.0624401019587513
41,0.0,41.0,0.802273270368592,1.8546284926505852,4.393221002041546
42,0.0,42.0,3.427064054840599,-1.058054703661019,-4.172556910364955
43,0.0,43.0,4.147316726314195,0.5723656029653994,-6.068085610696694
44,0.0,44.0,2.268974821586961,-3.5388488308399353,-0.39574111006934737
45,0.0,45.0,2.2052547509991176,2.1293562680173306,0.026069860077415047
46,0.0,46.0,3.51794565469632,3.6969222503669843,-4.434254023971571
47,0.0,47.0,2.2032201944155485,-4.713124605153585,0.3523431335264632
48,0.0,48.0,2.7986355192541224,1.5392530221811107,-1.8552752962950314
49,0.0,49.0,1.062404625540874,6.230447234333603,3.399771803024564
50,0.0,50.0,0.5225366020732125,-0.7518150543107689,5.380945399362791
51,0.0,51.0,4.625062813756258,-1.2695316216488028,-7.4617873944980815
52,0.0,52.0,-0.17266610129249224,2.3125676008817835,7.4377295035567546
53,0.0,53.0,0.08364714064315944,-5.397336329648278,6.949656662930019
54,0.0,54.0,0.753138943520207,-3.8575956909241826,4.766242132076636
55,0.0,55.0,4.976312631697578,8.836169634062387,-7.766198408129095
56,0.0,56.0,5.439858841665579,-6.104790983939314,-4.813774428569175
