,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
5220,116,0.512279786,0.870441256,-3.512315807,11.41406217,2.469014974,3.229636677
5265,117,0.090599871,4.195072216,3.40566907,28.48758989,2.38956097,5.174769983
5310,118,1.251576758,1.028651168,-1.048238663,12.08759416,2.904519735,7.072059348
5355,119,1.46436009,1.326876371,-2.934682071,12.25751333,4.681530978,6.645035037
5400,120,1.13645162,2.915651286,0.205810297,21.90037793,2.846619555,8.329960834
5445,121,0.370176418,0.432311089,-1.328057458,8.317151302,2.462638835,3.000048446
5490,122,0.57748333,0.751320389,-1.010334842,15.3056111,3.770172864,8.618132672
5535,123,0.944401227,0.406735056,-1.329872395,38.18449869,4.073904195,30.49549586
5580,124,1.821049688,2.106141257,-5.697598914,45.55335648,6.453502723,25.73858089
5625,125,0.321151685,3.760961683,1.951255137,24.94974388,1.861695879,4.126007272
5670,126,0.644646336,0.494556189,-1.094654769,7.352869566,3.171635119,3.3567242
5715,127,0.750857635,2.681695384,-2.59877589,21.51235738,1.91664785,3.765641308
5760,128,0.868089282,0.846499205,-2.538469215,10.59347327,4.244016408,5.963163542
5805,129,0.246405741,1.916317147,2.427162907,17.2100597,2.394294569,4.532358119
5850,130,0.343394686,0.149212046,-3.825901498,10.906216,3.129599897,5.80420001
5895,131,0.404103835,0.488408367,-1.558797756,10.26570771,2.876208643,3.990672781
5940,132,1.182937104,1.550540525,1.547020902,17.60295387,1.474587648,12.55091236
5985,133,1.504017521,1.488464715,-3.614729642,14.08632886,4.155996465,7.268401585
6030,134,0.785343157,0.973785343,-6.227423397,12.18820981,3.716282871,3.880531429
6075,135,0.346725106,0.625954021,0.426567104,14.51525026,1.923261282,6.011907741
6120,136,0.820149251,1.302451442,0.357372452,11.88425045,2.687253116,4.795046346
6165,137,0.603130651,0.401372487,-2.870961972,8.983402641,2.722501825,4.895555712
6210,138,1.488478536,4.562104831,-3.059032703,46.72572764,4.658390644,9.266820155
6255,139,0.42697125,0.239399111,-0.610928926,10.55257327,2.698560977,5.490607497
6300,140,0.957195947,4.471166306,0.474854839,28.81810711,0.817293826,10.34121249
6345,141,1.567968101,1.47678651,-3.379744901,14.53290415,5.962055726,8.655438653
6390,142,1.449491701,1.953735754,-7.995467221,15.62684241,4.297323083,3.682073522
6435,143,0.648741382,1.236613869,1.036371945,13.07746037,2.53444412,5.789232844
6480,144,0.635007388,1.291225152,-0.111316243,11.97662781,3.361884706,4.312576078
6525,145,1.052408454,2.392466864,0.289892875,17.86596286,2.544717126,6.831288228
6570,146,0.777857872,0.992723112,-1.775275187,9.926481764,3.131158151,3.681654004
6615,147,0.493874249,2.231256526,4.916516095,23.31583289,-2.532869658,13.98357108
6660,148,0.800963928,1.066439637,-0.082274206,10.03111404,2.209067115,4.276048225
6705,149,0.854619116,0.355397414,-3.816497028,22.3726463,4.294883167,18.63934112
6750,150,0.897053668,2.808364192,-0.451457116,19.18263425,2.618839413,6.362351364
6795,151,0.110623748,0.305242891,0.848510372,8.510171808,1.576569366,2.529773609
6840,152,0.968027147,0.075489421,0.411911152,18.01835229,2.216098775,14.08238296
6885,153,0.398875167,0.634526064,0.386594388,11.74977731,2.31641411,5.278200245
6930,154,0.82901066,1.123600255,-5.442862341,13.21079736,3.659916,4.056931022
6975,155,1.139438178,1.38249161,-2.533170868,12.30982531,3.935824415,5.636043043
