#Set,index,k,QQ,x_b,t,F1,F2,phi_x,F,sigmaF
1,21,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,210,0.00398209,0.000199104
1,22,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,220,0.00809907,0.000404953
1,23,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,230,0.0118153,0.000590764
1,24,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,240,0.0184934,0.000924672
1,25,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,250,0.0259959,0.00129979
1,26,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,260,0.0342091,0.00171046
1,27,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,270,0.0428543,0.00214272
1,28,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,280,0.0542923,0.00271461
1,29,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,290,0.0733256,0.00366628
1,30,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,300,0.0889375,0.00444687
1,31,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,310,0.112119,0.00560593
1,32,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,320,0.133437,0.00667185
1,33,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,330,0.16722,0.00836102
1,34,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,340,0.218824,0.0109412
1,35,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,350,0.223748,0.0111874
2,0,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,0,0.00351971,0.000175985
2,1,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,10,0.00521157,0.000260579
2,2,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,20,0.0114592,0.00057296
2,3,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,30,0.0167103,0.000835515
2,4,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,40,0.0213564,0.00106782
2,5,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,50,0.0272201,0.001361
2,6,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,60,0.0300006,0.00150003
2,7,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,70,0.0295337,0.00147669
2,8,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,80,0.0306594,0.00153297
2,9,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,90,0.0326391,0.00163195
2,10,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,100,0.0309186,0.00154593
2,11,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,110,0.0338429,0.00169214
2,12,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,120,0.0298103,0.00149051
2,13,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,130,0.0287262,0.00143631
2,14,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,140,0.0278771,0.00139386
2,15,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,150,0.0284592,0.00142296
2,16,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,160,0.0292343,0.00146171
2,17,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,170,0.0272094,0.00136047
2,18,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,180,0.0298597,0.00149299
2,19,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,190,0.0289304,0.00144652
2,20,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,200,0.0288329,0.00144165
2,21,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,210,0.0276338,0.00138169
2,22,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,220,0.0287624,0.00143812
2,23,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,230,0.0287601,0.00143801
2,24,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,240,0.0297827,0.00148914
2,25,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,250,0.0295753,0.00147876
2,26,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,260,0.0340688,0.00170344
2,27,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,270,0.0348935,0.00174467
2,28,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,280,0.0327865,0.00163932
2,29,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,290,0.0342362,0.00171181
2,30,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,300,0.0278075,0.00139037
2,31,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,310,0.0271522,0.00135761
2,32,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,320,0.0216522,0.00108261
2,33,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,330,0.0179788,0.000898942
2,34,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,340,0.00997639,0.000498819
2,35,4.75,2.01586,0.396543,-0.361234,0.500004,0.712951,350,0.00547133,0.000273567
3,0,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,0,1.19701,0.0598503
3,1,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,10,1.01178,0.050589
3,2,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,20,0.770235,0.0385118
3,3,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,30,0.504133,0.0252067
3,4,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,40,0.336586,0.0168293
3,5,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,50,0.235174,0.0117587
3,6,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,60,0.167403,0.00837015
3,7,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,70,0.125126,0.0062563
3,8,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,80,0.0943462,0.00471731
3,9,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,90,0.0697829,0.00348914
3,10,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,100,0.0510857,0.00255428
3,11,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,110,0.0355097,0.00177549
3,12,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,120,0.0284665,0.00142333
3,13,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,130,0.018579,0.00092895
3,14,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,140,0.011316,0.000565802
3,15,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,150,0.0058547,0.000292735
3,16,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,160,0.00266415,0.000133208
3,17,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,170,0.000763618,3.81809e-05
3,18,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,180,0.000150154,7.50772e-06
3,19,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,190,0.000770243,3.85121e-05
3,20,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,200,0.00271694,0.000135847
3,21,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,210,0.00630001,0.000315
3,22,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,220,0.0116037,0.000580183
3,23,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,230,0.0180776,0.000903878
3,24,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,240,0.0259906,0.00129953
3,25,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,250,0.0375025,0.00187512
3,26,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,260,0.0535395,0.00267698
3,27,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,270,0.0734699,0.00367349
3,28,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,280,0.0980474,0.00490237
3,29,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,290,0.123766,0.00618829
3,30,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,300,0.180846,0.0090423
3,31,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,310,0.24229,0.0121145
3,32,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,320,0.338032,0.0169016
3,33,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,330,0.507203,0.0253601
3,34,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,340,0.706458,0.0353229
3,35,4.75,2.15389,0.312747,-0.345883,0.511504,0.735708,350,1.07924,0.0539621
4,0,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,0,1.28599,0.0642995
4,1,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,10,1.02872,0.0514362
4,2,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,20,0.672926,0.0336463
4,3,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,30,0.514652,0.0257326
4,4,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,40,0.335753,0.0167877
4,5,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,50,0.24484,0.012242
4,6,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,60,0.161816,0.0080908
4,7,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,70,0.125602,0.00628011
4,8,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,80,0.0906194,0.00453097
4,9,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,90,0.0633912,0.00316956
4,10,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,100,0.0511377,0.00255688
4,11,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,110,0.0341999,0.00171
4,12,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,120,0.0244381,0.0012219
4,13,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,130,0.0169906,0.000849532
4,14,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,140,0.0103445,0.000517225
4,15,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,150,0.00541509,0.000270755
4,16,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,160,0.00187835,9.39174e-05
4,17,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,170,2.98752e-05,1.49376e-06
4,18,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,180,-0.00054511,-2.72555e-05
4,19,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,190,2.95835e-05,1.47918e-06
4,20,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,200,0.00184388,9.21941e-05
4,21,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,210,0.00496963,0.000248482
4,22,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,220,0.0102088,0.00051044
4,23,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,230,0.014482,0.000724098
4,24,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,240,0.0239265,0.00119633
4,25,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,250,0.0368833,0.00184417
4,26,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,260,0.04772,0.002386
4,27,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,270,0.0709461,0.0035473
4,28,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,280,0.0914921,0.0045746
4,29,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,290,0.125139,0.00625693
4,30,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,300,0.169141,0.00845703
4,31,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,310,0.236666,0.0118333
4,32,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,320,0.357741,0.0178871
4,33,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,330,0.53996,0.026998
4,34,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,340,0.772381,0.038619
4,35,4.75,2.15389,0.312747,-0.354436,0.505041,0.722896,350,1.08867,0.0544335
5,0,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,0,0.00867271,0.000433636
5,1,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,10,0.0104052,0.000520262
5,2,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,20,0.0138061,0.000690307
5,3,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,30,0.017011,0.000850551
5,4,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,40,0.0204484,0.00102242
5,5,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,50,0.0233344,0.00116672
5,6,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,60,0.0308352,0.00154176
5,7,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,70,0.0305031,0.00152515
5,8,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,80,0.0332135,0.00166068
5,9,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,90,0.0330627,0.00165314
5,10,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,100,0.0348687,0.00174343
5,11,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,110,0.037622,0.0018811
5,12,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,120,0.0311572,0.00155786
5,13,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,130,0.0374832,0.00187416
5,14,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,140,0.0334008,0.00167004
5,15,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,150,0.0366479,0.0018324
5,16,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,160,0.0354361,0.00177181
5,17,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,170,0.0351139,0.0017557
5,18,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,180,0.0361306,0.00180653
5,19,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,190,0.0343,0.001715
5,20,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,200,0.0307908,0.00153954
5,21,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,210,0.0360939,0.0018047
5,22,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,220,0.0392453,0.00196227
5,23,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,230,0.0348526,0.00174263
5,24,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,240,0.0380404,0.00190202
5,25,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,250,0.0348836,0.00174418
5,26,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,260,0.0388026,0.00194013
5,27,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,270,0.0347559,0.0017378
5,28,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,280,0.0330243,0.00165122
5,29,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,290,0.0298594,0.00149297
5,30,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,300,0.0260086,0.00130043
5,31,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,310,0.0240188,0.00120094
5,32,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,320,0.0214367,0.00107183
5,33,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,330,0.0169533,0.000847665
5,34,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,340,0.0115932,0.000579659
5,35,4.75,2.03646,0.415563,-0.307761,0.542126,0.797175,350,0.00969089,0.000484545
6,0,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,0,0.00439128,0.000219564
6,1,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,10,0.00602979,0.00030149
6,2,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,20,0.0095281,0.000476405
6,3,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,30,0.0127824,0.000639119
6,4,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,40,0.018716,0.000935799
6,5,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,50,0.0231047,0.00115523
6,6,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,60,0.0297771,0.00148885
6,7,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,70,0.0300004,0.00150002
6,8,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,80,0.0337262,0.00168631
6,9,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,90,0.0408748,0.00204374
6,10,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,100,0.0422256,0.00211128
6,11,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,110,0.0427117,0.00213558
6,12,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,120,0.0401997,0.00200999
6,13,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,130,0.041316,0.0020658
