0.126	1.11	0.11	7.5	0	0	0
0.126	1.11	0.11	22.5	0	0	0
0.126	1.11	0.11	37.5	0	0	0
0.126	1.11	0.11	55.82	0	0	0
0.126	1.11	0.11	68.33	8.9354	0.5418	0.7223
0.126	1.11	0.11	82.35	5.7024	0.2823	0.3494
0.126	1.11	0.11	97.13	3.5973	0.204	0.2525
0.126	1.11	0.11	112.2	2.9545	0.2122	0.1979
0.126	1.11	0.11	127.27	2.604	0.1803	0.2255
0.126	1.11	0.11	142.33	2.1674	0.1402	0.1421
0.126	1.11	0.11	157.4	2.1833	0.1464	0.1295
0.126	1.11	0.11	172.47	1.9659	0.1725	0.1965
0.126	1.11	0.11	187.53	2.3694	0.1673	0.2242
0.126	1.11	0.11	202.6	2.1443	0.1377	0.1475
0.126	1.11	0.11	217.67	2.4837	0.1629	0.2342
0.126	1.11	0.11	232.73	2.4709	0.1904	0.184
0.126	1.11	0.11	247.8	3.0839	0.1776	0.2447
0.126	1.11	0.11	262.87	3.4295	0.1893	0.2189
0.126	1.11	0.11	277.65	5.3907	0.2922	0.372
0.126	1.11	0.11	291.67	9.0739	0.5655	0.942
0.126	1.11	0.11	304.18	0	0	0
0.126	1.11	0.11	322.5	0	0	0
0.126	1.11	0.11	337.5	0	0	0
0.126	1.11	0.11	352.5	0	0	0
0.126	1.11	0.15	7.5	0	0	0
0.126	1.11	0.15	22.5	0	0	0
0.126	1.11	0.15	37.5	0	0	0
0.126	1.11	0.15	56.12	0	0	0
0.126	1.11	0.15	68.12	5.0617	0.4033	0.2938
0.126	1.11	0.15	82.03	3.1358	0.1995	0.4105
0.126	1.11	0.15	97.11	2.498	0.1521	0.1694
0.126	1.11	0.15	112.18	1.7895	0.134	0.1277
0.126	1.11	0.15	127.26	1.345	0.1137	0.1315
0.126	1.11	0.15	142.33	1.3565	0.0931	0.1128
0.126	1.11	0.15	157.4	1.3242	0.0923	0.0954
0.126	1.11	0.15	172.47	1.2156	0.1056	0.1697
0.126	1.11	0.15	187.53	1.2164	0.0995	0.1079
0.126	1.11	0.15	202.6	1.2284	0.0879	0.0807
0.126	1.11	0.15	217.67	1.2196	0.0892	0.067
0.126	1.11	0.15	232.74	1.3916	0.1202	0.0865
0.126	1.11	0.15	247.82	1.6852	0.1232	0.1837
0.126	1.11	0.15	262.89	2.1674	0.1379	0.1314
0.126	1.11	0.15	277.97	3.6278	0.2195	0.2482
0.126	1.11	0.15	291.88	4.8063	0.3726	0.3976
0.126	1.11	0.15	303.88	0	0	0
0.126	1.11	0.15	322.5	0	0	0
0.126	1.11	0.15	337.5	0	0	0
0.126	1.11	0.15	352.5	0	0	0
0.126	1.11	0.2	7.5	0	0	0
0.126	1.11	0.2	22.5	0	0	0
0.126	1.11	0.2	37.5	0	0	0
0.126	1.11	0.2	56.19	0	0	0
0.126	1.11	0.2	67.53	3.1688	0.3298	0.4738
0.126	1.11	0.2	82	2.4884	0.1935	0.1799
0.126	1.11	0.2	97.09	1.6622	0.1287	0.1248
0.126	1.11	0.2	112.17	1.2373	0.1092	0.1257
0.126	1.11	0.2	127.25	0.8238	0.0904	0.1178
0.126	1.11	0.2	142.32	0.7833	0.0705	0.1369
0.126	1.11	0.2	157.39	0.8914	0.0736	0.0575
0.126	1.11	0.2	172.46	0.74	0.0786	0.0817
0.126	1.11	0.2	187.54	0.7966	0.086	0.1386
0.126	1.11	0.2	202.61	0.6193	0.0598	0.053
