,0,1,2,3
0,8.412885,6.7230334,6.422495,0.041718848
1,7.1156597,5.3483953,7.2265024,0.06288799
2,5.289543,5.631263,5.7863607,0.039108194
3,8.735545,5.0951824,-0.31805074,0.011282047
4,1.4270371,-1.3059834,0.43770215,-0.00042692284
5,3.0966737,-0.36266774,-0.49782026,0.027137117
6,0.66253316,-1.2070943,0.91132367,0.029448418
7,3.291907,1.7823669,2.8417342,0.040704384
8,1.0408453,-1.1159154,0.74439806,0.040133044
9,5.4578257,1.5306503,4.0343723,0.038890105
10,2.2810369,-0.49979404,0.95528245,0.029314103
11,2.4518251,1.4341941,2.559213,0.099374324
12,1.384488,-0.76341057,0.087403044,-0.0060207285
13,6.7260323,6.2682242,7.991856,-0.76691544
14,6.946842,5.9623976,6.9427423,0.032550335
15,4.052754,2.0181868,4.2675195,0.012068095
16,4.366743,0.95382833,5.2706614,0.015952852
17,2.1385052,-0.58449113,1.4456514,-0.008716163
18,0.6616949,0.8646085,-3.0401924,0.008658278
19,1.2739995,-1.2133335,0.40046552,0.009373927
20,5.1313043,1.0220668,3.2021818,0.0035682744
21,1.4982326,-0.7047641,0.57249904,0.058374498
22,7.015142,4.30107,5.245207,0.19655277
23,2.9464576,0.08155057,1.2769986,-0.0065601617
24,6.4927115,-4.3596077,-0.8390125,-0.029460121
25,0.84882295,-1.3126565,0.5205806,0.010325115
26,2.0987554,-1.3709329,-1.2836432,-0.025871083
27,-1.5074353,-6.171362,11.84083,0.06399577
28,1.9366993,-2.903064,0.56183255,0.012335446
29,1.6078364,-1.169539,1.0720388,0.024616357
30,5.458727,1.478075,5.0559454,0.010479645
31,4.861347,1.1373874,4.5436196,0.009453087
32,11.132399,6.732756,10.471652,0.018249689
33,8.229835,0.035406124,16.972906,0.040400226
34,-4.0499697,-9.928195,8.203699,0.0434285
35,1.170936,-11.024134,4.2145414,0.012080525
36,1.1741334,-1.3123918,0.3442777,0.017315084
37,4.476903,1.2018597,3.5839565,0.063608065
38,1.1741573,-1.0535954,0.54448056,-0.0016557226
39,3.4653203,-0.22718331,0.95418376,-0.011535146
40,3.6000576,0.52368766,2.658528,0.01140523
41,3.795062,0.09823722,2.4145374,0.01978097
42,2.9797394,0.36112902,2.8893344,0.01043
43,5.568657,2.9370763,4.2641034,-0.17278239
44,5.2898536,2.5707319,5.3529677,0.058541667
45,9.046955,6.96302,9.245198,0.044436436
46,10.765507,3.683015,0.31783825,0.013023088
47,-0.14531526,-5.431996,-4.665742,-0.031409528
48,1.0918044,-3.3823228,-2.1443038,-0.04544699
49,6.573701,2.92771,4.8646317,0.0145166945
50,8.323596,6.425221,0.5278139,0.027068937
51,2.0630338,0.13809349,-0.40970463,0.039836824
52,13.440642,19.652042,9.959833,0.08287548
53,1.2397457,-1.0774543,0.54103,-0.009548072
54,1.1013634,-1.3079298,4.3501787,0.02157589
55,-2.8916197,-5.5020146,4.1088214,0.008539613
56,2.6819172,-10.745178,-0.10514482,-0.117862426
57,2.862342,-0.22588849,2.099747,-0.011658861
58,1.5384656,0.5619783,3.4470878,0.07301347
59,4.926783,2.87555,7.4811006,0.0038523893
60,4.05856,2.3853817,4.6861143,0.018753896
61,4.809797,2.9411335,5.5588536,0.015683498
62,6.145021,4.1235943,5.94157,0.025819775
63,4.677187,0.99537235,2.9882686,0.017231543
64,1.309662,-1.059288,0.46721366,-0.0009494419
65,2.8109298,1.1763786,2.3485014,0.011786274
66,1.2042621,-1.1581433,0.4269809,0.0059292135
67,4.1754746,0.94623965,3.815885,0.03550642
68,1.1397583,-1.2654073,0.41518113,0.0040450706
69,6.921297,1.1676673,-2.7787209,-0.016901104
