Set,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev


totalDist=1:
75,5.750000,1.024420,0.353276,-0.466339,0.701755,4.872928,1.699916,29.012350,2.464416,6.188666
76,10.000000,2.066660,0.352110,-0.372448,1.133920,1.318337,-3.229518,11.438920,2.989646,4.323375
77,10.000000,3.492940,0.431918,-0.392920,1.031659,0.551145,-0.647229,9.425621,2.216509,5.965637
78,10.000000,3.100020,0.433327,-0.285693,0.846809,0.067926,-6.343710,20.121218,5.758829,15.713008
79,10.000000,3.552770,0.396336,-0.362823,0.788841,0.868588,-1.138232,14.124334,2.266070,7.627024
80,10.000000,4.694950,0.464606,-0.409555,1.138810,0.322350,4.015752,19.206948,0.680886,13.020692
81,10.000000,3.676440,0.434603,-0.327627,0.933948,0.179986,-1.861822,12.612470,3.826447,8.862287
82,10.000000,2.646960,0.356369,-0.420892,0.864601,1.739151,-0.410469,14.254405,2.675742,5.718040
83,10.000000,3.802120,0.366710,-0.468218,1.336728,3.067743,-3.510954,27.304191,4.087478,10.684652
84,10.000000,3.688380,0.439937,-0.425894,1.400897,0.656701,-2.712432,9.872388,3.996458,6.301004
85,10.000000,4.775840,0.454214,-0.490858,1.384901,1.235840,2.131384,20.040808,1.628965,11.531447
86,10.000000,1.669940,0.423396,-0.413501,0.347643,1.904633,5.839912,15.411761,-2.935829,7.108018
87,10.000000,1.313240,0.289039,-0.147012,0.364704,0.212134,-3.302592,6.934449,2.768528,2.850960
88,10.000000,2.289010,0.577853,-0.498316,2.179705,0.359502,-3.080726,4.293286,-5.618289,4.779264
89,10.000000,6.068880,0.493909,-0.453940,1.600884,0.154810,1.055311,2.200338,2.095463,1.276717
90,10.000000,4.092150,0.527618,-0.492024,1.604589,0.396624,-2.732873,21.529367,2.996415,20.068234
91,10.000000,3.760500,0.351615,-0.371892,1.251347,1.734947,-5.157825,21.851494,4.865234,8.622205
92,10.000000,4.142080,0.449634,-0.489031,1.606699,1.491488,-4.289496,18.726216,4.752611,11.149633
93,10.000000,2.621130,0.441189,-0.360262,1.109602,0.569265,-3.178482,10.341067,4.656481,7.051510
94,10.000000,4.373140,0.418169,-0.306772,0.750275,0.141793,-14.090038,36.252119,9.448497,21.562512
95,10.000000,1.280010,0.338006,-0.280093,0.346419,1.020300,1.046150,10.989678,1.343451,3.891893
96,10.000000,1.112190,0.327053,-0.142380,0.331870,0.138344,-1.948744,8.480397,2.078532,4.291301
97,10.000000,3.608570,0.415497,-0.485913,1.673645,2.039414,-4.724183,18.764737,5.694769,9.590402
98,10.000000,1.457180,0.164651,-0.258194,1.005093,4.676853,-7.985482,46.079289,3.093950,6.523299
99,10.000000,3.239990,0.364715,-0.373272,1.095246,1.102912,-4.383920,12.758913,3.998363,5.812481
100,10.000000,2.812830,0.253983,-0.477616,5.555333,8.549667,-29.414864,55.626711,8.931774,11.350543
