,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
0,0,0.702109542882553,0.6331402940281065,-2.9586949200069057,27.04562249153774,3.497793365959005,1.281142898247682
1,1,1.3688317103944336,1.5745340493577806,-1.5753196441635975,43.71440719762813,5.507605096299432,9.187426746820943
2,2,1.839356052785553,5.451255038159681,-2.5527446910208633,49.28492559568961,5.174918701085771,30.530258960253008
3,3,1.2184889619247679,4.583288179127195,3.287531642276369,49.44331284281621,3.230696524201952,14.96580452143145
4,4,1.1421969228808322,2.5512329845790847,12.107738655033348,36.52765476091877,-3.552481321568175,20.242957586954685
5,5,1.360713638260317,1.011140316139502,-1.75494670961986,64.54240336788922,3.8173752200453297,16.17353100627593
6,6,1.545311468972443,13.294380285950844,-1.7327471848147535,284.32191416309627,4.371735597796932,93.87296620777009
7,7,0.8319551059084156,5.7849919338411615,2.082434284438393,44.627193040737936,4.896529585839692,3.3978156990306103
8,8,1.5057790179942243,1.0562709818371234,-4.244885910693572,23.766214988989166,4.397561594118161,4.275801574456772
9,9,1.6038803210814112,0.9635899968231891,-3.612660153639517,22.215072372846457,3.5150493405913834,3.659432391501844
10,10,-1.5373376082628836,10.325361179317344,23.158616682482712,95.35256279420547,-2.0015207489405635,24.672475066932126
11,11,1.7572726751854757,2.2837082301192924,-2.5779390946633036,75.05881651902979,5.450015802693834,9.351158020022543
12,12,1.3347277785162488,1.9565702212846199,-2.489678739525676,55.89177367196065,4.139028211655495,16.167033756275803
13,13,1.9686252358503231,2.565916887927099,-6.123205470920788,34.56041090140074,4.9764787357108355,9.707125080686314
14,14,1.8442935712841164,2.475695546641882,-6.277244451365884,38.36284045321652,5.16094371817759,11.587866724710937
15,15,1.6274669506174193,3.4676876254566844,-5.607331493462918,38.36102132495078,4.764152044187384,9.371611577758603
16,16,0.977296749408429,0.7096400692184854,0.8151281424554995,24.917206253429462,2.8003675150417267,3.5750930335498663
17,17,1.7619585299266087,11.674575740837145,1.7067493744565754,124.91584341672142,6.740159281320995,85.05498831065297
18,18,1.017740566874895,0.8919114913180748,-2.048841503828708,25.97342964020026,3.9165375095841135,4.702385784822941
19,19,0.4713123334672418,1.5270083863817203,1.8897569414529403,39.21724578725519,2.0257328202739333,17.95167450271706
20,20,1.1597126683313141,1.5865446018456861,-0.5502192389797322,21.743385425895244,4.764752489013565,3.1632316373497797
21,21,1.3564734259509943,12.671784383127692,-2.5817677752343107,168.57308301002126,4.294576094879541,25.147500201977138
22,22,0.39936053765927537,2.082800133865248,7.42344822260843,38.13114269448254,0.7841436118738259,19.305753122468378
23,23,1.6600474018331375,0.5884728193910783,-3.750747517864788,18.959589258871258,3.8797866968469217,0.9415845941283404
24,24,0.5448262677477199,1.5002216082760191,0.6446281245706005,38.13429311437751,2.603737103204563,18.61167899961173
25,25,1.1634134670192768,0.8271901104738788,-1.3756172510147628,27.2857483227807,3.644958675409554,4.57216610752797
26,26,0.9482884334183824,2.305382460245097,-1.1438732778207967,91.817807542512,3.6846543902805107,30.14724710149396
27,27,0.5344797014440511,0.8760080432474419,-1.4714451073739734,11.625950531931892,2.638785071712692,4.3438444951352055
28,28,0.9341434762869634,0.3988520626106092,-7.793411119072528,27.00266919393002,6.513796574855126,18.080995256854028
29,29,1.0626325311729568,4.151590400397205,3.702995942261742,34.992930371731546,-8.830619547094805,28.108979137381272
30,30,0.8092397248242642,0.7966969703604572,1.6964394198904684,26.068941230505093,1.8999742349900728,15.317781752330813
31,31,1.2272908264868096,1.7165083970400443,-3.0921982074370966,38.84720146269068,4.584893674876732,22.82898854019713
32,32,1.392493244488164,1.8078007998742904,-2.245599047545511,22.14560954393269,3.88376229478455,11.369369659562244
33,33,0.607544088095714,0.7330552128524671,-1.6022891543688105,11.496951133525164,3.1541547160916377,5.508849552696612
34,34,1.122715771909926,0.8907796144746116,-4.038525328475383,24.268752824279893,4.9587114521888225,15.623915096310885
35,35,1.0170969401806282,2.0500004309139506,0.08477187040628831,15.944993420928066,0.7809637049780072,6.565199659056955
36,36,1.179083995172543,1.722220738446492,-6.804820711258698,16.867339352172845,3.930887261322785,4.738981693542478
37,37,1.7246202597650833,0.2590400789002899,-2.502800976899721,35.21432933342517,4.794702697293844,5.312259237513518
38,38,0.9266617944317321,2.9811126411200037,-1.7334158808999014,54.20604376480029,3.244803841732258,15.32713231050892
39,39,0.4594545592183339,9.0193202267357,3.2047340502176835,55.168094846511636,4.208978626749937,10.923046639488769
40,40,1.027025313421698,0.7835381272965761,-3.643403524901024,16.788150635291075,2.9395202312498414,11.61075026494625
41,41,1.1052760325611297,9.06040130924287,0.33836319546817917,66.91127494814603,4.237981031717516,19.197591119864672
42,42,1.2483333975042084,2.607046893381627,-0.8444152745436093,21.521397543485886,3.085501385543276,10.53617566909748
43,43,0.4272023027626304,0.332261561678762,-4.105564575554812,10.443065321674247,3.291467411168724,4.717796388007802
44,44,1.789323139654881,1.574521116275419,-2.369438887549629,26.32977489024659,4.060253044032347,4.964700456005689
45,45,1.489972018504598,2.665988042296755,-2.997099761002524,22.775647088581927,3.989767105059694,9.37829224657921
46,46,1.1544107522875644,1.2424940986087991,-2.822080814088024,22.8086836821621,4.279543318283011,14.845642182505555
47,47,0.9530483964730561,4.1085665212241835,-1.1703904823610554,84.45993359887046,3.542247923500518,28.15478097323375
48,48,1.7108120349532863,2.6136791338949674,-2.956385591341329,34.84566287916679,4.177663721539789,19.0345777604865
49,49,0.49024608458910945,0.7027275538173592,-0.501252487309205,9.927787490975991,3.0265761949921366,3.608586380487841
50,50,0.6620728118379751,0.9705077635371046,-2.0332482440389903,13.15584998323764,3.562146440296436,5.344037290213533
51,51,1.5647461829636673,1.8184089515074302,-2.6409755324805566,32.82602182797062,5.142861919394056,23.70210249157868
52,52,1.3571751399528702,3.125645591693271,-2.0565396624336088,25.828580785406597,3.974761235020507,9.756496832702968
53,53,1.2074653759425884,0.9351638058187812,-1.5214669754381003,30.582682773453943,3.9966574523159517,23.357169998425647
54,54,1.4901764738855499,0.24890547449876071,-2.476872199826394,51.33137053523266,4.049534113872392,14.338964614899284
55,55,1.284126950915871,1.8611821176729753,-2.438305852227032,18.115022388338012,4.286901389141992,9.768664873715592
56,56,0.8265125950896564,1.8642610272492082,0.6828380323582479,17.208437579117167,-0.37293930568794065,9.568736886098668
57,57,-0.29007347214985535,12.159742873158397,7.182692246800963,89.58604087473068,1.847019951747678,13.780188567762375
58,58,0.7918203808198208,1.1402843513095922,-1.5865021749464248,11.949216355813013,3.0352237791187666,5.016908604517678
59,59,1.1639885888651111,1.1897608038907244,-1.8246665464095138,28.6945019177402,5.07163458957807,21.63536662503503
60,60,1.3548464166272018,1.6956176255982423,-2.418753745977565,17.14799920664759,3.763789986377395,8.38665188930823
61,61,0.851152199168715,0.43494899744548526,2.150488435765471,47.46318234188184,1.6890316478044292,31.735454968580314
62,62,0.7858692006843825,0.9513478469620316,-2.882152221210647,11.219655032200443,3.1203878413220103,4.523410770567628
63,63,0.8506201808906719,1.73380067302519,-0.6803424660443849,41.66164504269308,3.211058271802864,9.67484612767041
64,64,1.6766609340566738,4.016104473498006,-5.743768444830917,31.95465303592507,4.084197636831445,9.925633645925457
65,65,1.4670310983926484,2.105056231237752,-1.9274864814965111,18.945699754833697,4.007381569907238,11.215578733173912
66,66,0.878194984022961,0.9079725836308656,-1.5089068585070091,13.100710068239973,3.5395852011572755,7.589053572862261
67,67,1.3665348093748595,2.180629952887973,-2.259386693500124,18.933324379102523,3.4422799407419373,8.054481125547916
68,68,1.5524896136534274,0.7474919852515656,-2.8325159640643087,38.533789726816494,4.579299422529006,0.9596800494718453
69,69,1.3512100187832818,0.6271738380000409,-2.7707620012644645,27.329430161791958,5.218527036443485,1.4019278397410033
70,70,1.2886305616041345,2.6665461449249404,-2.024811924627267,28.85281775932534,4.517820796471888,3.9202096277407557
71,71,0.9892278394820128,3.515256793171263,1.062174805008317,23.545168762962664,1.037526251984485,9.84554615280158
72,72,1.3156270815185183,2.677259932926924,-1.4924015431006667,25.891127517184184,3.051710629795025,19.151837531764677
73,73,0.2734068783349795,2.011219621342347,1.121880941238791,24.250757613606538,2.010076280095467,6.125108900716538
74,74,1.3529466869826297,5.189842899918924,-2.2142677580828325,31.019282913401746,4.358107464876298,6.81321379763176
75,75,0.9799755786733213,1.2889871156494355,-1.7739515724757435,11.30126713498825,2.8034127397824173,4.37551335347989
76,76,1.2003813031500254,0.7802083535245179,-3.456240553326865,13.450693692355323,4.332198090625825,8.564452144851638
77,77,0.8658783083967967,0.07171610024173966,-5.926112281353776,22.259280784261673,5.798487559555051,17.247127980472317
78,78,0.9190198196738508,0.8671033292405356,-3.0590524038788205,14.100414258221225,3.48138977531557,7.68023879223104
79,79,1.1745015621251635,0.5029106635368539,3.6366464774628326,31.503811893613577,1.3138349600480657,21.294201358232844
80,80,0.9136089696281775,0.27232858527923726,0.1951798388982886,18.468406941609928,2.5741812851469135,13.110361643247469
81,81,1.0996654677854933,1.604008749829886,-2.2593396667449293,13.184000558228192,3.786470132050675,5.264740362515246
82,82,1.4345396480104895,3.0240896488352407,-4.100890322101359,26.797497131635797,4.487238709137884,10.575962003538589
83,83,1.4069767927460577,0.9609219399952483,-2.396036200699458,14.643133999081227,4.045514778162039,9.26736229354762
84,84,1.7304542512521572,1.8895238383728388,-3.3315473178049944,30.740806483578673,5.198219221265229,17.627980232143575
85,85,0.9215546040362468,1.9844626822683482,1.354229335562716,16.05178039899162,-0.5446664929415262,7.2810629622733885
86,86,0.3927291664013821,0.23974538024652875,-3.835463250670938,7.989095646041778,3.0763266654183665,3.2546085948048513
87,87,2.0865138867551045,11.873389316479036,-2.2424810694638158,277.1858360183967,-0.29023754552981096,290.9740473407071
88,88,1.6218633192203264,0.383003281743718,1.3101743294951023,25.21714135887365,2.4434143202066547,13.679280984838673
