hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,HERMES,P,2009
pi-,2.224,0.072,0.658,0.433,0.951,0.0292,0.014,0.0042,0.014616429,phT,,,
k+,2.429,0.083,0.606,0.236,0.354,0.0235,0.0165,0.0063,0.017661823,z,,,
k+,2.474,0.092,0.568,0.305,0.385,0.0454,0.0161,0.0076,0.017803651,z,,,
k+,2.528,0.097,0.545,0.374,0.415,0.0773,0.0166,0.0088,0.018788294,z,,,
k+,2.521,0.099,0.531,0.448,0.443,0.0727,0.0178,0.0101,0.020465825,z,,,
k+,2.511,0.102,0.515,0.524,0.47,0.1358,0.0215,0.0115,0.024382371,z,,,
k+,2.552,0.103,0.515,0.593,0.497,0.0829,0.0255,0.0127,0.028487541,z,,,
k+,2.562,0.106,0.495,0.663,0.512,0.1335,0.0296,0.014,0.032743854,z,,,
k+,1.285,0.036,0.709,0.364,0.53,0.0407,0.0243,0.0153,0.028715501,x,,,
k+,1.646,0.056,0.574,0.386,0.439,0.0581,0.0193,0.015,0.024443609,x,,,
k+,2.061,0.076,0.524,0.398,0.399,0.082,0.0212,0.0146,0.025741018,x,,,
k+,2.523,0.099,0.495,0.406,0.375,0.1053,0.0188,0.0143,0.023620542,x,,,
k+,3.3,0.134,0.477,0.412,0.363,0.0767,0.0173,0.0138,0.022129844,x,,,
k+,4.461,0.186,0.464,0.413,0.355,0.0758,0.0216,0.013,0.025210315,x,,,
k+,6.374,0.274,0.45,0.416,0.355,0.0645,0.0276,0.0117,0.029977492,x,,,
k+,2.655,0.111,0.47,0.367,0.111,0.0337,0.0182,0.0324,0.037161808,phT,,,
k+,2.619,0.107,0.496,0.376,0.211,0.0646,0.0201,0.0267,0.033420054,phT,,,
k+,2.597,0.103,0.525,0.38,0.29,0.0433,0.0205,0.0221,0.030143988,phT,,,
k+,2.52,0.096,0.55,0.387,0.369,0.0773,0.0207,0.0176,0.027170756,phT,,,
k+,2.44,0.089,0.576,0.393,0.489,0.0922,0.0157,0.0107,0.018999474,phT,,,
k+,2.339,0.081,0.611,0.418,0.673,0.0904,0.0181,0.0011,0.018133395,phT,,,
k+,2.253,0.072,0.661,0.471,0.972,0.0757,0.0259,0.0153,0.030081556,phT,,,
k-,2.393,0.081,0.617,0.234,0.366,-0.0004,0.0207,0.0094,0.022734335,z,,,
k-,2.38,0.086,0.58,0.303,0.401,0.0166,0.0225,0.0108,0.024957764,z,,,
k-,2.385,0.091,0.553,0.373,0.429,0.0192,0.0259,0.0122,0.02862953,z,,,
k-,2.32,0.091,0.536,0.448,0.45,0.0621,0.0291,0.0137,0.032163644,z,,,
k-,2.294,0.091,0.534,0.523,0.463,0.084,0.0388,0.0152,0.041671093,z,,,
k-,2.325,0.092,0.53,0.591,0.479,0.0128,0.048,0.0166,0.050789369,z,,,
k-,2.329,0.094,0.513,0.662,0.493,0.0817,0.0665,0.0181,0.068919228,z,,,
k-,1.289,0.035,0.715,0.339,0.507,0.0053,0.0298,0.0189,0.0352881,x,,,
k-,1.666,0.055,0.582,0.358,0.421,0.0519,0.0263,0.0141,0.029841247,x,,,
k-,2.088,0.076,0.532,0.363,0.381,0.0316,0.0307,0.0092,0.032048869,x,,,
k-,2.585,0.098,0.508,0.37,0.366,0.0294,0.029,0.004,0.029274562,x,,,
k-,3.375,0.133,0.489,0.37,0.363,0.0246,0.0281,0.0048,0.028507017,x,,,
k-,4.551,0.186,0.474,0.369,0.351,0.0067,0.0367,0.0171,0.04048827,x,,,
k-,6.301,0.275,0.444,0.37,0.364,0.0086,0.0524,0.0378,0.064611145,x,,,
k-,2.467,0.102,0.478,0.342,0.111,0.0117,0.0289,0.0106,0.030782625,phT,,,
k-,2.452,0.098,0.516,0.348,0.21,0.0607,0.0316,0.0084,0.032697401,phT,,,
k-,2.457,0.094,0.545,0.351,0.29,0.019,0.0322,0.0066,0.032869439,phT,,,
k-,2.361,0.086,0.576,0.354,0.37,0.0417,0.0317,0.0049,0.032076471,phT,,,
k-,2.293,0.081,0.604,0.352,0.489,0.0139,0.0234,0.0024,0.023522755,phT,,,
k-,2.275,0.076,0.636,0.372,0.673,0.0149,0.0269,0.002,0.026974247,phT,,,
k-,2.24,0.07,0.678,0.429,0.955,0.0433,0.039,0.0077,0.039752862,phT,,,
pd,2.594,0.093,0.581,0.235,0.326,0.119,0.0322,0.0453,0.055578143,z,,,
pd,2.637,0.102,0.542,0.304,0.355,0.1185,0.0307,0.0428,0.052671909,z,,,
pd,2.635,0.105,0.524,0.374,0.384,0.0428,0.0307,0.0403,0.050661425,z,,,
pd,2.6,0.106,0.511,0.448,0.428,0.1227,0.0316,0.0376,0.049115374,z,,,
pd,2.594,0.107,0.505,0.523,0.472,0.1583,0.0364,0.0349,0.050427869,z,,,
pd,2.65,0.111,0.495,0.593,0.498,0.1589,0.0397,0.0324,0.051243048,z,,,
pd,2.607,0.11,0.483,0.664,0.514,0.2056,0.047,0.0298,0.055651056,z,,,
pd,1.293,0.036,0.701,0.357,0.508,0.134,0.0794,0.0258,0.083486526,x,,,
pd,1.634,0.056,0.568,0.376,0.428,0.0276,0.0492,0.026,0.055647462,x,,,
pd,2.032,0.076,0.515,0.384,0.387,0.2512,0.0454,0.0262,0.052417554,x,,,
pd,2.504,0.099,0.491,0.397,0.364,0.1381,0.037,0.0265,0.045510988,x,,,
pd,3.225,0.133,0.467,0.4,0.344,0.1013,0.0285,0.027,0.039258757,x,,,
pd,4.376,0.186,0.455,0.399,0.336,0.0853,0.0309,0.0276,0.04143151,x,,,
pd,6.278,0.276,0.441,0.396,0.327,0.1517,0.0372,0.0282,0.046680617,x,,,
pd,2.739,0.119,0.453,0.35,0.11,0.0004,0.0309,0.0441,0.05384812,phT,,,
pd,2.748,0.116,0.482,0.36,0.211,0.0588,0.032,0.0369,0.048842707,phT,,,
pd,2.724,0.112,0.504,0.368,0.29,0.097,0.0333,0.0313,0.045700985,phT,,,
pd,2.67,0.105,0.532,0.371,0.37,0.2107,0.034,0.0257,0.0426203,phT,,,
pd,2.534,0.094,0.564,0.387,0.488,0.1748,0.0302,0.0176,0.034954256,phT,,,
pd,2.405,0.083,0.607,0.433,0.669,0.1811,0.0434,0.0062,0.04384062,phT,,,
pd,2.352,0.074,0.656,0.501,0.961,-0.0233,0.1043,0.0137,0.105195912,phT,,,
