hadron,Q2,y,phT,x,z,Siv,stat,sys,tot_err,1D_dependence,COMPASS,p,2015
k-,3.14,0.28,0.58,0.0428,0.564,-0.0148,0.0205,0,0.0205,z,,,
k-,3.04,0.24,0.62,0.0462,0.712,0.0159,0.0347,0,0.0347,z,,,
k-,2.92,0.24,0.56,0.0459,0.869,0.0554,0.0596,0,0.0596,z,,,
k-,3.55,0.36,0.15,0.0364,0.394,0.03,0.0249,0,0.0249,phT,,,
k-,3.68,0.38,0.25,0.0371,0.381,-0.0175,0.0217,0,0.0217,phT,,,
k-,3.67,0.39,0.35,0.0367,0.376,-0.0297,0.0206,0,0.0206,phT,,,
k-,3.66,0.39,0.45,0.0364,0.375,0.0322,0.0207,0,0.0207,phT,,,
k-,3.68,0.39,0.55,0.0363,0.376,0.0024,0.0218,0,0.0218,phT,,,
k-,3.67,0.4,0.67,0.0361,0.382,0.0015,0.0201,0,0.0201,phT,,,
k-,3.69,0.4,0.82,0.0359,0.39,0.0291,0.0247,0,0.0247,phT,,,
k-,3.75,0.41,1.06,0.0356,0.398,-0.0051,0.0231,0,0.0231,phT,,,
k-,4.03,0.45,1.59,0.0349,0.402,0.0619,0.0409,0,0.0409,phT,,,
k+,4.51,0.5,0.55,0.0324,0.225,-0.0029,0.0155,0,0.0155,z,,,
k+,4.49,0.45,0.56,0.0372,0.275,-0.0001,0.0156,0,0.0156,z,,,
k+,4.46,0.4,0.57,0.0417,0.324,0.0428,0.0164,0,0.0164,z,,,
k+,4.36,0.36,0.57,0.0454,0.374,0.0056,0.0175,0,0.0175,z,,,
k+,4.18,0.31,0.58,0.0499,0.447,0.0403,0.0139,0,0.0139,z,,,
k+,3.89,0.26,0.6,0.0558,0.567,0.043,0.0143,0,0.0143,z,,,
k+,3.77,0.22,0.64,0.0616,0.715,0.0794,0.0209,0,0.0209,z,,,
k+,3.55,0.2,0.63,0.063,0.874,0.0905,0.0317,0,0.0317,z,,,
k+,1.23,0.64,0.64,0.0065,0.299,-0.0383,0.0271,0,0.0271,x,,,
k+,1.47,0.47,0.6,0.0106,0.35,0.0132,0.0161,0,0.0161,x,,,
k+,1.83,0.38,0.58,0.0163,0.391,0.0281,0.0141,0,0.0141,x,,,
