,0,1,2,3
0,-3.778597,8.23335,2.4011142,0.012244601
1,3.4552622,-14.548608,-8.111483,-0.006870769
2,-1.7060097,-0.5449192,0.40261322,0.019732697
3,-0.5481289,-0.8299414,-2.5695372,0.011726997
4,-0.74718773,-2.997659,-1.1263732,0.010958672
5,0.4286788,-2.542799,-3.9656844,0.003269358
6,-0.52042115,-0.39910752,-1.3144708,0.016454907
7,-0.6749248,-2.4449348,-0.91392875,0.014234754
8,-1.536442,0.27689272,-1.0760072,0.018804125
9,-1.8035876,0.6768043,-1.6907991,0.014600557
10,-0.20169747,-1.9197783,-1.7095206,0.00790759
11,-0.77504843,-0.49424088,-0.88409597,0.010013211
12,-2.6842892,-1.9337641,0.5209863,0.013441311
13,-0.017678771,19.841433,-8.173276,-0.004439774
14,-2.2731738,-0.056484975,-6.596642,0.022538
