#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
-0.995022,0.177752,-6.58917,1.17671,-3.37859,0.60379,0.0670163,0.00391063
-0.965753,0.139937,-5.17939,0.750169,-3.18879,0.464024,0.0452961,0.00215058
-0.294623,0.359609,-4.58511,5.59192,-0.84859,1.04547,0.1589,0.0619754
-0.872577,0.291343,-10.5032,3.50426,-2.47064,0.822952,0.0831655,0.00903544
-0.940271,0.238982,-8.96491,2.27888,-2.57197,0.657412,0.0682571,0.00571391
0.894365,0.19842,6.9429,1.54071,2.41183,0.53521,0.160712,0.0606275
-1.09693,0.169945,-6.93792,1.07521,-2.89565,0.448971,0.0456445,0.00231948
-0.612864,0.137498,-3.17003,0.711154,-1.59405,0.358957,0.0456715,0.00839478
-0.647398,0.444747,-10.406,7.16655,-1.98154,1.37901,0.0755272,0.0174243
-0.640348,0.346572,-7.97876,4.31145,-1.94006,1.05464,0.0600303,0.0106326
-0.842782,0.283179,-8.25097,2.77611,-2.50581,0.84413,0.0597332,0.00662879
-0.917105,0.232574,-7.28803,1.84815,-2.6821,0.679936,0.0500968,0.00415391
-0.917584,0.184805,-5.92315,1.19262,-2.63107,0.529452,0.0367067,0.00242054
-0.924898,0.146965,-4.84609,0.770004,-2.59267,0.412609,0.0259853,0.00135237
-1.8568,1.4257,-8.18452,5.46866,0.506083,2.92598,0.0554353,0.00759971
-0.62113,0.273306,-6.8935,3.0376,-1.40067,0.626109,0.0758561,0.0163635
-0.652821,0.227826,-5.77355,2.01415,-1.42632,0.50192,0.0579816,0.0202354
-1.51802,0.185572,-11.0273,1.34764,-3.26588,0.400938,0.0118651,0.0204876
-1.09413,0.164507,-6.54222,0.9835,-2.3191,0.349209,0.02924,0.00143895
-1.03609,0.153244,-5.15243,0.762233,-2.20022,0.325742,0.0208202,0.00100952
-0.779806,0.434049,-11.6177,6.44845,-1.95131,1.08702,0.0549369,0.00989662
-2.20851,0.358642,-25.7606,4.18359,-5.45741,0.889623,-0.0233093,0.0384708
0.263844,0.285284,2.4451,2.65026,0.647814,0.697177,0.0914189,0.0457488
-0.83574,0.223365,-6.32072,1.69229,-2.00897,0.537274,0.0282736,0.0024883
-0.922826,0.185015,-5.71842,1.14662,-2.18561,0.438125,0.0234768,0.00154012
-0.883563,0.144592,-4.47129,0.731715,-2.05904,0.337218,0.0160081,0.000856849
-2.44168,0.983568,-5.98654,5.03858,0.716619,1.55211,0.0422536,0.00724054
-2.82046,0.935374,-9.49564,2.79296,1.0261,1.68852,0.0298109,0.00614603
-2.3271,0.862488,-9.16511,1.89086,1.0554,1.80385,0.0252443,0.00527412
-1.75842,0.86148,-8.92159,3.42419,1.41474,2.40769,0.0300292,0.00582878
0.0956511,0.17089,0.542677,0.961323,0.163395,0.300758,0.0399388,0.00845831
-0.345881,0.179029,-1.65874,0.857967,-0.61151,0.317291,0.0246066,0.00860904
-3.58761,2.11879,-8.85613,10.1837,0.979369,3.44288,0.00847999,0.0117386
-0.156481,0.334093,-1.69703,3.63969,-0.329193,0.704145,0.0348962,0.0132269
-1.2884,0.279434,-11.2545,2.44177,-2.64726,0.576182,0.00529674,0.016011
-1.81025,0.23002,-13.0221,1.65452,-3.67959,0.468597,-0.00395745,0.0173164
-0.85524,0.186298,-5.07303,1.10379,-1.72046,0.375225,0.0145332,0.001034
-0.884273,0.148565,-4.29889,0.722757,-1.76152,0.295892,0.0107799,0.000592731
-2.29023,0.637013,-1.92752,5.79595,0.258984,0.960409,0.0316062,0.00421958
-1.88203,0.686664,-2.74536,2.91555,0.319609,0.840279,0.0279403,0.00309812
-1.88606,0.649065,-4.86678,1.71229,0.652701,0.99739,0.0255906,0.00266299
-1.93341,0.623336,-5.14187,1.13004,0.53573,0.989619,0.0210165,0.00219994
-1.39784,0.665452,-5.11769,1.84109,0.762843,1.42234,0.0222094,0.00246758
-0.305831,0.216475,-1.38553,0.97937,-0.436833,0.313245,0.0179881,0.00389825
-2.60644,1.36751,-1.89113,9.16899,0.28165,1.69318,0.0209066,0.00552704
-2.48717,1.42418,-4.80149,5.17774,0.620412,2.04621,0.0182091,0.00476216
-2.2734,1.93444,-6.1227,2.79916,0.636357,3.09267,0.00939833,0.00558708
-2.50853,1.707,-9.69602,3.34864,1.33843,3.75491,0.00866764,0.00517116
-4.21455,1.70628,-16.6832,3.98919,1.37847,4.14294,-0.00377683,0.00479338
-4.07436,1.06262,-45.3549,13.622,19.2074,6.83848,0.00752877,0.000429861
-1.15306,0.465327,3.7947,11.6516,-0.592777,1.37032,0.0112844,0.00603635
-2.44215,0.487155,-4.63748,4.79301,0.697198,0.990148,0.0233266,0.00298362
-2.01652,0.490734,-2.87223,1.77682,0.412502,0.579904,0.0184298,0.00149463
-1.87647,0.473566,-4.1419,1.52309,0.528096,0.666517,0.0182092,0.00135058
-1.91142,0.419926,-5.19865,1.17799,0.674055,0.672376,0.013864,0.00107557
-1.23928,0.576402,-3.21765,1.06929,0.082499,0.8251,0.0119471,0.0011238
-0.0459353,0.56994,-1.61717,16.3498,-0.204237,2.04309,-0.000512977,0.00478507
-2.52792,1.09687,-3.41935,8.59503,0.532402,1.89869,0.0128791,0.00391398
-2.15875,1.06179,-3.66671,2.8428,0.589289,1.40214,0.00845573,0.00220429
-1.74497,1.16411,-4.26705,1.51363,0.727546,1.83931,0.00996533,0.00213719
-0.875392,0.198547,-4.59988,1.04266,-1.30528,0.298716,0.007234,0.000538085
-0.877156,0.157312,-3.85247,0.689959,-1.30748,0.234922,0.00539784,0.000315618
-1.97072,1.13155,20.2669,56.9303,-3.55814,1.34972,0.0271636,0.0232283
-1.5148,0.524507,1.1948,9.0448,-0.208171,1.368,0.0137203,0.00482355
-2.3333,0.369169,-1.82037,1.77317,0.308019,0.420692,0.0141936,0.000973892
-2.19072,0.358527,-4.90142,1.71012,0.799915,0.560062,0.0123264,0.000965934
-1.80662,0.338415,-5.61781,1.4827,0.808795,0.623849,0.0133264,0.000886846
-1.70757,0.309854,-5.09769,1.04926,0.494235,0.545812,0.00829366,0.000639463
21.0814,6.3388,-189.461,309.987,37.2456,4.89168,-0.18723,0.0758223
-0.2547,0.480794,-5.26721,10.2169,-0.82774,1.58276,-0.00429196,0.00302679
-1.59873,0.868626,-0.936836,3.21635,0.146703,0.841527,0.00984494,0.00134979
-2.28314,0.823197,-2.91009,1.80472,0.472127,0.930893,0.00566714,0.00105744
-1.88964,0.961789,-2.80202,1.24861,0.288725,1.10026,0.00528191,0.000980576
