Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev,time
55,5.750000,3.938790,0.500323,-0.462910,1.438682,0.257922,1.051757,46.792474,2.548048,13.219788,45.147
56,5.750000,2.100260,0.456838,-0.451565,1.285197,1.840290,-2.744164,17.700690,4.145646,9.631827,24.710
57,5.750000,1.126780,0.483102,-0.376384,0.772222,1.882700,1.104292,17.378650,-1.508268,9.741030,25.225
58,5.750000,1.429950,0.225662,-0.395106,1.661014,9.469021,-7.580967,69.662574,3.927204,10.700380,74.553
59,5.750000,1.085400,0.397175,-0.305576,0.691167,1.025634,-0.722624,10.841824,2.360960,4.622526,20.932
60,5.750000,2.289530,0.501174,-0.400053,1.034933,0.777282,0.596057,18.827003,2.439645,13.913867,94.343
61,5.750000,2.060450,0.427770,-0.419058,1.604708,1.640818,-4.923182,16.614428,4.464971,8.154928,25.551
62,5.750000,2.463970,0.458299,-0.313288,0.855840,0.284847,-0.365913,30.733043,2.956204,20.666586,165.540
63,5.750000,1.405410,0.360942,-0.294133,0.836039,0.916804,-3.692941,10.888808,3.161713,4.377881,28.208
64,5.750000,2.999940,0.384170,-0.361526,0.797954,1.023722,-0.651946,24.403634,2.831072,5.712990,80.805
65,5.750000,1.989470,0.348625,-0.440897,2.016642,4.512078,-8.800486,35.964622,4.682707,11.117573,44.833
66,5.750000,1.933970,0.487249,-0.474645,1.658057,2.036506,-3.490455,18.225034,3.889331,10.897415,26.936
67,5.750000,1.699050,0.434288,-0.333734,0.928044,0.795018,-2.384617,11.477517,3.676966,6.713468,44.842
68,5.750000,1.982860,0.407098,-0.435717,1.533385,2.222120,-3.988739,18.985228,3.842359,8.135526,28.469
69,5.750000,4.532050,0.503737,-0.498749,1.444672,0.697075,-6.612235,34.449780,4.131721,0.872075,35.651
70,5.750000,3.823420,0.414179,-0.464695,1.229329,0.579649,-1.672211,28.981006,4.726072,1.602595,35.119
71,5.750000,2.930820,0.353409,-0.498615,1.286755,2.759494,-1.990930,29.803066,4.156832,4.164481,37.495
72,5.750000,1.013570,0.480248,-0.445107,0.670114,3.612812,3.213287,24.012253,-1.361065,10.158513,38.571
73,5.750000,1.397870,0.543611,-0.445009,1.210122,2.634776,-0.403691,25.623112,0.817286,19.107402,31.462
74,5.750000,1.414850,0.263563,-0.255563,0.362549,1.865031,-0.256259,22.517900,2.200236,5.676731,40.460
75,5.750000,1.024420,0.353276,-0.466339,1.080101,5.626133,-0.682084,33.656081,3.119196,7.133474,53.563
76,10.000000,2.066660,0.352110,-0.372448,1.085129,1.372152,-2.744037,12.013988,2.931684,4.583405,21.648
77,10.000000,3.492940,0.431918,-0.392920,1.109085,0.629694,-2.063887,10.437545,3.252410,6.584359,55.245
78,10.000000,3.100020,0.433327,-0.285693,0.868654,0.074525,-3.681828,24.770692,3.565206,19.266311,31.004
79,10.000000,3.552770,0.396336,-0.362823,1.011592,0.819106,-4.800379,13.303113,4.240104,7.325369,68.244
80,10.000000,4.694950,0.464606,-0.409555,1.179179,0.398901,2.731202,24.866253,1.565593,16.811888,125.075
81,10.000000,3.676440,0.434603,-0.327627,0.931973,0.231522,-2.539458,15.952710,4.247209,11.369761,90.190
82,10.000000,2.646960,0.356369,-0.420892,0.934605,1.748904,-1.074473,14.383638,3.017145,5.805602,24.594
83,10.000000,3.802120,0.366710,-0.468218,1.685836,2.685737,-6.503989,23.813214,5.069096,9.364666,32.148
84,10.000000,3.688380,0.439937,-0.425894,1.225846,0.802940,0.161782,12.073528,2.001545,7.662742,42.498
85,10.000000,4.775840,0.454214,-0.490858,1.765355,1.484173,-4.428865,24.445198,5.407966,14.010757,90.833
86,10.000000,1.669940,0.423396,-0.413501,1.083992,1.883159,0.028577,15.362025,-0.886588,7.173391,25.813
87,10.000000,1.313240,0.289039,-0.147012,0.336296,0.218279,-2.377651,7.027737,2.312609,2.829065,53.482
88,10.000000,2.289010,0.577853,-0.498316,2.103887,1.304373,-3.608292,28.529683,-3.949817,28.666260,28.215
89,10.000000,6.068880,0.493909,-0.453940,1.640094,0.143746,1.446111,2.373392,1.961086,1.219702,13.862
90,10.000000,4.092150,0.527618,-0.492024,1.635574,0.455739,-3.031921,27.620558,2.904700,25.846291,103.720
91,10.000000,3.760500,0.351615,-0.371892,0.970445,1.782587,-1.695861,22.488734,3.404691,8.931490,52.743
92,10.000000,4.142080,0.449634,-0.489031,1.542209,1.222750,-3.272109,15.288548,4.185484,9.311390,28.887
93,10.000000,2.621130,0.441189,-0.360262,1.185502,0.651459,-3.955820,11.559612,4.868006,7.944668,60.543
94,10.000000,4.373140,0.418169,-0.306772,0.765452,0.130754,-12.976094,32.123973,8.921413,19.159279,55.708
95,10.000000,1.280010,0.338006,-0.280093,0.651549,0.875851,-2.201190,9.449857,2.173709,3.318131,21.814
96,10.000000,1.112190,0.327053,-0.142380,0.340625,0.116651,-2.481161,7.017858,2.364860,3.530275,51.906
