#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
2,9,2.75,1.86729,0.527413,-0.437447,80,0.0667159,0.0033358,0.05,0.44888,0.614178
2,10,2.75,1.86729,0.527413,-0.437447,88,0.0641186,0.00320593,0.05,0.44888,0.614178
2,11,2.75,1.86729,0.527413,-0.437447,96,0.0569411,0.00284705,0.05,0.44888,0.614178
2,12,2.75,1.86729,0.527413,-0.437447,104,0.0516281,0.00258141,0.05,0.44888,0.614178
2,13,2.75,1.86729,0.527413,-0.437447,112,0.050636,0.0025318,0.05,0.44888,0.614178
2,14,2.75,1.86729,0.527413,-0.437447,120,0.0504781,0.0025239,0.05,0.44888,0.614178
2,15,2.75,1.86729,0.527413,-0.437447,128,0.0440716,0.00220358,0.05,0.44888,0.614178
2,16,2.75,1.86729,0.527413,-0.437447,136,0.0466565,0.00233283,0.05,0.44888,0.614178
2,17,2.75,1.86729,0.527413,-0.437447,144,0.0422211,0.00211105,0.05,0.44888,0.614178
2,18,2.75,1.86729,0.527413,-0.437447,152,0.0434125,0.00217062,0.05,0.44888,0.614178
2,19,2.75,1.86729,0.527413,-0.437447,160,0.0451415,0.00225708,0.05,0.44888,0.614178
2,20,2.75,1.86729,0.527413,-0.437447,168,0.042254,0.0021127,0.05,0.44888,0.614178
2,21,2.75,1.86729,0.527413,-0.437447,176,0.0399647,0.00199824,0.05,0.44888,0.614178
2,22,2.75,1.86729,0.527413,-0.437447,184,0.0438237,0.00219119,0.05,0.44888,0.614178
2,23,2.75,1.86729,0.527413,-0.437447,192,0.0421614,0.00210807,0.05,0.44888,0.614178
2,24,2.75,1.86729,0.527413,-0.437447,200,0.0409457,0.00204728,0.05,0.44888,0.614178
2,25,2.75,1.86729,0.527413,-0.437447,208,0.0473906,0.00236953,0.05,0.44888,0.614178
2,26,2.75,1.86729,0.527413,-0.437447,216,0.0441514,0.00220757,0.05,0.44888,0.614178
2,27,2.75,1.86729,0.527413,-0.437447,224,0.041624,0.0020812,0.05,0.44888,0.614178
2,28,2.75,1.86729,0.527413,-0.437447,232,0.0470899,0.0023545,0.05,0.44888,0.614178
2,29,2.75,1.86729,0.527413,-0.437447,240,0.0470835,0.00235417,0.05,0.44888,0.614178
2,30,2.75,1.86729,0.527413,-0.437447,248,0.0508862,0.00254431,0.05,0.44888,0.614178
2,31,2.75,1.86729,0.527413,-0.437447,256,0.0521066,0.00260533,0.05,0.44888,0.614178
2,32,2.75,1.86729,0.527413,-0.437447,264,0.0532976,0.00266488,0.05,0.44888,0.614178
2,33,2.75,1.86729,0.527413,-0.437447,272,0.0609458,0.00304729,0.05,0.44888,0.614178
