,phi_x,k,QQ,x_b,t,F1,F2,dvcs,F,sigmaF,F_cal,sigmaF_cal,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde,#Set
0,8,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,4.193969999999999,0.20969899999999997,4.031540250658257,0.07126752182210958,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
1,16,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,2.9509,0.147545,2.7920254004012803,0.04553449600831838,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
2,24,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,1.86568,0.09328389999999999,1.8389590341188804,0.02674379614575522,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
3,32,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,1.139,0.05695,1.2382769455252678,0.01614812965260253,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
4,40,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.871079,0.0435539,0.8678113720672642,0.010684608185688697,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
5,48,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.64075,0.0320375,0.6328670190071214,0.007737614746976148,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
6,56,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.47452700000000003,0.023726300000000002,0.47817480157830866,0.005767775202846378,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
7,64,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.391808,0.0195904,0.37265574311878075,0.004127543230153249,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
8,72,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.293337,0.0146668,0.2984649956231036,0.002646329491719018,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
9,80,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.256715,0.0128357,0.2449830986081608,0.0013319888009426996,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
10,88,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.204206,0.0102103,0.20564822067606175,0.00023489182271140943,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
11,96,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.182541,0.00912705,0.17626034836315851,0.0006027185268042896,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
12,104,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.16029100000000002,0.00801457,0.1540445505116484,0.0011633645444658995,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
13,112,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.13098800000000002,0.00654942,0.13711519747120274,0.0014584746637651062,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
14,120,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.13458,0.00672899,0.12415908904629086,0.0015286280682918348,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
15,128,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.114819,0.00574094,0.11424237771287768,0.0014442276110135845,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
16,136,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.10708,0.00535401,0.10668995023852268,0.0013077280378912854,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
17,144,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.10155800000000001,0.00507788,0.10100860992527283,0.001241641123568814,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
18,152,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.09393960000000001,0.00469698,0.09683752529285213,0.0013196056643820073,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
19,160,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.0919023,0.00459512,0.09391610852580434,0.001498518714277533,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
20,168,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.0942419,0.00471209,0.09206331954707517,0.0016801580695791952,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
21,176,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.0933304,0.00466652,0.09116467521654367,0.001789130169136407,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
22,184,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.09084969999999999,0.00454248,0.09116467521597164,0.001789130169210254,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
23,192,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.08607139999999999,0.00430357,0.09206331954532374,0.00168015806977797,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
24,200,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.10220499999999999,0.00511025,0.09391610852276532,0.001498518714529706,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
25,208,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.105005,0.00525027,0.09683752528833761,0.0013196056645671881,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
26,216,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.0960897,0.00480449,0.10100860991900223,0.0012416411235728127,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
27,224,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.10588900000000001,0.00529445,0.10668995023010192,0.0013077280377354213,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
28,232,2.75,1.51576,0.369204,-0.30688499999999996,0.542867,0.7986770000000001,0.0206597,0.118959,0.00594793,0.11424237770176593,0.0014442276108461156,0.6975440294351068,0.6037137361209706,-2.8563250915903837,25.13510827318155,3.3698217192327315,1.195537083995132,0
